Title:               Civilian Labor Force in Montgomery County, NC
Series ID:           NCMONT3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  12021
1990-02-01  11864
1990-03-01  11793
1990-04-01  11982
1990-05-01  12169
1990-06-01  12420
1990-07-01  12474
1990-08-01  12259
1990-09-01  12085
1990-10-01  11872
1990-11-01  11972
1990-12-01  11941
1991-01-01  11878
1991-02-01  11757
1991-03-01  11927
1991-04-01  11962
1991-05-01  12092
1991-06-01  12266
1991-07-01  12318
1991-08-01  12298
1991-09-01  12120
1991-10-01  12077
1991-11-01  12107
1991-12-01  11929
1992-01-01  12207
1992-02-01  12240
1992-03-01  12301
1992-04-01  12305
1992-05-01  12412
1992-06-01  12786
1992-07-01  13281
1992-08-01  12730
1992-09-01  12350
1992-10-01  12118
1992-11-01  12103
1992-12-01  11868
1993-01-01  11782
1993-02-01  11828
1993-03-01  11887
1993-04-01  11556
1993-05-01  11840
1993-06-01  12101
1993-07-01  12364
1993-08-01  12231
1993-09-01  11802
1993-10-01  11614
1993-11-01  11589
1993-12-01  11486
1994-01-01  11640
1994-02-01  11745
1994-03-01  11709
1994-04-01  11491
1994-05-01  11873
1994-06-01  11959
1994-07-01  12369
1994-08-01  12141
1994-09-01  11959
1994-10-01  11893
1994-11-01  11854
1994-12-01  11726
1995-01-01  11854
1995-02-01  11880
1995-03-01  11836
1995-04-01  11778
1995-05-01  11876
1995-06-01  12100
1995-07-01  12195
1995-08-01  11923
1995-09-01  11831
1995-10-01  11788
1995-11-01  11873
1995-12-01  11787
1996-01-01  12087
1996-02-01  12005
1996-03-01  12151
1996-04-01  12095
1996-05-01  12412
1996-06-01  12425
1996-07-01  12593
1996-08-01  12339
1996-09-01  12096
1996-10-01  12266
1996-11-01  12155
1996-12-01  12062
1997-01-01  12157
1997-02-01  12254
1997-03-01  12393
1997-04-01  12230
1997-05-01  12261
1997-06-01  12618
1997-07-01  12899
1997-08-01  12501
1997-09-01  12204
1997-10-01  12238
1997-11-01  12221
1997-12-01  12047
1998-01-01  12036
1998-02-01  12065
1998-03-01  12026
1998-04-01  11967
1998-05-01  12124
1998-06-01  12086
1998-07-01  12247
1998-08-01  12189
1998-09-01  11978
1998-10-01  12005
1998-11-01  11941
1998-12-01  11909
1999-01-01  12265
1999-02-01  12274
1999-03-01  12214
1999-04-01  12199
1999-05-01  12365
1999-06-01  12376
1999-07-01  12481
1999-08-01  12496
1999-09-01  12273
1999-10-01  12330
1999-11-01  12264
1999-12-01  12097
2000-01-01  12637
2000-02-01  12657
2000-03-01  12818
2000-04-01  12717
2000-05-01  12726
2000-06-01  12805
2000-07-01  12665
2000-08-01  13055
2000-09-01  12850
2000-10-01  12856
2000-11-01  12853
2000-12-01  12926
2001-01-01  13134
2001-02-01  13292
2001-03-01  13131
2001-04-01  12825
2001-05-01  12598
2001-06-01  12529
2001-07-01  12667
2001-08-01  12603
2001-09-01  12648
2001-10-01  12592
2001-11-01  12619
2001-12-01  12616
2002-01-01  12674
2002-02-01  12797
2002-03-01  12747
2002-04-01  12776
2002-05-01  12752
2002-06-01  12666
2002-07-01  12767
2002-08-01  12725
2002-09-01  12609
2002-10-01  12611
2002-11-01  12483
2002-12-01  12481
2003-01-01  12462
2003-02-01  12528
2003-03-01  12489
2003-04-01  12546
2003-05-01  12591
2003-06-01  12650
2003-07-01  12543
2003-08-01  12552
2003-09-01  12433
2003-10-01  12619
2003-11-01  12619
2003-12-01  12432
2004-01-01  12594
2004-02-01  12582
2004-03-01  12602
2004-04-01  12525
2004-05-01  12660
2004-06-01  12432
2004-07-01  12482
2004-08-01  12550
2004-09-01  12340
2004-10-01  12449
2004-11-01  12514
2004-12-01  12514
2005-01-01  12506
2005-02-01  12487
2005-03-01  12484
2005-04-01  12525
2005-05-01  12406
2005-06-01  12277
2005-07-01  12164
2005-08-01  12379
2005-09-01  12231
2005-10-01  12285
2005-11-01  12294
2005-12-01  12103
2006-01-01  12174
2006-02-01  12302
2006-03-01  12326
2006-04-01  12212
2006-05-01  12208
2006-06-01  12351
2006-07-01  12173
2006-08-01  12203
2006-09-01  12049
2006-10-01  12125
2006-11-01  12105
2006-12-01  12017
2007-01-01  12145
2007-02-01  12082
2007-03-01  11972
2007-04-01  12011
2007-05-01  12050
2007-06-01  12017
2007-07-01  11661
2007-08-01  11718
2007-09-01  11744
2007-10-01  11895
2007-11-01  11920
2007-12-01  11849
2008-01-01  11513
2008-02-01  11292
2008-03-01  11325
2008-04-01  11364
2008-05-01  11374
2008-06-01  11449
2008-07-01  11048
2008-08-01  11178
2008-09-01  11204
2008-10-01  11197
2008-11-01  11391
2008-12-01  11286
2009-01-01  11380
2009-02-01  11362
2009-03-01  11137
2009-04-01  11132
2009-05-01  11169
2009-06-01  11146
2009-07-01  10803
2009-08-01  10929
2009-09-01  10919
2009-10-01  10916
2009-11-01  10978
2009-12-01  10836
2010-01-01  11457
2010-02-01  11480
2010-03-01  11496
2010-04-01  11682
2010-05-01  11683
2010-06-01  11559
2010-07-01  11227
2010-08-01  11314
2010-09-01  11379
2010-10-01  11412
2010-11-01  11415
2010-12-01  11216
2011-01-01  11412
2011-02-01  11441
2011-03-01  11500
2011-04-01  11540
2011-05-01  11573
2011-06-01  11670
2011-07-01  11266
2011-08-01  11594
2011-09-01  11550
2011-10-01  11554
2011-11-01  11536
2011-12-01  11414
2012-01-01  11443
2012-02-01  11529
2012-03-01  11471
2012-04-01  11529
2012-05-01  11489
2012-06-01  11699
2012-07-01  11423
2012-08-01  11417
2012-09-01  11520
2012-10-01  11782
2012-11-01  11735
2012-12-01  11609
2013-01-01  11682
2013-02-01  11659
2013-03-01  11622
2013-04-01  11665
2013-05-01  11802
2013-06-01  11935
2013-07-01  11619
2013-08-01  11636
2013-09-01  11735
2013-10-01  11663
2013-11-01  11636
2013-12-01  11501
2014-01-01  11496
2014-02-01  11507
2014-03-01  11514
2014-04-01  11325
2014-05-01  11467
2014-06-01  11637
2014-07-01  11366
2014-08-01  11364
2014-09-01  11421
2014-10-01  11563
2014-11-01  11591
2014-12-01  11435
2015-01-01  11674
2015-02-01  11706
2015-03-01  11718
2015-04-01  11685
2015-05-01  11764
2015-06-01  11806
2015-07-01  11562
2015-08-01  11565
2015-09-01  11545
2015-10-01  11529
2015-11-01  11543
2015-12-01  11406
2016-01-01  11582
2016-02-01  11642
2016-03-01  11750
2016-04-01  11681
2016-05-01  11677
2016-06-01  11807
2016-07-01  11744
2016-08-01  11712
2016-09-01  11724
2016-10-01  11704
2016-11-01  11689
2016-12-01  11558
2017-01-01  11867
2017-02-01  11872
2017-03-01  11914
2017-04-01  11747
2017-05-01  11689
