Title:               State Government Tax Collections, Motor Vehicle Licenses in North Carolina
Series ID:           NCMOTOLICTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1951-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:32 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1951-01-01   19491
1952-01-01   20866
1953-01-01   21826
1954-01-01   22499
1955-01-01   24046
1956-01-01   25697
1957-01-01   26446
1958-01-01   27261
1959-01-01   29185
1960-01-01   30392
1961-01-01   31300
1962-01-01   32662
1963-01-01   34161
1964-01-01   36232
1965-01-01   38225
1966-01-01   41112
1967-01-01   43946
1968-01-01   46080
1969-01-01   49184
1970-01-01   62915
1971-01-01   66962
1972-01-01   72839
1973-01-01   79253
1974-01-01   82228
1975-01-01   81812
1976-01-01   94439
1977-01-01  104254
1978-01-01  115988
1979-01-01  122696
1980-01-01  128089
1981-01-01  132245
1982-01-01  138495
1983-01-01  151585
1984-01-01  176713
1985-01-01  188543
1986-01-01  195300
1987-01-01  204414
1988-01-01  215513
1989-01-01  232410
1990-01-01  223638
1991-01-01  214325
1992-01-01  279959
1993-01-01  289528
1994-01-01  307522
1995-01-01  320167
1996-01-01  337461
1997-01-01  345984
1998-01-01  389436
1999-01-01  400422
2000-01-01  392182
2001-01-01  394504
2002-01-01  410708
2003-01-01  416199
2004-01-01  440180
2005-01-01  464284
2006-01-01  578915
2007-01-01  614000
2008-01-01  609158
2009-01-01  572968
2010-01-01  548379
2011-01-01  568268
2012-01-01  569253
2013-01-01  581590
2014-01-01  591457
2015-01-01  607531
2016-01-01  714464
2017-01-01  831878
