Title:               Resident Population in Madison County, NC
Series ID:           NCMADI5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  16.003
1971-01-01  16.100
1972-01-01  15.900
1973-01-01  16.000
1974-01-01  16.200
1975-01-01  16.500
1976-01-01  16.500
1977-01-01  16.500
1978-01-01  16.600
1979-01-01  16.500
1980-01-01  16.827
1981-01-01  17.113
1982-01-01  16.919
1983-01-01  16.810
1984-01-01  17.018
1985-01-01  17.037
1986-01-01  17.120
1987-01-01  17.051
1988-01-01  16.924
1989-01-01  16.879
1990-01-01  17.027
1991-01-01  17.218
1992-01-01  17.424
1993-01-01  17.476
1994-01-01  17.835
1995-01-01  18.199
1996-01-01  18.604
1997-01-01  18.807
1998-01-01  19.222
1999-01-01  19.392
2000-01-01  19.661
2001-01-01  19.799
2002-01-01  19.814
2003-01-01  19.762
2004-01-01  19.841
2005-01-01  19.921
2006-01-01  20.056
2007-01-01  20.189
2008-01-01  20.322
2009-01-01  20.417
2010-01-01  20.784
2011-01-01  20.853
2012-01-01  20.902
2013-01-01  21.171
2014-01-01  21.219
2015-01-01  21.167
2016-01-01  21.434
2017-01-01  21.746
