Title:               All Employees: Manufacturing in North Carolina
Series ID:           NCMFG
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:32 PM CST
Notes:               

DATE        VALUE
1990-01-01  833.1
1990-02-01  838.3
1990-03-01  838.0
1990-04-01  835.9
1990-05-01  831.0
1990-06-01  827.4
1990-07-01  822.8
1990-08-01  818.9
1990-09-01  818.3
1990-10-01  810.7
1990-11-01  809.3
1990-12-01  805.5
1991-01-01  801.3
1991-02-01  796.3
1991-03-01  792.0
1991-04-01  787.7
1991-05-01  787.0
1991-06-01  785.6
1991-07-01  788.0
1991-08-01  790.6
1991-09-01  791.9
1991-10-01  793.2
1991-11-01  792.6
1991-12-01  793.5
1992-01-01  792.7
1992-02-01  792.4
1992-03-01  794.4
1992-04-01  798.7
1992-05-01  802.2
1992-06-01  803.6
1992-07-01  804.7
1992-08-01  806.8
1992-09-01  807.5
1992-10-01  807.8
1992-11-01  807.8
1992-12-01  812.4
1993-01-01  816.7
1993-02-01  819.9
1993-03-01  820.3
1993-04-01  821.6
1993-05-01  821.1
1993-06-01  821.7
1993-07-01  821.3
1993-08-01  818.5
1993-09-01  819.6
1993-10-01  818.0
1993-11-01  821.3
1993-12-01  820.9
1994-01-01  819.2
1994-02-01  819.1
1994-03-01  820.0
1994-04-01  819.4
1994-05-01  821.6
1994-06-01  822.6
1994-07-01  825.3
1994-08-01  827.6
1994-09-01  828.8
1994-10-01  829.4
1994-11-01  829.8
1994-12-01  831.1
1995-01-01  833.4
1995-02-01  833.4
1995-03-01  834.3
1995-04-01  833.5
1995-05-01  831.9
1995-06-01  828.7
1995-07-01  827.9
1995-08-01  827.2
1995-09-01  825.4
1995-10-01  823.3
1995-11-01  822.1
1995-12-01  820.7
1996-01-01  813.4
1996-02-01  816.2
1996-03-01  812.1
1996-04-01  811.9
1996-05-01  811.5
1996-06-01  811.6
1996-07-01  805.0
1996-08-01  805.2
1996-09-01  805.0
1996-10-01  807.1
1996-11-01  807.1
1996-12-01  807.0
1997-01-01  802.8
1997-02-01  802.6
1997-03-01  801.7
1997-04-01  799.7
1997-05-01  799.7
1997-06-01  799.6
1997-07-01  796.9
1997-08-01  795.5
1997-09-01  799.1
1997-10-01  801.2
1997-11-01  800.1
1997-12-01  799.3
1998-01-01  801.3
1998-02-01  803.6
1998-03-01  802.5
1998-04-01  800.7
1998-05-01  798.7
1998-06-01  798.7
1998-07-01  793.7
1998-08-01  795.7
1998-09-01  794.3
1998-10-01  789.1
1998-11-01  788.4
1998-12-01  787.2
1999-01-01  788.4
1999-02-01  784.9
1999-03-01  783.5
1999-04-01  781.1
1999-05-01  779.9
1999-06-01  776.7
1999-07-01  776.1
1999-08-01  771.6
1999-09-01  770.7
1999-10-01  769.9
1999-11-01  768.6
1999-12-01  766.9
2000-01-01  764.5
2000-02-01  764.4
2000-03-01  763.1
2000-04-01  763.5
2000-05-01  763.1
2000-06-01  762.0
2000-07-01  762.5
2000-08-01  754.5
2000-09-01  756.2
2000-10-01  747.3
2000-11-01  750.5
2000-12-01  747.0
2001-01-01  744.5
2001-02-01  736.9
2001-03-01  727.9
2001-04-01  723.2
2001-05-01  713.4
2001-06-01  706.9
2001-07-01  699.3
2001-08-01  692.9
2001-09-01  686.6
2001-10-01  679.6
2001-11-01  672.1
2001-12-01  666.8
2002-01-01  660.4
2002-02-01  657.8
2002-03-01  655.2
2002-04-01  649.3
2002-05-01  646.1
2002-06-01  641.4
2002-07-01  641.7
2002-08-01  639.4
2002-09-01  635.9
2002-10-01  634.8
2002-11-01  632.2
2002-12-01  627.4
