Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Mining for North Carolina
Series ID:           NCMINQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  426.312
2005-04-01  428.522
2005-07-01  402.725
2005-10-01  425.511
2006-01-01  442.413
2006-04-01  366.200
2006-07-01  357.777
2006-10-01  416.440
2007-01-01  541.718
2007-04-01  487.565
2007-07-01  404.957
2007-10-01  339.070
2008-01-01  313.053
2008-04-01  256.340
2008-07-01  254.935
2008-10-01  269.414
2009-01-01  232.299
2009-04-01  261.415
2009-07-01  227.507
2009-10-01  242.491
2010-01-01  168.912
2010-04-01  210.046
2010-07-01  207.131
2010-10-01  171.598
2011-01-01  145.663
2011-04-01  133.643
2011-07-01  118.409
2011-10-01  112.565
2012-01-01  102.430
2012-04-01  101.508
2012-07-01   96.582
2012-10-01   99.479
2013-01-01  106.190
2013-04-01  107.526
2013-07-01  118.126
2013-10-01  128.569
2014-01-01  124.829
2014-04-01  136.865
2014-07-01  133.553
2014-10-01  134.578
2015-01-01  141.537
2015-04-01  138.019
2015-07-01  146.974
2015-10-01  158.638
2016-01-01  184.953
2016-04-01  166.977
2016-07-01  157.967
2016-10-01  147.405
2017-01-01  159.421
2017-04-01  146.740
2017-07-01  149.569
2017-10-01  146.610
2018-01-01  133.136
2018-04-01  136.165
