Title:               All Employees: Financial Activities in North Carolina
Series ID:           NCFIREN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:37 PM CST
Notes:               

DATE        VALUE
1990-01-01  132.3
1990-02-01  133.7
1990-03-01  134.4
1990-04-01  135.0
1990-05-01  135.3
1990-06-01  136.9
1990-07-01  136.8
1990-08-01  136.9
1990-09-01  136.6
1990-10-01  135.1
1990-11-01  134.8
1990-12-01  134.8
1991-01-01  133.0
1991-02-01  132.6
1991-03-01  133.0
1991-04-01  134.0
1991-05-01  134.8
1991-06-01  135.8
1991-07-01  135.8
1991-08-01  136.3
1991-09-01  135.1
1991-10-01  133.6
1991-11-01  133.5
1991-12-01  133.7
1992-01-01  133.3
1992-02-01  133.5
1992-03-01  133.8
1992-04-01  135.0
1992-05-01  136.0
1992-06-01  137.5
1992-07-01  138.7
1992-08-01  139.1
1992-09-01  138.4
1992-10-01  138.2
1992-11-01  137.8
1992-12-01  138.9
1993-01-01  137.2
1993-02-01  137.6
1993-03-01  138.4
1993-04-01  139.8
1993-05-01  139.6
1993-06-01  140.9
1993-07-01  141.9
1993-08-01  142.0
1993-09-01  140.4
1993-10-01  141.1
1993-11-01  140.7
1993-12-01  141.3
1994-01-01  138.9
1994-02-01  139.2
1994-03-01  140.3
1994-04-01  142.2
1994-05-01  142.9
1994-06-01  144.7
1994-07-01  144.6
1994-08-01  145.3
1994-09-01  144.8
1994-10-01  143.5
1994-11-01  143.3
1994-12-01  144.1
1995-01-01  140.7
1995-02-01  141.2
1995-03-01  142.4
1995-04-01  144.2
1995-05-01  145.2
1995-06-01  147.5
1995-07-01  148.0
1995-08-01  148.9
1995-09-01  148.4
1995-10-01  147.7
1995-11-01  148.2
1995-12-01  149.2
1996-01-01  148.2
1996-02-01  149.9
1996-03-01  151.2
1996-04-01  153.1
1996-05-01  154.9
1996-06-01  157.9
1996-07-01  160.5
1996-08-01  162.1
1996-09-01  161.3
1996-10-01  161.4
1996-11-01  162.2
1996-12-01  163.7
1997-01-01  161.7
1997-02-01  162.8
1997-03-01  164.6
1997-04-01  166.0
1997-05-01  167.4
1997-06-01  168.8
1997-07-01  170.8
1997-08-01  171.5
1997-09-01  171.6
1997-10-01  171.4
1997-11-01  171.3
1997-12-01  173.2
1998-01-01  170.6
1998-02-01  171.3
1998-03-01  173.3
1998-04-01  176.3
1998-05-01  177.1
1998-06-01  179.5
1998-07-01  180.0
1998-08-01  181.7
1998-09-01  181.4
1998-10-01  181.7
1998-11-01  181.3
1998-12-01  182.5
1999-01-01  180.2
1999-02-01  181.2
1999-03-01  181.7
1999-04-01  183.2
1999-05-01  183.1
1999-06-01  184.5
1999-07-01  185.2
1999-08-01  185.0
1999-09-01  183.8
1999-10-01  184.8
1999-11-01  183.8
