Title:               State Government Tax Collections, Motor Fuels - Selective Sales Taxes in North Carolina
Series ID:           NCFUELTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE          VALUE
1942-01-01    29104
1943-01-01        .
1944-01-01    21268
1945-01-01        .
1946-01-01    31355
1947-01-01        .
1948-01-01    40699
1949-01-01        .
1950-01-01    52836
1951-01-01    64575
1952-01-01    69648
1953-01-01    73821
1954-01-01    75853
1955-01-01    80351
1956-01-01    87522
1957-01-01    91155
1958-01-01    91260
1959-01-01    95538
1960-01-01    99134
1961-01-01   104002
1962-01-01   107809
1963-01-01   114046
1964-01-01   117552
1965-01-01   123980
1966-01-01   131675
1967-01-01   140665
1968-01-01   147147
1969-01-01   158379
1970-01-01   213709
1971-01-01   226811
1972-01-01   245884
1973-01-01   264490
1974-01-01   268594
1975-01-01   265739
1976-01-01   278479
1977-01-01   289692
1978-01-01   303011
1979-01-01   313471
1980-01-01   295143
1981-01-01   282742
1982-01-01   372159
1983-01-01   379480
1984-01-01   398634
1985-01-01   407561
1986-01-01   424208
1987-01-01   554254
1988-01-01   596573
1989-01-01   609625
1990-01-01   793490
1991-01-01   825425
1992-01-01   861487
1993-01-01   869244
1994-01-01   908553
1995-01-01   914233
1996-01-01   951595
1997-01-01   997217
1998-01-01  1114316
1999-01-01  1145969
2000-01-01  1066670
2001-01-01  1182716
2002-01-01  1209386
2003-01-01  1156905
2004-01-01  1272612
2005-01-01  1338403
2006-01-01  1494367
2007-01-01  1608984
2008-01-01  1582400
2009-01-01  1515944
2010-01-01  1551660
2011-01-01  1663047
2012-01-01  1861838
2013-01-01  1893576
2014-01-01  1915670
2015-01-01  1924089
2016-01-01  1936102
2017-01-01  1922400
