Title:               Civilian Labor Force in Franklin County, NC
Series ID:           NCFRAN9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  18052
1990-02-01  18382
1990-03-01  18417
1990-04-01  18431
1990-05-01  18690
1990-06-01  19149
1990-07-01  19253
1990-08-01  19335
1990-09-01  19069
1990-10-01  19174
1990-11-01  19100
1990-12-01  19053
1991-01-01  18756
1991-02-01  19452
1991-03-01  19417
1991-04-01  19658
1991-05-01  19539
1991-06-01  19767
1991-07-01  19604
1991-08-01  19897
1991-09-01  19888
1991-10-01  19508
1991-11-01  19524
1991-12-01  19440
1992-01-01  19170
1992-02-01  19489
1992-03-01  19536
1992-04-01  19364
1992-05-01  19521
1992-06-01  19786
1992-07-01  20254
1992-08-01  20614
1992-09-01  20349
1992-10-01  20413
1992-11-01  20545
1992-12-01  20348
1993-01-01  20056
1993-02-01  20290
1993-03-01  20098
1993-04-01  19953
1993-05-01  20024
1993-06-01  20100
1993-07-01  20431
1993-08-01  20350
1993-09-01  20028
1993-10-01  19863
1993-11-01  20112
1993-12-01  19983
1994-01-01  20179
1994-02-01  20352
1994-03-01  20215
1994-04-01  20172
1994-05-01  20384
1994-06-01  20476
1994-07-01  20390
1994-08-01  20528
1994-09-01  20251
1994-10-01  20523
1994-11-01  20629
1994-12-01  20674
1995-01-01  20577
1995-02-01  20873
1995-03-01  20880
1995-04-01  20928
1995-05-01  21083
1995-06-01  21383
1995-07-01  21454
1995-08-01  21282
1995-09-01  21333
1995-10-01  21651
1995-11-01  21659
1995-12-01  21529
1996-01-01  21495
1996-02-01  21938
1996-03-01  22087
1996-04-01  22113
1996-05-01  22371
1996-06-01  22602
1996-07-01  22900
1996-08-01  22654
1996-09-01  22700
1996-10-01  23230
1996-11-01  23413
1996-12-01  23318
1997-01-01  22872
1997-02-01  23094
1997-03-01  23306
1997-04-01  23491
1997-05-01  23517
1997-06-01  23563
1997-07-01  23353
1997-08-01  23169
1997-09-01  23025
1997-10-01  23420
1997-11-01  23702
1997-12-01  23459
1998-01-01  23205
1998-02-01  23486
1998-03-01  23518
1998-04-01  23594
1998-05-01  23613
1998-06-01  23694
1998-07-01  23750
1998-08-01  23468
1998-09-01  23491
1998-10-01  23690
1998-11-01  23812
1998-12-01  23716
1999-01-01  23631
1999-02-01  23893
1999-03-01  23923
1999-04-01  24064
1999-05-01  24179
1999-06-01  24363
1999-07-01  24532
1999-08-01  24249
1999-09-01  24106
1999-10-01  24362
1999-11-01  24518
1999-12-01  24517
2000-01-01  23966
2000-02-01  24265
2000-03-01  24335
2000-04-01  24496
2000-05-01  24410
2000-06-01  24645
2000-07-01  24711
2000-08-01  24435
2000-09-01  24407
2000-10-01  24537
2000-11-01  24796
2000-12-01  24902
2001-01-01  24823
2001-02-01  25012
2001-03-01  25137
2001-04-01  25138
2001-05-01  25156
2001-06-01  25306
2001-07-01  25171
2001-08-01  24688
2001-09-01  24761
2001-10-01  24995
2001-11-01  25025
