Title:               Resident Population in Halifax County, NC
Series ID:           NCHALI0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  54.354
1971-01-01  54.100
1972-01-01  54.600
1973-01-01  55.000
1974-01-01  54.900
1975-01-01  55.200
1976-01-01  55.200
1977-01-01  55.700
1978-01-01  55.700
1979-01-01  55.500
1980-01-01  55.076
1981-01-01  55.085
1982-01-01  55.141
1983-01-01  55.133
1984-01-01  55.144
1985-01-01  55.104
1986-01-01  54.949
1987-01-01  55.279
1988-01-01  55.298
1989-01-01  55.357
1990-01-01  55.671
1991-01-01  56.012
1992-01-01  56.478
1993-01-01  57.394
1994-01-01  57.894
1995-01-01  58.187
1996-01-01  58.019
1997-01-01  57.895
1998-01-01  57.851
1999-01-01  57.440
2000-01-01  57.315
2001-01-01  56.752
2002-01-01  56.428
2003-01-01  56.167
2004-01-01  55.797
2005-01-01  55.585
2006-01-01  55.356
2007-01-01  55.269
2008-01-01  55.193
2009-01-01  54.633
2010-01-01  54.481
2011-01-01  54.122
2012-01-01  53.749
2013-01-01  53.217
2014-01-01  52.874
2015-01-01  52.230
2016-01-01  51.871
2017-01-01  51.310
