Title:               Resident Population in Hoke County, NC
Series ID:           NCHOKE3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  16.436
1971-01-01  17.000
1972-01-01  17.500
1973-01-01  17.500
1974-01-01  17.700
1975-01-01  19.100
1976-01-01  18.800
1977-01-01  19.200
1978-01-01  18.800
1979-01-01  19.600
1980-01-01  20.383
1981-01-01  20.789
1982-01-01  21.077
1983-01-01  21.186
1984-01-01  21.443
1985-01-01  21.612
1986-01-01  22.046
1987-01-01  22.583
1988-01-01  22.519
1989-01-01  22.775
1990-01-01  22.950
1991-01-01  23.293
1992-01-01  24.235
1993-01-01  25.440
1994-01-01  27.429
1995-01-01  28.452
1996-01-01  29.424
1997-01-01  30.314
1998-01-01  31.580
1999-01-01  32.833
2000-01-01  33.924
2001-01-01  34.681
2002-01-01  35.720
2003-01-01  36.423
2004-01-01  37.916
2005-01-01  39.508
2006-01-01  40.973
2007-01-01  42.029
2008-01-01  43.407
2009-01-01  44.766
2010-01-01  47.496
2011-01-01  49.489
2012-01-01  50.516
2013-01-01  51.191
2014-01-01  51.639
2015-01-01  52.802
2016-01-01  53.108
2017-01-01  54.116
