Title:               Civilian Labor Force in Henderson County, NC
Series ID:           NCHEND0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  31848
1990-02-01  32759
1990-03-01  31625
1990-04-01  32078
1990-05-01  32750
1990-06-01  33075
1990-07-01  34106
1990-08-01  33480
1990-09-01  31930
1990-10-01  31779
1990-11-01  31780
1990-12-01  31764
1991-01-01  31493
1991-02-01  31697
1991-03-01  31905
1991-04-01  32381
1991-05-01  32747
1991-06-01  33569
1991-07-01  34448
1991-08-01  35008
1991-09-01  33097
1991-10-01  32511
1991-11-01  32249
1991-12-01  32221
1992-01-01  32420
1992-02-01  32361
1992-03-01  32326
1992-04-01  32346
1992-05-01  33157
1992-06-01  33873
1992-07-01  34927
1992-08-01  34697
1992-09-01  33233
1992-10-01  32914
1992-11-01  32806
1992-12-01  32482
1993-01-01  32472
1993-02-01  32682
1993-03-01  32379
1993-04-01  32843
1993-05-01  33189
1993-06-01  33819
1993-07-01  35012
1993-08-01  34732
1993-09-01  33362
1993-10-01  33371
1993-11-01  33474
1993-12-01  33250
1994-01-01  33122
1994-02-01  33782
1994-03-01  33753
1994-04-01  33759
1994-05-01  34946
1994-06-01  35217
1994-07-01  36462
1994-08-01  36580
1994-09-01  35831
1994-10-01  36025
1994-11-01  35961
1994-12-01  35650
1995-01-01  35323
1995-02-01  35344
1995-03-01  35326
1995-04-01  35763
1995-05-01  35942
1995-06-01  36418
1995-07-01  37176
1995-08-01  36465
1995-09-01  35770
1995-10-01  36015
1995-11-01  35942
1995-12-01  35625
1996-01-01  35297
1996-02-01  35413
1996-03-01  35621
1996-04-01  35944
1996-05-01  36596
1996-06-01  37150
1996-07-01  38224
1996-08-01  37966
1996-09-01  36901
1996-10-01  37043
1996-11-01  36760
1996-12-01  36572
1997-01-01  36237
1997-02-01  36464
1997-03-01  36941
1997-04-01  36933
1997-05-01  37286
1997-06-01  37756
1997-07-01  38334
1997-08-01  37656
1997-09-01  36978
1997-10-01  37038
1997-11-01  36802
1997-12-01  36920
1998-01-01  36843
1998-02-01  36780
1998-03-01  37106
1998-04-01  36923
1998-05-01  37615
1998-06-01  37990
1998-07-01  38430
1998-08-01  37923
1998-09-01  37964
1998-10-01  37777
1998-11-01  37591
1998-12-01  37648
1999-01-01  37934
1999-02-01  37888
1999-03-01  38120
1999-04-01  38332
1999-05-01  40125
1999-06-01  39280
1999-07-01  40327
1999-08-01  39832
1999-09-01  39707
1999-10-01  39165
1999-11-01  39284
1999-12-01  39156
2000-01-01  42057
2000-02-01  42244
2000-03-01  42382
2000-04-01  42364
2000-05-01  42437
2000-06-01  42585
2000-07-01  42462
2000-08-01  42264
2000-09-01  42239
2000-10-01  42485
2000-11-01  42370
2000-12-01  42289
2001-01-01  43126
2001-02-01  42934
2001-03-01  43257
2001-04-01  43052
2001-05-01  43270
2001-06-01  43350
2001-07-01  43716
2001-08-01  43070
2001-09-01  43252
2001-10-01  43835
2001-11-01  43980
2001-12-01  43773
2002-01-01  43232
2002-02-01  43681
2002-03-01  43784
2002-04-01  43830
2002-05-01  44318
2002-06-01  44131
2002-07-01  44296
2002-08-01  43949
2002-09-01  44169
2002-10-01  44321
2002-11-01  44196
2002-12-01  44075
2003-01-01  44393
2003-02-01  44721
2003-03-01  44887
2003-04-01  45733
2003-05-01  45338
2003-06-01  45732
2003-07-01  45903
2003-08-01  45452
2003-09-01  45455
2003-10-01  45719
2003-11-01  45815
2003-12-01  45287
2004-01-01  44925
2004-02-01  44852
2004-03-01  45062
2004-04-01  45253
2004-05-01  45238
2004-06-01  45704
2004-07-01  46325
2004-08-01  45703
2004-09-01  45231
2004-10-01  45514
2004-11-01  45814
2004-12-01  45736
2005-01-01  45730
2005-02-01  45913
2005-03-01  46113
2005-04-01  45897
2005-05-01  46009
2005-06-01  46195
2005-07-01  47019
2005-08-01  46544
2005-09-01  46418
2005-10-01  46630
2005-11-01  46497
2005-12-01  46233
2006-01-01  46272
2006-02-01  46536
2006-03-01  46933
2006-04-01  47202
2006-05-01  47515
2006-06-01  48071
2006-07-01  48849
2006-08-01  48164
2006-09-01  48475
2006-10-01  48991
2006-11-01  49119
2006-12-01  48678
2007-01-01  47725
2007-02-01  47674
2007-03-01  48007
2007-04-01  47839
2007-05-01  48395
2007-06-01  48923
2007-07-01  49375
2007-08-01  48305
2007-09-01  48865
2007-10-01  49209
2007-11-01  48611
2007-12-01  48102
2008-01-01  48645
2008-02-01  48732
2008-03-01  48875
2008-04-01  49254
2008-05-01  49694
2008-06-01  49995
2008-07-01  50675
2008-08-01  50021
2008-09-01  49579
2008-10-01  49696
2008-11-01  49849
2008-12-01  49506
2009-01-01  49512
2009-02-01  49621
2009-03-01  49396
2009-04-01  49866
2009-05-01  50096
2009-06-01  49897
2009-07-01  50867
2009-08-01  49565
2009-09-01  49519
2009-10-01  49818
2009-11-01  49879
2009-12-01  49160
2010-01-01  47598
2010-02-01  47814
2010-03-01  47987
2010-04-01  48752
2010-05-01  48798
2010-06-01  48692
2010-07-01  48585
2010-08-01  48358
2010-09-01  48342
2010-10-01  48467
2010-11-01  48404
2010-12-01  47809
2011-01-01  47599
2011-02-01  47934
2011-03-01  48175
2011-04-01  48274
2011-05-01  48667
2011-06-01  48803
2011-07-01  48801
2011-08-01  48277
2011-09-01  48708
2011-10-01  48818
2011-11-01  48614
2011-12-01  48147
2012-01-01  47485
2012-02-01  47736
2012-03-01  47901
2012-04-01  48052
2012-05-01  48864
2012-06-01  48911
2012-07-01  49246
2012-08-01  48668
2012-09-01  49199
2012-10-01  49330
2012-11-01  49016
2012-12-01  48649
2013-01-01  48597
2013-02-01  48485
2013-03-01  48467
2013-04-01  48762
2013-05-01  49416
2013-06-01  49586
2013-07-01  49697
2013-08-01  49084
2013-09-01  49435
2013-10-01  49270
2013-11-01  49162
2013-12-01  48679
2014-01-01  48653
2014-02-01  48596
2014-03-01  49192
2014-04-01  49009
2014-05-01  49785
2014-06-01  49637
2014-07-01  50091
2014-08-01  49328
2014-09-01  49634
2014-10-01  50000
2014-11-01  49865
2014-12-01  49421
2015-01-01  49782
2015-02-01  49857
2015-03-01  50185
2015-04-01  50479
2015-05-01  51206
2015-06-01  51024
2015-07-01  51260
2015-08-01  50516
2015-09-01  50751
2015-10-01  51090
2015-11-01  50960
2015-12-01  50800
2016-01-01  51242
2016-02-01  51656
2016-03-01  52174
2016-04-01  51959
2016-05-01  52264
2016-06-01  52391
2016-07-01  52838
2016-08-01  52168
2016-09-01  52588
2016-10-01  52829
2016-11-01  52600
2016-12-01  52201
2017-01-01  52208
2017-02-01  52871
2017-03-01  53088
2017-04-01  52914
2017-05-01  53145
2017-06-01  53156
2017-07-01  53819
2017-08-01  53108
2017-09-01  53954
2017-10-01  53873
2017-11-01  53815
2017-12-01  53389
2018-01-01  53461
2018-02-01  53767
2018-03-01  53787
2018-04-01  53929
2018-05-01  54090
2018-06-01  54463
2018-07-01  54696
2018-08-01  53211
2018-09-01  53251
2018-10-01  53721
2018-11-01  53272
