Title:               Civilian Labor Force in Hyde County, NC
Series ID:           NCHYDE5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
1990-01-01  2305
1990-02-01  2364
1990-03-01  2407
1990-04-01  2447
1990-05-01  2597
1990-06-01  2968
1990-07-01  2885
1990-08-01  2597
1990-09-01  2633
1990-10-01  2565
1990-11-01  2594
1990-12-01  2407
1991-01-01  2372
1991-02-01  2413
1991-03-01  2413
1991-04-01  2700
1991-05-01  2986
1991-06-01  3074
1991-07-01  3190
1991-08-01  3006
1991-09-01  2830
1991-10-01  2660
1991-11-01  2797
1991-12-01  2681
1992-01-01  2628
1992-02-01  2813
1992-03-01  2588
1992-04-01  2840
1992-05-01  3080
1992-06-01  3111
1992-07-01  3332
1992-08-01  3100
1992-09-01  3067
1992-10-01  2798
1992-11-01  2709
1992-12-01  2628
1993-01-01  2462
1993-02-01  2497
1993-03-01  2443
1993-04-01  2755
1993-05-01  2805
1993-06-01  3048
1993-07-01  3151
1993-08-01  3255
1993-09-01  3005
1993-10-01  2991
1993-11-01  2898
1993-12-01  2876
1994-01-01  2337
1994-02-01  2532
1994-03-01  2520
1994-04-01  2572
1994-05-01  2922
1994-06-01  3055
1994-07-01  3058
1994-08-01  3214
1994-09-01  3069
1994-10-01  2976
1994-11-01  2865
1994-12-01  2627
1995-01-01  2564
1995-02-01  2545
1995-03-01  2613
1995-04-01  2893
1995-05-01  2964
1995-06-01  3182
1995-07-01  3254
1995-08-01  3207
1995-09-01  3181
1995-10-01  2928
1995-11-01  2756
1995-12-01  2618
1996-01-01  2427
1996-02-01  2507
1996-03-01  2582
1996-04-01  2842
1996-05-01  3101
1996-06-01  3327
1996-07-01  3631
1996-08-01  3503
1996-09-01  3221
1996-10-01  3177
1996-11-01  3064
1996-12-01  2860
1997-01-01  2746
1997-02-01  2754
1997-03-01  2759
1997-04-01  2824
1997-05-01  3069
1997-06-01  3442
1997-07-01  3611
1997-08-01  3449
1997-09-01  3297
1997-10-01  3371
1997-11-01  3193
1997-12-01  3046
1998-01-01  2751
1998-02-01  2624
1998-03-01  2709
1998-04-01  2889
1998-05-01  3094
1998-06-01  3509
1998-07-01  3456
1998-08-01  3368
1998-09-01  3401
1998-10-01  3398
1998-11-01  3301
1998-12-01  2859
1999-01-01  2943
1999-02-01  2898
1999-03-01  2955
1999-04-01  2956
1999-05-01  3115
1999-06-01  3455
1999-07-01  3700
1999-08-01  3543
1999-09-01  3534
1999-10-01  3314
1999-11-01  3064
1999-12-01  2913
2000-01-01  2415
2000-02-01  2427
2000-03-01  2514
2000-04-01  2527
2000-05-01  2919
2000-06-01  3467
2000-07-01  3273
2000-08-01  3177
2000-09-01  3083
2000-10-01  2986
2000-11-01  2931
2000-12-01  2781
2001-01-01  2572
2001-02-01  2588
2001-03-01  2545
2001-04-01  2568
2001-05-01  2656
2001-06-01  3019
2001-07-01  3058
2001-08-01  3059
2001-09-01  2970
