Title:               Civilian Labor Force in Harnett County, NC
Series ID:           NCHARN0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  30693
1990-02-01  31436
1990-03-01  31162
1990-04-01  31769
1990-05-01  31575
1990-06-01  32044
1990-07-01  30545
1990-08-01  30632
1990-09-01  32083
1990-10-01  33519
1990-11-01  32169
1990-12-01  31814
1991-01-01  30871
1991-02-01  31042
1991-03-01  31228
1991-04-01  31299
1991-05-01  31903
1991-06-01  32005
1991-07-01  31152
1991-08-01  31209
1991-09-01  32336
1991-10-01  32175
1991-11-01  31998
1991-12-01  31789
1992-01-01  31126
1992-02-01  31831
1992-03-01  31565
1992-04-01  31823
1992-05-01  32020
1992-06-01  32258
1992-07-01  31244
1992-08-01  30560
1992-09-01  32277
1992-10-01  32533
1992-11-01  32636
1992-12-01  32509
1993-01-01  31424
1993-02-01  31745
1993-03-01  31950
1993-04-01  31652
1993-05-01  32153
1993-06-01  32304
1993-07-01  31594
1993-08-01  31459
1993-09-01  32566
1993-10-01  32924
1993-11-01  32850
1993-12-01  32505
1994-01-01  32287
1994-02-01  32388
1994-03-01  32396
1994-04-01  32377
1994-05-01  32670
1994-06-01  32367
1994-07-01  31529
1994-08-01  31209
1994-09-01  33068
1994-10-01  33816
1994-11-01  33912
1994-12-01  33556
1995-01-01  33591
1995-02-01  34139
1995-03-01  34511
1995-04-01  34905
1995-05-01  34546
1995-06-01  34454
1995-07-01  33694
1995-08-01  33418
1995-09-01  34747
1995-10-01  35464
1995-11-01  35418
1995-12-01  35693
1996-01-01  34966
1996-02-01  35565
1996-03-01  35963
1996-04-01  35802
1996-05-01  36555
1996-06-01  36151
1996-07-01  35828
1996-08-01  35439
1996-09-01  36442
1996-10-01  37187
1996-11-01  37040
1996-12-01  37124
1997-01-01  36838
1997-02-01  39416
1997-03-01  37785
1997-04-01  38211
1997-05-01  38279
1997-06-01  37793
1997-07-01  36998
1997-08-01  36489
1997-09-01  38177
1997-10-01  38065
1997-11-01  38020
1997-12-01  37974
1998-01-01  39228
1998-02-01  38034
1998-03-01  38402
1998-04-01  37529
1998-05-01  37514
1998-06-01  37067
1998-07-01  37055
1998-08-01  37175
1998-09-01  38257
