Title:               Civilian Labor Force in Hertford County, NC
Series ID:           NCHERT1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
2003-06-01   9862
2003-07-01   9788
2003-08-01   9719
2003-09-01   9584
2003-10-01   9790
2003-11-01   9788
2003-12-01   9740
2004-01-01   9663
2004-02-01   9575
2004-03-01   9607
2004-04-01   9605
2004-05-01   9613
2004-06-01   9653
2004-07-01   9783
2004-08-01   9580
2004-09-01   9550
2004-10-01   9633
2004-11-01   9760
2004-12-01   9808
2005-01-01   9726
2005-02-01   9747
2005-03-01   9716
2005-04-01   9843
2005-05-01   9812
2005-06-01   9841
2005-07-01   9924
2005-08-01   9745
2005-09-01   9815
2005-10-01   9821
2005-11-01   9884
2005-12-01   9817
2006-01-01   9666
2006-02-01   9750
2006-03-01   9682
2006-04-01   9719
2006-05-01   9682
2006-06-01   9763
2006-07-01   9872
2006-08-01   9602
2006-09-01   9658
2006-10-01   9724
2006-11-01   9746
2006-12-01   9752
2007-01-01   9907
2007-02-01   9822
2007-03-01   9851
2007-04-01   9937
2007-05-01   9975
2007-06-01  10018
2007-07-01   9937
2007-08-01   9693
2007-09-01   9825
2007-10-01  10015
2007-11-01  10113
2007-12-01  10006
2008-01-01   9755
2008-02-01   9608
2008-03-01   9715
2008-04-01   9725
2008-05-01   9816
2008-06-01   9906
2008-07-01   9964
2008-08-01   9750
2008-09-01   9791
2008-10-01   9832
2008-11-01   9983
2008-12-01   9883
2009-01-01   9970
2009-02-01   9999
2009-03-01   9948
2009-04-01  10066
2009-05-01  10181
2009-06-01  10207
2009-07-01  10219
2009-08-01   9977
2009-09-01   9981
2009-10-01  10045
2009-11-01  10060
2009-12-01   9989
2010-01-01   9779
2010-02-01   9872
2010-03-01   9905
2010-04-01   9862
2010-05-01   9962
2010-06-01   9982
2010-07-01   9919
2010-08-01   9765
2010-09-01   9844
2010-10-01   9769
2010-11-01   9691
2010-12-01   9601
2011-01-01   9621
2011-02-01   9631
2011-03-01   9665
2011-04-01   9556
2011-05-01   9627
2011-06-01   9588
2011-07-01   9571
2011-08-01   9545
2011-09-01   9656
2011-10-01   9756
2011-11-01   9728
2011-12-01   9631
2012-01-01   9575
2012-02-01   9612
2012-03-01   9580
2012-04-01   9525
2012-05-01   9630
2012-06-01   9565
2012-07-01   9627
2012-08-01   9395
2012-09-01   9549
2012-10-01   9662
2012-11-01   9598
2012-12-01   9568
2013-01-01   9487
2013-02-01   9530
2013-03-01   9430
2013-04-01   9419
2013-05-01   9552
2013-06-01   9532
2013-07-01   9534
2013-08-01   9352
2013-09-01   9506
2013-10-01   9600
2013-11-01   9554
2013-12-01   9529
2014-01-01   9431
2014-02-01   9464
2014-03-01   9468
2014-04-01   9381
2014-05-01   9527
2014-06-01   9408
2014-07-01   9399
2014-08-01   9279
2014-09-01   9328
2014-10-01   9380
2014-11-01   9317
2014-12-01   9246
2015-01-01   9191
2015-02-01   9200
2015-03-01   9255
2015-04-01   9220
2015-05-01   9333
2015-06-01   9227
2015-07-01   9232
2015-08-01   9112
2015-09-01   9204
2015-10-01   9277
2015-11-01   9223
2015-12-01   9186
2016-01-01   9273
2016-02-01   9349
2016-03-01   9478
2016-04-01   9301
