Title:               State Government Tax Collections, Hunting and Fishing Licenses in North Carolina
Series ID:           NCHUNTLICTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:32 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE        VALUE
1942-01-01    412
1943-01-01      .
1944-01-01    298
1945-01-01      .
1946-01-01    555
1947-01-01      .
1948-01-01    867
1949-01-01      .
1950-01-01   1090
1951-01-01   1152
1952-01-01   1232
1953-01-01   1292
1954-01-01   1407
1955-01-01   1424
1956-01-01   1473
1957-01-01   1473
1958-01-01   1730
1959-01-01   1778
1960-01-01   1809
1961-01-01   1875
1962-01-01   2095
1963-01-01   2264
1964-01-01   2417
1965-01-01   2565
1966-01-01   2711
1967-01-01   3122
1968-01-01   3219
1969-01-01   3380
1970-01-01   4021
1971-01-01   4080
1972-01-01   4180
1973-01-01   4505
1974-01-01   4750
1975-01-01   4858
1976-01-01   6489
1977-01-01   6757
1978-01-01   6741
1979-01-01   7111
1980-01-01   8345
1981-01-01   8267
1982-01-01   8262
1983-01-01   7804
1984-01-01   9856
1985-01-01  10906
1986-01-01  10771
1987-01-01  10738
1988-01-01  12424
1989-01-01  13299
1990-01-01  13573
1991-01-01  14595
1992-01-01  13644
1993-01-01  14177
1994-01-01  14737
1995-01-01  15229
1996-01-01  15515
1997-01-01  15017
1998-01-01  16300
1999-01-01  15779
2000-01-01  14810
2001-01-01  13503
2002-01-01  15114
2003-01-01  14164
2004-01-01  14891
2005-01-01  15035
2006-01-01  15929
2007-01-01  17419
2008-01-01  16410
2009-01-01  16877
2010-01-01  16331
2011-01-01  16663
2012-01-01  17065
2013-01-01  16619
2014-01-01  28727
2015-01-01  32984
2016-01-01  34310
2017-01-01  33799
