Title:               Civilian Labor Force in Hoke County, NC
Series ID:           NCHOKE3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01   9541
1990-02-01   9482
1990-03-01   9612
1990-04-01   9658
1990-05-01   9831
1990-06-01   9878
1990-07-01   9831
1990-08-01   9729
1990-09-01   9513
1990-10-01   9928
1990-11-01   9909
1990-12-01   9735
1991-01-01   9315
1991-02-01   9510
1991-03-01   9660
1991-04-01   9737
1991-05-01   9791
1991-06-01   9890
1991-07-01  10189
1991-08-01   9940
1991-09-01   9832
1991-10-01   9848
1991-11-01   9809
1991-12-01   9651
1992-01-01   9737
1992-02-01   9860
1992-03-01   9786
1992-04-01   9931
1992-05-01  10025
1992-06-01  10264
1992-07-01  10498
1992-08-01  10207
1992-09-01   9997
1992-10-01  10136
1992-11-01  10182
1992-12-01  10060
1993-01-01  10181
1993-02-01  10233
1993-03-01  10219
1993-04-01  10222
1993-05-01  10465
1993-06-01  10589
1993-07-01  10798
1993-08-01  10497
1993-09-01  10199
1993-10-01  10373
1993-11-01  10339
1993-12-01  10138
1994-01-01  10328
1994-02-01  10506
1994-03-01  10535
1994-04-01  10616
1994-05-01  10807
1994-06-01  10724
1994-07-01  10973
1994-08-01  10740
1994-09-01  11031
1994-10-01  11254
1994-11-01  11032
1994-12-01  10903
1995-01-01  10465
1995-02-01  10551
1995-03-01  10625
1995-04-01  10782
1995-05-01  10802
1995-06-01  10840
1995-07-01  11265
1995-08-01  11224
1995-09-01  10965
1995-10-01  11086
1995-11-01  10929
1995-12-01  10712
1996-01-01  10650
1996-02-01  10990
1996-03-01  11004
1996-04-01  11159
1996-05-01  11279
1996-06-01  11316
1996-07-01  11471
1996-08-01  11387
1996-09-01  11265
