Title:               Allowance for Loan and Lease Losses for Commercial Banks with Assets under $5B in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           LLSCGR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Allowance for Loan and Lease Losses call item
                     RCFD3123.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE        VALUE
1989-01-01  15020
1989-04-01  15492
1989-07-01  15788
1989-10-01  16603
1990-01-01  17017
1990-04-01  17484
1990-07-01  17908
1990-10-01  26108
1991-01-01  26309
1991-04-01  26660
1991-07-01  26202
1991-10-01  24852
1992-01-01  23010
1992-04-01  22179
1992-07-01  23029
1992-10-01  25233
1993-01-01  25964
1993-04-01  25321
1993-07-01  31455
1993-10-01  30685
1994-01-01  30925
1994-04-01  29061
1994-07-01  33629
1994-10-01  30046
1995-01-01  30707
1995-04-01  22827
1995-07-01  23045
1995-10-01  24379
1996-01-01  26058
1996-04-01  29499
1996-07-01  30660
1996-10-01  32099
1997-01-01  36802
1997-04-01  22601
1997-07-01  23569
1997-10-01  27744
1998-01-01  28798
1998-04-01  38286
1998-07-01  32196
1998-10-01  32326
1999-01-01  42700
1999-04-01  43463
1999-07-01  47845
1999-10-01  47913
2000-01-01  47787
2000-04-01  44639
2000-07-01  47007
2000-10-01  48824
2001-01-01  50000
2001-04-01  51006
2001-07-01  53691
2001-10-01  48061
2002-01-01  46468
2002-04-01  55333
2002-07-01  64361
2002-10-01  46442
2003-01-01  46421
2003-04-01  44564
2003-07-01  43688
2003-10-01  45586
2004-01-01  46225
2004-04-01  47052
2004-07-01  48782
2004-10-01  49069
2005-01-01  50395
2005-04-01  54065
2005-07-01  56410
2005-10-01  55711
2006-01-01  61843
2006-04-01  63888
2006-07-01  60131
2006-10-01  62492
2007-01-01  72125
2007-04-01  83223
2007-07-01  83272
2007-10-01  86290
2008-01-01  91408
2008-04-01  49806
2008-07-01  54592
2008-10-01  55694
2009-01-01  61816
2009-04-01  45363
2009-07-01  52599
2009-10-01  59179
2010-01-01  61366
2010-04-01  69194
2010-07-01  73807
2010-10-01  80792
2011-01-01  76466
2011-04-01  73698
2011-07-01  64099
2011-10-01  75982
2012-01-01  78029
2012-04-01  74070
2012-07-01  74497
2012-10-01  56981
2013-01-01  56696
2013-04-01  78208
2013-07-01  71314
2013-10-01  66337
2014-01-01  66074
2014-04-01  62390
2014-07-01  52556
2014-10-01  47793
2015-01-01  48324
2015-04-01  48026
2015-07-01  49235
2015-10-01  49782
2016-01-01  40623
2016-04-01  40675
2016-07-01  41252
2016-10-01  40560
2017-01-01  41392
2017-04-01  41038
2017-07-01  41025
2017-10-01  25485
2018-01-01  26161
2018-04-01  26143
2018-07-01  23384
