Title:               Allowance for Loan and Lease Losses for Commercial Banks with Assets under $5B in Raleigh, NC (MSA)
Series ID:           LLSRCY
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Allowance for Loan and Lease Losses call item
                     RCFD3123.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE         VALUE
1989-01-01   39196
1989-04-01   40822
1989-07-01   42096
1989-10-01   42879
1990-01-01   44916
1990-04-01   46175
1990-07-01   46854
1990-10-01   49545
1991-01-01   49672
1991-04-01   51145
1991-07-01    5991
1991-10-01    5974
1992-01-01    6319
1992-04-01    6702
1992-07-01    7250
1992-10-01    7320
1993-01-01    7709
1993-04-01    7774
1993-07-01    8052
1993-10-01   13150
1994-01-01   12408
1994-04-01   11671
1994-07-01   11876
1994-10-01   11728
1995-01-01   12004
1995-04-01   14826
1995-07-01   15144
1995-10-01   15850
1996-01-01   16425
1996-04-01   14822
1996-07-01   15419
1996-10-01   15749
1997-01-01   16467
1997-04-01   17478
1997-07-01   18592
1997-10-01   18716
1998-01-01   19098
1998-04-01   20627
1998-07-01   24001
1998-10-01   25608
1999-01-01   26323
1999-04-01   27721
1999-07-01   28727
1999-10-01   30360
2000-01-01   11844
2000-04-01   13820
2000-07-01   15448
2000-10-01   16887
2001-01-01   18196
2001-04-01   19698
2001-07-01   20522
2001-10-01   21247
2002-01-01   24008
2002-04-01   26100
2002-07-01   27672
2002-10-01   31073
2003-01-01   32208
2003-04-01   33005
2003-07-01   37297
2003-10-01   37664
2004-01-01   38374
2004-04-01   38758
2004-07-01   39551
2004-10-01   39690
2005-01-01   40660
2005-04-01   41757
2005-07-01   42352
2005-10-01   43689
2006-01-01   50521
2006-04-01   52512
2006-07-01   54303
2006-10-01   54689
2007-01-01   56850
2007-04-01   60901
2007-07-01   64666
2007-10-01   67673
2008-01-01   72760
2008-04-01   77152
2008-07-01   82008
2008-10-01   91708
2009-01-01  101849
2009-04-01  101797
2009-07-01  105230
2009-10-01  120946
2010-01-01  121182
2010-04-01  129600
2010-07-01  128261
2010-10-01  138625
2011-01-01  104566
2011-04-01  102653
2011-07-01  100368
2011-10-01   76193
2012-01-01   72831
2012-04-01   72868
2012-07-01   71810
2012-10-01   71127
2013-01-01   66358
2013-04-01   66003
2013-07-01   63877
2013-10-01   62028
2014-01-01   62705
2014-04-01   58024
2014-07-01   48969
2014-10-01   48737
2015-01-01   49607
2015-04-01   47973
2015-07-01   47971
2015-10-01   43158
2016-01-01   43327
2016-04-01   43515
2016-07-01   44160
2016-10-01   43103
2017-01-01   43412
2017-04-01   44382
2017-07-01   44923
2017-10-01   35821
2018-01-01   26675
2018-04-01   26955
2018-07-01   26724
