Title:               New Private Housing Units Authorized by Building Permits for Charlotte-Gastonia-Concord, NC-SC (MSA)
Series ID:           CHAR737BPPRIV
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE        VALUE
2004-01-01   1404
2004-02-01   1274
2004-03-01   2311
2004-04-01   2164
2004-05-01   1931
2004-06-01   1932
2004-07-01   2638
2004-08-01   1717
2004-09-01   1526
2004-10-01   1448
2004-11-01   1596
2004-12-01   1598
2005-01-01   1419
2005-02-01   1448
2005-03-01   1867
2005-04-01   1931
2005-05-01   1968
2005-06-01   1905
2005-07-01   1915
2005-08-01   2052
2005-09-01   2127
2005-10-01   1901
2005-11-01   1902
2005-12-01   1465
2006-01-01   1629
2006-02-01   2061
2006-03-01   2458
2006-04-01   2513
2006-05-01   2034
2006-06-01   2213
2006-07-01   2081
2006-08-01   1975
2006-09-01   2386
2006-10-01   2075
2006-11-01   1454
2006-12-01   2470
2007-01-01   2405
2007-02-01   1605
2007-03-01   1625
2007-04-01   1748
2007-05-01   2184
2007-06-01   2380
2007-07-01   1792
2007-08-01   1482
2007-09-01   1552
2007-10-01   1416
2007-11-01   1573
2007-12-01    821
2008-01-01   1525
2008-02-01   1224
2008-03-01    834
2008-04-01    758
2008-05-01   1530
2008-06-01   1609
2008-07-01    995
2008-08-01   1089
2008-09-01    558
2008-10-01    825
2008-11-01    505
2008-12-01    688
2009-01-01    804
2009-02-01    242
2009-03-01    507
2009-04-01    543
2009-05-01    481
2009-06-01   1064
2009-07-01    407
2009-08-01    989
2009-09-01    598
2009-10-01    588
2009-11-01    379
2009-12-01    469
2010-01-01    466
2010-02-01    642
2010-03-01    639
2010-04-01    629
2010-05-01    520
2010-06-01    554
2010-07-01    470
2010-08-01    406
2010-09-01    359
2010-10-01    329
2010-11-01    260
2010-12-01    348
2011-01-01    359
2011-02-01    434
2011-03-01    636
2011-04-01    476
2011-05-01    491
2011-06-01    601
2011-07-01    525
2011-08-01    836
2011-09-01    507
2011-10-01    500
2011-11-01    525
2011-12-01    388
2012-01-01    995
2012-02-01    923
2012-03-01    878
2012-04-01    815
2012-05-01   1601
2012-06-01    706
2012-07-01   1223
2012-08-01   1114
2012-09-01    813
2012-10-01   1130
2012-11-01    967
2012-12-01   1013
2013-01-01   1451
2013-02-01   1187
2013-03-01    933
2013-04-01   1243
2013-05-01   1134
2013-06-01   1221
2013-07-01    805
2013-08-01    868
2013-09-01   1238
2013-10-01   1572
2013-11-01   1206
2013-12-01   1378
2014-01-01    872
2014-02-01   1115
2014-03-01   1671
2014-04-01   1376
2014-05-01   1071
2014-06-01   1144
2014-07-01   1676
2014-08-01   1501
2014-09-01   1999
2014-10-01   1670
2014-11-01   1072
2014-12-01   1341
2015-01-01   1079
2015-02-01   1778
2015-03-01   1313
2015-04-01   1572
2015-05-01   1888
2015-06-01   1536
2015-07-01   1444
2015-08-01   1375
2015-09-01   1700
2015-10-01   2201
2015-11-01   1082
2015-12-01   1720
2016-01-01   1090
2016-02-01   1147
2016-03-01   1827
2016-04-01   1696
2016-05-01   1168
2016-06-01   1594
2016-07-01   2347
2016-08-01   2308
2016-09-01   1842
2016-10-01   1800
2016-11-01   1168
2016-12-01   1198
2017-01-01   1327
2017-02-01   1810
2017-03-01   1841
2017-04-01   1173
2017-05-01   1549
2017-06-01   1498
2017-07-01   2054
2017-08-01   2339
2017-09-01   2258
2017-10-01   2496
2017-11-01   1982
2017-12-01   1182
2018-01-01   2893
2018-02-01   2419
2018-03-01   1795
2018-04-01   2130
2018-05-01   2226
2018-06-01   1632
2018-07-01   1793
2018-08-01   2267
2018-09-01   1749
2018-10-01   1666
