Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charlotte-Gastonia-Concord, NC-SC (MSA)
Series ID:           CHAR737BP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE        VALUE
1988-01-01    379
1988-02-01    681
1988-03-01    828
1988-04-01    729
1988-05-01    774
1988-06-01    863
1988-07-01    655
1988-08-01    784
1988-09-01    770
1988-10-01    732
1988-11-01    583
1988-12-01    611
1989-01-01    634
1989-02-01    609
1989-03-01    736
1989-04-01    716
1989-05-01    775
1989-06-01    699
1989-07-01    641
1989-08-01    811
1989-09-01    588
1989-10-01    625
1989-11-01    594
1989-12-01    435
1990-01-01    621
1990-02-01    594
1990-03-01    845
1990-04-01    785
1990-05-01    776
1990-06-01    736
1990-07-01    674
1990-08-01    663
1990-09-01    592
1990-10-01    508
1990-11-01    456
1990-12-01    322
1991-01-01    377
1991-02-01    467
1991-03-01    613
1991-04-01    687
1991-05-01    727
1991-06-01    636
1991-07-01    647
1991-08-01    555
1991-09-01    595
1991-10-01    606
1991-11-01    530
1991-12-01    463
1992-01-01    655
1992-02-01    695
1992-03-01    877
1992-04-01    780
1992-05-01    767
1992-06-01    664
1992-07-01    789
1992-08-01    672
1992-09-01    772
1992-10-01    667
1992-11-01    561
1992-12-01    653
1993-01-01    582
1993-02-01    683
1993-03-01    867
1993-04-01   1174
1993-05-01    571
1993-06-01    703
1993-07-01    855
1993-08-01    822
1993-09-01    789
1993-10-01    766
1993-11-01    868
1993-12-01    700
1994-01-01    689
1994-02-01    813
1994-03-01   1096
1994-04-01    983
1994-05-01    960
1994-06-01    900
1994-07-01    814
1994-08-01   1019
1994-09-01    825
1994-10-01    731
1994-11-01    743
1994-12-01    661
1995-01-01    665
1995-02-01    650
1995-03-01    964
1995-04-01    801
1995-05-01    978
1995-06-01    946
1995-07-01    887
1995-08-01   1078
1995-09-01    831
1995-10-01    999
1995-11-01    827
1995-12-01    788
1996-01-01    731
1996-02-01    948
1996-03-01   1116
1996-04-01   1173
1996-05-01   1201
1996-06-01   1100
1996-07-01   1037
1996-08-01   1109
1996-09-01    943
1996-10-01   1086
1996-11-01    899
1996-12-01   1166
1997-01-01   1027
1997-02-01    999
1997-03-01   1156
1997-04-01   1315
1997-05-01   1409
1997-06-01   1149
1997-07-01   1065
1997-08-01   1049
1997-09-01    996
1997-10-01   1120
1997-11-01    891
1997-12-01    858
1998-01-01    993
1998-02-01    996
1998-03-01   1567
1998-04-01   1374
1998-05-01   1423
1998-06-01   1323
1998-07-01   1409
1998-08-01   1362
1998-09-01   1461
1998-10-01   1436
1998-11-01   1099
1998-12-01   1279
1999-01-01   1371
1999-02-01   1383
1999-03-01   1768
1999-04-01   1699
1999-05-01   1614
1999-06-01   1976
1999-07-01   1400
1999-08-01   1452
1999-09-01   1299
1999-10-01   1040
1999-11-01   1269
1999-12-01    964
