Title:               Civilian Labor Force in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE           VALUE
1990-01-01    744698
1990-02-01    746669
1990-03-01    748070
1990-04-01    749221
1990-05-01    750973
1990-06-01    752023
1990-07-01    752101
1990-08-01    752038
1990-09-01    751881
1990-10-01    751888
1990-11-01    752930
1990-12-01    754617
1991-01-01    755418
1991-02-01    755315
1991-03-01    755754
1991-04-01    756633
1991-05-01    757205
1991-06-01    757705
1991-07-01    758176
1991-08-01    759953
1991-09-01    762898
1991-10-01    764298
1991-11-01    763478
1991-12-01    763442
1992-01-01    764867
1992-02-01    765484
1992-03-01    765575
1992-04-01    765875
1992-05-01    767706
1992-06-01    771079
1992-07-01    774718
1992-08-01    776725
1992-09-01    775961
1992-10-01    776207
1992-11-01    778361
1992-12-01    779998
1993-01-01    781357
1993-02-01    782737
1993-03-01    783522
1993-04-01    784726
1993-05-01    787332
1993-06-01    788971
1993-07-01    788340
1993-08-01    786721
1993-09-01    786728
1993-10-01    789579
1993-11-01    792455
1993-12-01    794400
1994-01-01    796116
1994-02-01    796753
1994-03-01    797215
1994-04-01    798875
1994-05-01    800337
1994-06-01    802216
1994-07-01    805467
1994-08-01    809237
1994-09-01    813181
1994-10-01    815793
1994-11-01    817038
1994-12-01    817876
1995-01-01    818357
1995-02-01    818692
1995-03-01    820375
1995-04-01    822506
1995-05-01    822100
1995-06-01    822137
1995-07-01    824156
1995-08-01    825913
1995-09-01    827964
1995-10-01    829964
1995-11-01    831990
1995-12-01    834894
1996-01-01    838799
1996-02-01    843860
1996-03-01    848814
1996-04-01    852763
1996-05-01    855891
1996-06-01    858027
1996-07-01    858696
1996-08-01    860036
1996-09-01    864511
1996-10-01    869015
1996-11-01    871238
1996-12-01    872648
1997-01-01    873398
1997-02-01    875187
1997-03-01    878567
1997-04-01    880549
1997-05-01    881154
1997-06-01    880091
1997-07-01    877823
1997-08-01    877313
1997-09-01    876477
1997-10-01    874439
1997-11-01    874294
1997-12-01    875271
1998-01-01    875900
1998-02-01    876991
1998-03-01    878428
1998-04-01    879634
1998-05-01    881037
1998-06-01    882826
1998-07-01    885537
1998-08-01    888301
1998-09-01    888678
1998-10-01    888136
1998-11-01    888834
1998-12-01    889857
1999-01-01    906960
1999-02-01    908042
1999-03-01    907349
1999-04-01    906907
1999-05-01    908056
1999-06-01    910897
1999-07-01    915220
1999-08-01    918337
1999-09-01    920717
1999-10-01    924180
1999-11-01    927463
1999-12-01    929741
2000-01-01    928612
2000-02-01    930804
2000-03-01    933878
2000-04-01    936947
2000-05-01    939107
2000-06-01    942951
2000-07-01    945970
2000-08-01    944016
2000-09-01    941137
2000-10-01    941515
2000-11-01    944516
2000-12-01    950723
2001-01-01    957573
2001-02-01    960577
2001-03-01    960761
2001-04-01    960911
2001-05-01    960791
2001-06-01    960854
2001-07-01    960684
2001-08-01    958202
2001-09-01    957255
2001-10-01    958346
2001-11-01    959733
2001-12-01    961583
2002-01-01    963480
2002-02-01    965789
2002-03-01    965811
2002-04-01    963344
2002-05-01    961899
2002-06-01    962804
2002-07-01    964531
2002-08-01    965534
2002-09-01    964617
2002-10-01    961604
2002-11-01    959499
2002-12-01    962946
2003-01-01    971622
2003-02-01    978788
2003-03-01    982684
2003-04-01    985274
2003-05-01    986692
2003-06-01    985003
2003-07-01    979684
2003-08-01    977382
2003-09-01    979289
2003-10-01    981761
2003-11-01    984459
2003-12-01    985664
2004-01-01    985097
2004-02-01    983839
2004-03-01    981289
2004-04-01    978314
2004-05-01    978014
2004-06-01    979744
2004-07-01    980255
2004-08-01    979847
2004-09-01    980774
2004-10-01    983786
2004-11-01    986725
2004-12-01    987140
2005-01-01    986532
2005-02-01    987059
2005-03-01    988969
2005-04-01    992700
2005-05-01    996366
2005-06-01    998409
2005-07-01   1000702
2005-08-01   1003917
2005-09-01   1008353
2005-10-01   1012596
2005-11-01   1014083
2005-12-01   1015931
2006-01-01   1019898
2006-02-01   1024024
2006-03-01   1028680
2006-04-01   1033927
2006-05-01   1037811
2006-06-01   1040601
2006-07-01   1045950
2006-08-01   1052924
2006-09-01   1057667
2006-10-01   1061278
2006-11-01   1064722
2006-12-01   1065068
2007-01-01   1062207
2007-02-01   1061169
2007-03-01   1062533
2007-04-01   1063540
2007-05-01   1064971
2007-06-01   1066453
2007-07-01   1067722
2007-08-01   1070423
2007-09-01   1073478
2007-10-01   1075842
2007-11-01   1078194
2007-12-01   1079237
2008-01-01   1078544
2008-02-01   1078481
2008-03-01   1080716
2008-04-01   1083850
2008-05-01   1085594
2008-06-01   1085498
2008-07-01   1085926
2008-08-01   1088492
2008-09-01   1090909
2008-10-01   1089237
2008-11-01   1100531
2008-12-01   1104574
2009-01-01   1103169
2009-02-01   1100923
2009-03-01   1099853
2009-04-01   1098419
2009-05-01   1095732
2009-06-01   1092963
2009-07-01   1091911
2009-08-01   1091443
2009-09-01   1088592
2009-10-01   1085357
2009-11-01   1084590
2009-12-01   1085537
2010-01-01   1129054
2010-02-01   1132658
2010-03-01   1138940
2010-04-01   1145654
2010-05-01   1145628
2010-06-01   1141185
2010-07-01   1140929
2010-08-01   1143562
2010-09-01   1141720
2010-10-01   1140489
2010-11-01   1144261
2010-12-01   1146734
2011-01-01   1146350
2011-02-01   1146366
2011-03-01   1147966
2011-04-01   1149324
2011-05-01   1149325
2011-06-01   1149361
2011-07-01   1152485
2011-08-01   1158340
2011-09-01   1160581
2011-10-01   1160320
2011-11-01   1162049
2011-12-01   1163019
2012-01-01   1162888
2012-02-01   1164213
2012-03-01   1165094
2012-04-01   1165847
2012-05-01   1168802
2012-06-01   1171463
2012-07-01   1173206
2012-08-01   1175870
2012-09-01   1180937
2012-10-01   1185347
2012-11-01   1186174
2012-12-01   1186869
2013-01-01   1187021
2013-02-01   1184751
2013-03-01   1182666
2013-04-01   1183039
2013-05-01   1184382
2013-06-01   1185114
2013-07-01   1185582
2013-08-01   1185676
2013-09-01   1184800
2013-10-01   1184887
2013-11-01   1187295
2013-12-01   1189774
2014-01-01   1192294
2014-02-01   1195805
2014-03-01   1198190
2014-04-01   1198345
2014-05-01   1199568
2014-06-01   1203097
2014-07-01   1206750
2014-08-01   1208725
2014-09-01   1211249
2014-10-01   1215165
2014-11-01   1217304
2014-12-01   1219597
2015-01-01   1223940
2015-02-01   1226888
2015-03-01   1228200
2015-04-01   1233390
2015-05-01   1241038
2015-06-01   1244858
2015-07-01   1245016
2015-08-01   1243250
2015-09-01   1242961
2015-10-01   1246867
2015-11-01   1252642
2015-12-01   1258081
2016-01-01   1262363
2016-02-01   1266204
2016-03-01   1268523
2016-04-01   1268147
2016-05-01   1269156
2016-06-01   1274470
2016-07-01   1279236
2016-08-01   1281843
2016-09-01   1286148
2016-10-01   1289749
2016-11-01   1290452
2016-12-01   1291954
2017-01-01   1295723
2017-02-01   1299671
2017-03-01   1302908
2017-04-01   1304883
2017-05-01   1308276
2017-06-01   1315073
2017-07-01   1319780
2017-08-01   1323042
2017-09-01   1327836
2017-10-01   1329807
2017-11-01   1330102
2017-12-01   1331684
2018-01-01   1331666
2018-02-01   1334399
2018-03-01   1340265
2018-04-01   1337964
2018-05-01   1340356
2018-06-01   1344936
2018-07-01   1345275
2018-08-01   1335029
2018-09-01   1335359
2018-10-01   1343697
2018-11-01   1343613
