Title:               All Employees: Leisure and Hospitality in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737LEIH
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               The data services of the Federal Reserve Bank of St. Louis include
                     series that are seasonally adjusted. To make these adjustments, we use
                     the X-12 Procedure of SAS to remove the seasonal component of the
                     series so that non-seasonal trends can be analyzed. This procedure is
                     based on the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment
                     Program. More information on this program can be found at
                     http://www.census.gov/srd/www/x12a/.
                     The seasonal moving average function used is that of the Census
                     Bureau’s X-11-ARIMA program. This includes a 3x3 moving average for
                     the initial seasonal factors and a 3x5 moving average to calculate the
                     final seasonal factors. The D11 function is also used to output the
                     entire seasonally adjusted series that is displayed. For specific
                     information on the SAS X-12 procedure, please visit their website:
                     http://support.sas.com/documentation/cdl/en/etsug/60372/HTML/default/viewer.htm#etsug_x12_sect001.htm.

DATE        VALUE
1990-01-01   52.3
1990-02-01   52.9
1990-03-01   52.6
1990-04-01   53.2
1990-05-01   52.8
1990-06-01   53.3
1990-07-01   52.7
1990-08-01   53.0
1990-09-01   53.4
1990-10-01   53.3
1990-11-01   53.0
1990-12-01   52.9
1991-01-01   52.3
1991-02-01   52.3
1991-03-01   52.4
1991-04-01   51.9
1991-05-01   52.6
1991-06-01   52.5
1991-07-01   52.5
1991-08-01   52.7
1991-09-01   52.6
1991-10-01   53.4
1991-11-01   52.7
1991-12-01   52.6
1992-01-01   54.0
1992-02-01   53.7
1992-03-01   54.3
1992-04-01   54.5
1992-05-01   54.6
1992-06-01   54.6
1992-07-01   55.5
1992-08-01   55.8
1992-09-01   56.6
1992-10-01   56.5
1992-11-01   57.0
1992-12-01   57.1
1993-01-01   57.1
1993-02-01   57.4
1993-03-01   56.9
1993-04-01   58.3
1993-05-01   58.8
1993-06-01   58.3
1993-07-01   58.7
1993-08-01   58.6
1993-09-01   58.5
1993-10-01   58.9
1993-11-01   59.2
1993-12-01   59.5
1994-01-01   59.7
1994-02-01   59.7
1994-03-01   59.7
1994-04-01   59.6
1994-05-01   59.4
1994-06-01   60.1
1994-07-01   60.2
1994-08-01   60.7
1994-09-01   60.9
1994-10-01   61.9
1994-11-01   61.8
1994-12-01   62.0
1995-01-01   62.4
1995-02-01   62.8
1995-03-01   62.6
1995-04-01   63.1
1995-05-01   63.4
1995-06-01   64.2
1995-07-01   64.4
1995-08-01   64.7
