Title:               All Employees: Trade, Transportation, and Utilities in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737TRADN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               

DATE        VALUE
1990-01-01  157.8
1990-02-01  157.9
1990-03-01  159.1
1990-04-01  157.7
1990-05-01  158.2
1990-06-01  158.1
1990-07-01  156.7
1990-08-01  157.0
1990-09-01  157.1
1990-10-01  157.0
1990-11-01  158.8
1990-12-01  160.0
1991-01-01  153.1
1991-02-01  151.1
1991-03-01  152.0
1991-04-01  151.9
1991-05-01  153.0
1991-06-01  153.0
1991-07-01  154.5
1991-08-01  156.3
1991-09-01  155.8
1991-10-01  156.9
1991-11-01  158.0
1991-12-01  159.1
1992-01-01  152.5
1992-02-01  151.3
1992-03-01  152.5
1992-04-01  154.6
1992-05-01  155.0
1992-06-01  155.9
1992-07-01  156.5
1992-08-01  157.2
1992-09-01  157.9
1992-10-01  159.5
1992-11-01  161.2
1992-12-01  164.3
1993-01-01  156.2
1993-02-01  155.8
1993-03-01  156.2
1993-04-01  158.0
1993-05-01  158.4
1993-06-01  159.6
1993-07-01  160.4
1993-08-01  161.4
1993-09-01  161.5
1993-10-01  164.0
1993-11-01  166.2
1993-12-01  169.0
1994-01-01  162.0
1994-02-01  161.9
1994-03-01  162.9
1994-04-01  164.4
1994-05-01  165.0
1994-06-01  166.5
1994-07-01  167.3
1994-08-01  168.4
1994-09-01  169.0
1994-10-01  169.4
1994-11-01  171.4
1994-12-01  174.5
1995-01-01  169.6
1995-02-01  169.5
1995-03-01  170.3
1995-04-01  171.4
1995-05-01  174.1
1995-06-01  174.5
1995-07-01  172.8
1995-08-01  173.8
1995-09-01  174.9
1995-10-01  175.9
1995-11-01  178.7
1995-12-01  181.1
1996-01-01  173.4
1996-02-01  172.4
1996-03-01  173.5
1996-04-01  173.7
1996-05-01  175.1
1996-06-01  175.8
1996-07-01  174.8
1996-08-01  175.8
1996-09-01  176.6
1996-10-01  177.8
1996-11-01  181.4
1996-12-01  184.7
1997-01-01  178.4
1997-02-01  177.7
1997-03-01  179.1
1997-04-01  179.8
1997-05-01  180.8
1997-06-01  181.7
1997-07-01  180.1
1997-08-01  180.5
1997-09-01  180.9
1997-10-01  180.2
1997-11-01  183.6
1997-12-01  185.6
1998-01-01  179.5
1998-02-01  178.8
1998-03-01  179.4
1998-04-01  181.8
1998-05-01  183.4
1998-06-01  185.0
1998-07-01  185.2
1998-08-01  186.4
1998-09-01  187.4
1998-10-01  186.1
1998-11-01  189.3
1998-12-01  191.6
1999-01-01  187.1
1999-02-01  187.5
1999-03-01  188.7
1999-04-01  190.2
1999-05-01  191.6
1999-06-01  192.1
1999-07-01  193.2
1999-08-01  194.3
1999-09-01  195.4
1999-10-01  196.2
1999-11-01  198.9
1999-12-01  202.1
2000-01-01  196.1
2000-02-01  195.9
2000-03-01  197.3
2000-04-01  198.6
2000-05-01  199.8
2000-06-01  201.5
2000-07-01  198.6
2000-08-01  198.8
2000-09-01  198.8
2000-10-01  199.8
2000-11-01  202.5
2000-12-01  204.3
2001-01-01  198.3
2001-02-01  197.6
2001-03-01  198.4
2001-04-01  200.2
2001-05-01  200.5
2001-06-01  201.3
2001-07-01  199.0
2001-08-01  199.2
2001-09-01  198.9
2001-10-01  199.2
2001-11-01  200.7
2001-12-01  201.5
2002-01-01  194.6
2002-02-01  193.2
2002-03-01  194.7
2002-04-01  194.1
2002-05-01  194.3
2002-06-01  195.2
2002-07-01  194.8
2002-08-01  195.7
