Title:               All Employees: Government in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737GOVTN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               

DATE        VALUE
1990-01-01   78.1
1990-02-01   79.2
1990-03-01   80.0
1990-04-01   80.8
1990-05-01   81.3
1990-06-01   81.3
1990-07-01   71.8
1990-08-01   73.6
1990-09-01   79.5
1990-10-01   82.4
1990-11-01   83.0
1990-12-01   83.1
1991-01-01   81.8
1991-02-01   82.4
1991-03-01   83.0
1991-04-01   82.7
1991-05-01   82.5
1991-06-01   82.0
1991-07-01   74.2
1991-08-01   75.0
1991-09-01   81.1
1991-10-01   83.9
1991-11-01   84.2
1991-12-01   84.5
1992-01-01   83.3
1992-02-01   84.6
1992-03-01   85.2
1992-04-01   85.3
1992-05-01   85.7
1992-06-01   84.3
1992-07-01   76.4
1992-08-01   79.1
1992-09-01   82.5
1992-10-01   86.3
1992-11-01   87.7
1992-12-01   87.5
1993-01-01   85.7
1993-02-01   86.2
1993-03-01   87.2
1993-04-01   86.9
1993-05-01   87.3
1993-06-01   86.9
1993-07-01   78.9
1993-08-01   79.5
1993-09-01   85.7
1993-10-01   88.0
1993-11-01   89.8
1993-12-01   90.1
1994-01-01   88.4
1994-02-01   89.2
1994-03-01   89.5
1994-04-01   89.2
1994-05-01   89.3
1994-06-01   89.7
1994-07-01   80.9
1994-08-01   82.3
1994-09-01   87.9
1994-10-01   90.5
1994-11-01   91.4
1994-12-01   93.0
1995-01-01   90.5
1995-02-01   90.8
1995-03-01   92.2
1995-04-01   92.7
1995-05-01   92.4
1995-06-01   91.4
1995-07-01   82.4
1995-08-01   83.8
1995-09-01   92.9
1995-10-01   94.1
1995-11-01   96.3
1995-12-01   97.4
1996-01-01   94.9
1996-02-01   96.3
1996-03-01   97.0
1996-04-01   97.0
1996-05-01   97.1
1996-06-01   96.1
1996-07-01   82.8
1996-08-01   86.5
1996-09-01   96.5
1996-10-01   97.6
1996-11-01   99.4
1996-12-01   99.9
1997-01-01   99.2
1997-02-01  100.0
1997-03-01  100.6
1997-04-01   99.9
1997-05-01  100.2
1997-06-01   99.4
1997-07-01   88.8
1997-08-01   94.5
1997-09-01  100.1
1997-10-01  102.1
1997-11-01  102.6
1997-12-01  103.4
1998-01-01  102.1
1998-02-01  103.4
1998-03-01  103.4
1998-04-01  103.6
1998-05-01  103.5
1998-06-01  102.1
1998-07-01   92.7
1998-08-01   97.9
1998-09-01  104.2
1998-10-01  107.0
1998-11-01  106.7
1998-12-01  107.3
1999-01-01  106.0
1999-02-01  107.4
1999-03-01  107.4
1999-04-01  107.1
1999-05-01  106.7
1999-06-01  103.5
1999-07-01   96.6
1999-08-01  103.7
1999-09-01  109.1
1999-10-01  109.3
1999-11-01  109.9
1999-12-01  110.5
2000-01-01  109.5
2000-02-01  110.0
2000-03-01  111.6
2000-04-01  111.5
2000-05-01  111.7
2000-06-01  109.6
2000-07-01   98.0
2000-08-01  105.0
2000-09-01  110.1
2000-10-01  114.2
2000-11-01  113.7
2000-12-01  113.7
2001-01-01  111.9
2001-02-01  113.6
2001-03-01  113.9
2001-04-01  114.5
2001-05-01  114.6
2001-06-01  110.4
2001-07-01  100.1
2001-08-01  107.9
2001-09-01  113.9
2001-10-01  117.8
2001-11-01  119.7
2001-12-01  118.3
2002-01-01  116.2
2002-02-01  117.9
2002-03-01  118.9
2002-04-01  117.9
2002-05-01  117.9
2002-06-01  114.3
2002-07-01  102.7
2002-08-01  110.0
2002-09-01  116.7
2002-10-01  121.1
2002-11-01  121.3
2002-12-01  119.7
2003-01-01  117.8
2003-02-01  118.9
2003-03-01  119.8
2003-04-01  119.9
2003-05-01  120.4
2003-06-01  115.4
2003-07-01   96.8
2003-08-01  107.7
2003-09-01  118.8
2003-10-01  124.7
2003-11-01  124.2
2003-12-01  122.9
2004-01-01  120.5
2004-02-01  121.5
2004-03-01  121.9
2004-04-01  122.2
2004-05-01  122.4
2004-06-01  117.3
2004-07-01   97.7
2004-08-01  109.6
2004-09-01  122.6
2004-10-01  125.7
2004-11-01  126.4
2004-12-01  125.3
2005-01-01  123.1
2005-02-01  124.2
2005-03-01  124.8
2005-04-01  125.6
2005-05-01  125.5
2005-06-01  120.2
2005-07-01   99.6
2005-08-01  115.7
2005-09-01  125.9
2005-10-01  128.7
2005-11-01  128.9
2005-12-01  128.5
2006-01-01  127.3
2006-02-01  128.0
2006-03-01  128.7
2006-04-01  128.9
2006-05-01  129.1
2006-06-01  119.7
2006-07-01  100.6
2006-08-01  118.6
2006-09-01  129.6
2006-10-01  131.4
2006-11-01  133.4
2006-12-01  133.6
2007-01-01  132.0
2007-02-01  133.6
2007-03-01  134.1
2007-04-01  133.0
2007-05-01  134.0
2007-06-01  123.8
2007-07-01  104.9
2007-08-01  126.2
2007-09-01  134.2
2007-10-01  136.7
2007-11-01  138.3
2007-12-01  138.6
2008-01-01  137.7
2008-02-01  139.2
2008-03-01  139.9
2008-04-01  139.9
2008-05-01  140.5
2008-06-01  132.5
2008-07-01  112.3
2008-08-01  133.5
2008-09-01  143.1
2008-10-01  142.9
2008-11-01  144.4
2008-12-01  145.0
2009-01-01  142.9
2009-02-01  143.6
2009-03-01  144.3
2009-04-01  144.7
2009-05-01  144.2
2009-06-01  138.1
2009-07-01  116.0
2009-08-01  137.6
2009-09-01  142.5
2009-10-01  143.1
2009-11-01  144.0
2009-12-01  144.0
2010-01-01  144.7
2010-02-01  146.0
2010-03-01  147.2
2010-04-01  147.6
2010-05-01  151.5
2010-06-01  139.6
2010-07-01  116.9
2010-08-01  136.2
2010-09-01  139.8
2010-10-01  145.7
2010-11-01  146.4
2010-12-01  146.6
2011-01-01  143.4
2011-02-01  144.6
2011-03-01  145.5
2011-04-01  146.1
2011-05-01  146.1
2011-06-01  136.8
2011-07-01  116.1
2011-08-01  137.7
2011-09-01  140.4
2011-10-01  144.6
2011-11-01  147.5
2011-12-01  147.1
2012-01-01  144.9
2012-02-01  146.2
2012-03-01  147.6
2012-04-01  148.2
2012-05-01  149.1
2012-06-01  133.7
2012-07-01  117.8
2012-08-01  137.6
2012-09-01  143.7
2012-10-01  150.0
2012-11-01  151.4
2012-12-01  151.0
2013-01-01  148.8
2013-02-01  149.8
2013-03-01  151.1
2013-04-01  151.2
2013-05-01  151.7
2013-06-01  136.4
