Title:               All Employees: Trade, Transportation, and Utilities in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737TRAD
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:34 PM CST
Notes:               The data services of the Federal Reserve Bank of St. Louis include
                     series that are seasonally adjusted. To make these adjustments, we use
                     the X-12 Procedure of SAS to remove the seasonal component of the
                     series so that non-seasonal trends can be analyzed. This procedure is
                     based on the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment
                     Program. More information on this program can be found at
                     http://www.census.gov/srd/www/x12a/.
                     The seasonal moving average function used is that of the Census
                     Bureau’s X-11-ARIMA program. This includes a 3x3 moving average for
                     the initial seasonal factors and a 3x5 moving average to calculate the
                     final seasonal factors. The D11 function is also used to output the
                     entire seasonally adjusted series that is displayed. For specific
                     information on the SAS X-12 procedure, please visit their website:
                     http://support.sas.com/documentation/cdl/en/etsug/60372/HTML/default/viewer.htm#etsug_x12_sect001.htm.

DATE        VALUE
1990-01-01  159.9
1990-02-01  161.3
1990-03-01  161.7
1990-04-01  159.2
1990-05-01  159.3
1990-06-01  158.4
1990-07-01  156.9
1990-08-01  156.4
1990-09-01  156.4
1990-10-01  155.2
1990-11-01  155.5
1990-12-01  155.1
1991-01-01  155.3
1991-02-01  154.5
1991-03-01  154.6
1991-04-01  153.4
1991-05-01  154.1
1991-06-01  153.3
1991-07-01  154.7
1991-08-01  155.7
1991-09-01  155.2
1991-10-01  155.2
1991-11-01  154.8
1991-12-01  154.2
1992-01-01  154.7
1992-02-01  154.6
1992-03-01  155.1
1992-04-01  156.0
1992-05-01  156.0
1992-06-01  156.1
1992-07-01  156.6
1992-08-01  156.7
1992-09-01  157.4
1992-10-01  157.9
1992-11-01  158.1
1992-12-01  159.4
1993-01-01  158.4
1993-02-01  159.0
1993-03-01  158.6
1993-04-01  159.3
1993-05-01  159.3
1993-06-01  159.7
1993-07-01  160.6
1993-08-01  161.0
1993-09-01  161.1
1993-10-01  162.7
1993-11-01  163.2
1993-12-01  164.0
1994-01-01  164.2
1994-02-01  164.9
1994-03-01  165.2
1994-04-01  165.6
1994-05-01  165.7
1994-06-01  166.5
1994-07-01  167.6
1994-08-01  168.2
1994-09-01  168.8
1994-10-01  168.4
1994-11-01  168.5
1994-12-01  169.4
1995-01-01  171.7
1995-02-01  172.4
1995-03-01  172.4
1995-04-01  172.6
1995-05-01  174.7
1995-06-01  174.3
1995-07-01  173.2
1995-08-01  173.7
1995-09-01  174.8
1995-10-01  175.3
1995-11-01  175.9
1995-12-01  176.1
1996-01-01  175.4
1996-02-01  175.2
1996-03-01  175.5
1996-04-01  174.8
1996-05-01  175.5
1996-06-01  175.4
1996-07-01  175.3
1996-08-01  175.8
1996-09-01  176.5
1996-10-01  177.5
1996-11-01  178.7
1996-12-01  179.7
1997-01-01  180.3
1997-02-01  180.4
1997-03-01  181.0
1997-04-01  180.9
1997-05-01  181.0
1997-06-01  181.2
1997-07-01  180.6
1997-08-01  180.6
1997-09-01  180.9
1997-10-01  180.1
1997-11-01  181.0
1997-12-01  180.8
1998-01-01  181.3
1998-02-01  181.4
1998-03-01  181.3
1998-04-01  182.8
1998-05-01  183.5
1998-06-01  184.4
1998-07-01  185.8
1998-08-01  186.5
1998-09-01  187.4
1998-10-01  186.0
1998-11-01  186.7
1998-12-01  186.9
1999-01-01  188.9
1999-02-01  190.1
1999-03-01  190.5
1999-04-01  191.1
1999-05-01  191.7
1999-06-01  191.5
1999-07-01  193.8
1999-08-01  194.4
1999-09-01  195.5
1999-10-01  196.1
1999-11-01  196.3
1999-12-01  197.5
2000-01-01  197.9
2000-02-01  198.5
2000-03-01  199.1
2000-04-01  199.4
2000-05-01  199.9
2000-06-01  201.0
2000-07-01  199.3
2000-08-01  199.0
2000-09-01  199.0
2000-10-01  199.6
2000-11-01  199.7
2000-12-01  199.7
2001-01-01  200.1
2001-02-01  200.1
2001-03-01  200.2
2001-04-01  201.0
2001-05-01  200.6
2001-06-01  200.9
2001-07-01  199.8
2001-08-01  199.4
2001-09-01  199.2
2001-10-01  198.9
2001-11-01  197.8
2001-12-01  196.9
2002-01-01  196.4
2002-02-01  195.7
2002-03-01  196.4
2002-04-01  194.9
2002-05-01  194.4
2002-06-01  194.9
2002-07-01  195.7
2002-08-01  196.0
2002-09-01  195.6
2002-10-01  195.0
2002-11-01  195.9
2002-12-01  196.0
2003-01-01  193.5
2003-02-01  194.3
2003-03-01  194.0
2003-04-01  193.6
2003-05-01  193.2
2003-06-01  193.6
2003-07-01  193.1
2003-08-01  193.3
2003-09-01  193.9
2003-10-01  194.5
2003-11-01  195.0
2003-12-01  195.3
2004-01-01  195.4
2004-02-01  196.0
2004-03-01  195.7
2004-04-01  196.8
2004-05-01  197.9
2004-06-01  198.0
2004-07-01  198.3
2004-08-01  199.2
2004-09-01  199.1
2004-10-01  198.9
2004-11-01  198.6
2004-12-01  199.1
2005-01-01  199.6
2005-02-01  201.0
2005-03-01  201.3
2005-04-01  201.3
2005-05-01  200.8
2005-06-01  200.5
2005-07-01  201.1
2005-08-01  201.0
2005-09-01  200.2
2005-10-01  202.9
2005-11-01  202.6
2005-12-01  203.3
2006-01-01  203.7
2006-02-01  203.3
2006-03-01  203.8
2006-04-01  205.7
2006-05-01  206.2
2006-06-01  206.1
2006-07-01  207.0
2006-08-01  207.3
2006-09-01  207.3
2006-10-01  208.5
2006-11-01  210.3
2006-12-01  210.3
2007-01-01  211.2
2007-02-01  211.5
2007-03-01  212.6
2007-04-01  213.0
2007-05-01  213.5
2007-06-01  214.0
2007-07-01  214.8
2007-08-01  214.8
2007-09-01  215.3
2007-10-01  215.8
2007-11-01  216.9
2007-12-01  217.1
2008-01-01  216.0
2008-02-01  216.1
2008-03-01  216.2
2008-04-01  214.8
2008-05-01  214.2
2008-06-01  214.0
2008-07-01  212.6
2008-08-01  212.0
2008-09-01  211.3
2008-10-01  210.1
2008-11-01  208.3
2008-12-01  207.2
2009-01-01  206.6
2009-02-01  205.2
2009-03-01  203.4
2009-04-01  200.9
2009-05-01  201.0
2009-06-01  200.4
2009-07-01  199.6
2009-08-01  199.2
2009-09-01  198.7
2009-10-01  197.8
2009-11-01  196.5
2009-12-01  195.8
2010-01-01  195.9
2010-02-01  196.0
2010-03-01  196.5
2010-04-01  196.9
2010-05-01  197.5
2010-06-01  197.6
2010-07-01  197.9
2010-08-01  198.2
2010-09-01  198.0
2010-10-01  198.3
2010-11-01  198.4
2010-12-01  198.6
2011-01-01  198.7
2011-02-01  199.8
2011-03-01  200.1
2011-04-01  200.5
2011-05-01  200.3
2011-06-01  200.2
2011-07-01  201.5
2011-08-01  201.6
2011-09-01  201.7
2011-10-01  202.1
2011-11-01  202.3
2011-12-01  202.2
2012-01-01  204.0
2012-02-01  204.2
2012-03-01  204.7
2012-04-01  205.6
2012-05-01  206.2
2012-06-01  206.9
2012-07-01  207.5
2012-08-01  207.4
2012-09-01  208.2
2012-10-01  208.2
2012-11-01  209.0
2012-12-01  208.6
2013-01-01  208.7
2013-02-01  209.4
2013-03-01  209.6
2013-04-01  209.7
2013-05-01  210.3
2013-06-01  210.7
2013-07-01  212.0
2013-08-01  212.7
2013-09-01  213.1
2013-10-01  213.4
2013-11-01  214.3
2013-12-01  215.4
2014-01-01  216.2
2014-02-01  215.6
2014-03-01  217.1
2014-04-01  217.1
2014-05-01  217.8
2014-06-01  218.8
2014-07-01  218.7
2014-08-01  219.3
2014-09-01  220.5
2014-10-01  221.7
2014-11-01  222.7
2014-12-01  223.4
2015-01-01  223.4
2015-02-01  224.2
2015-03-01  224.8
2015-04-01  226.7
2015-05-01  227.4
2015-06-01  228.1
2015-07-01  228.3
2015-08-01  228.8
2015-09-01  229.2
2015-10-01  230.5
2015-11-01  231.0
2015-12-01  231.9
2016-01-01  232.9
2016-02-01  233.8
2016-03-01  233.8
2016-04-01  234.4
2016-05-01  234.7
2016-06-01  233.9
2016-07-01  236.0
2016-08-01  236.6
2016-09-01  237.8
2016-10-01  238.2
2016-11-01  239.4
2016-12-01  241.0
2017-01-01  240.1
2017-02-01  239.7
2017-03-01  239.8
2017-04-01  240.0
2017-05-01  240.4
2017-06-01  241.0
2017-07-01  241.3
2017-08-01  242.1
2017-09-01  242.4
2017-10-01  243.8
2017-11-01  242.2
2017-12-01  243.0
2018-01-01  242.0
2018-02-01  244.5
2018-03-01  246.6
2018-04-01  246.1
2018-05-01  247.2
2018-06-01  247.9
2018-07-01  249.1
2018-08-01  249.3
2018-09-01  248.7
2018-10-01  249.2
2018-11-01  250.2
