Title:               Civilian Labor Force in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           CHAR737LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE          VALUE
2014-02-01  1192257
2014-03-01  1204088
2014-04-01  1195018
2014-05-01  1207342
2014-06-01  1205044
2014-07-01  1212020
2014-08-01  1205202
2014-09-01  1207844
2014-10-01  1221596
2014-11-01  1216362
2014-12-01  1212023
2015-01-01  1218398
2015-02-01  1226284
2015-03-01  1228089
2015-04-01  1231829
2015-05-01  1250853
2015-06-01  1248164
2015-07-01  1249302
2015-08-01  1239590
2015-09-01  1238688
2015-10-01  1252619
2015-11-01  1251463
2015-12-01  1253579
2016-01-01  1255276
2016-02-01  1264346
2016-03-01  1271838
2016-04-01  1268373
2016-05-01  1272733
2016-06-01  1278054
2016-07-01  1284448
2016-08-01  1275318
2016-09-01  1286489
2016-10-01  1295144
2016-11-01  1290540
2016-12-01  1284384
2017-01-01  1291279
2017-02-01  1296895
2017-03-01  1305811
2017-04-01  1304867
2017-05-01  1311955
2017-06-01  1319016
2017-07-01  1324276
2017-08-01  1316137
2017-09-01  1329873
2017-10-01  1333393
2017-11-01  1330312
2017-12-01  1325794
2018-01-01  1326128
2018-02-01  1332467
2018-03-01  1341393
2018-04-01  1333561
2018-05-01  1342929
2018-06-01  1348675
2018-07-01  1348400
2018-08-01  1330477
2018-09-01  1333951
2018-10-01  1350706
2018-11-01  1344203
