Title:               Average Weekly Earnings of All Employees: Total Private in Fayetteville, NC (MSA)
Series ID:           SMU37221800500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  546.1
2007-02-01  465.2
2007-03-01  486.8
2007-04-01  486.7
2007-05-01  486.3
2007-06-01  485.7
2007-07-01  491.1
2007-08-01  467.6
2007-09-01  479.4
2007-10-01  481.5
2007-11-01  476.3
2007-12-01  469.9
2008-01-01  498.0
2008-02-01  510.0
2008-03-01  504.2
2008-04-01  511.4
2008-05-01  489.8
2008-06-01  539.5
2008-07-01  508.0
2008-08-01  516.6
2008-09-01  518.4
2008-10-01  494.8
2008-11-01  496.4
2008-12-01  503.4
2009-01-01  491.5
2009-02-01  489.1
2009-03-01  497.8
2009-04-01  483.5
2009-05-01  482.3
2009-06-01  480.0
2009-07-01  483.0
2009-08-01  493.9
2009-09-01  493.3
2009-10-01  512.1
2009-11-01  518.8
2009-12-01  517.5
2010-01-01  504.8
2010-02-01  509.8
2010-03-01  510.4
2010-04-01  521.0
2010-05-01  524.2
2010-06-01  524.8
2010-07-01  528.1
2010-08-01  543.0
2010-09-01  531.3
2010-10-01  537.6
2010-11-01  544.0
2010-12-01  539.8
2011-01-01  549.0
2011-02-01  558.0
2011-03-01  526.9
2011-04-01  553.7
2011-05-01  569.4
2011-06-01  574.7
2011-07-01  587.2
2011-08-01  579.1
2011-09-01  593.7
2011-10-01  623.3
2011-11-01  602.6
2011-12-01  590.5
2012-01-01  655.6
2012-02-01  662.9
2012-03-01  688.2
2012-04-01  730.0
2012-05-01  707.0
2012-06-01  774.6
2012-07-01  775.6
2012-08-01  729.3
2012-09-01  741.6
2012-10-01  730.1
2012-11-01  720.5
2012-12-01  717.7
2013-01-01  718.9
2013-02-01  708.8
2013-03-01  686.6
2013-04-01  678.3
2013-05-01  668.4
2013-06-01  660.4
2013-07-01  643.4
2013-08-01  658.3
2013-09-01  660.9
2013-10-01  655.7
2013-11-01  661.6
2013-12-01  647.2
2014-01-01  632.3
2014-02-01  621.1
2014-03-01  626.2
2014-04-01  611.9
2014-05-01  607.1
2014-06-01  616.9
2014-07-01  611.9
2014-08-01  612.3
2014-09-01  613.7
2014-10-01  616.9
2014-11-01  633.6
2014-12-01  607.3
2015-01-01  616.8
2015-02-01  629.6
2015-03-01  629.5
2015-04-01  612.6
2015-05-01  623.0
2015-06-01  628.8
2015-07-01  636.3
2015-08-01  639.4
2015-09-01  626.6
2015-10-01  632.6
2015-11-01  624.6
2015-12-01  630.6
2016-01-01  619.9
2016-02-01  615.2
2016-03-01  626.9
2016-04-01  616.9
2016-05-01  626.5
2016-06-01  616.1
2016-07-01  613.0
2016-08-01  610.4
2016-09-01  611.4
2016-10-01  605.6
2016-11-01  605.6
2016-12-01  610.4
2017-01-01  604.3
2017-02-01  570.2
2017-03-01  562.9
2017-04-01  586.8
2017-05-01  583.3
2017-06-01  593.9
2017-07-01  580.1
2017-08-01  548.0
2017-09-01  565.8
2017-10-01  572.1
2017-11-01  575.7
2017-12-01  575.7
2018-01-01  578.8
2018-02-01  599.5
2018-03-01  578.3
2018-04-01  594.3
2018-05-01  570.9
2018-06-01  582.1
2018-07-01  582.1
2018-08-01  590.6
2018-09-01  586.8
2018-10-01  589.8
