Title:               Average Weekly Earnings of All Employees: Total Private in Greensboro-High Point, NC (MSA)
Series ID:           SMU37246600500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  747.5
2007-02-01  765.0
2007-03-01  776.6
2007-04-01  760.9
2007-05-01  760.6
2007-06-01  751.8
2007-07-01  727.3
2007-08-01  711.6
2007-09-01  724.0
2007-10-01  711.3
2007-11-01  703.3
2007-12-01  712.1
2008-01-01  706.9
2008-02-01  690.5
2008-03-01  708.4
2008-04-01  746.4
2008-05-01  694.2
2008-06-01  725.1
2008-07-01  685.3
2008-08-01  723.7
2008-09-01  723.4
2008-10-01  738.0
2008-11-01  744.7
2008-12-01  734.4
2009-01-01  728.7
2009-02-01  728.8
2009-03-01  722.9
2009-04-01  722.6
2009-05-01  721.4
2009-06-01  721.4
2009-07-01  744.7
2009-08-01  749.4
2009-09-01  750.4
2009-10-01  743.9
2009-11-01  747.3
2009-12-01  741.9
2010-01-01  761.6
2010-02-01  756.7
2010-03-01  760.5
2010-04-01  762.7
2010-05-01  766.0
2010-06-01  760.1
2010-07-01  758.5
2010-08-01  761.7
2010-09-01  743.7
2010-10-01  750.0
2010-11-01  748.1
2010-12-01  746.0
2011-01-01  731.8
2011-02-01  725.4
2011-03-01  718.7
2011-04-01  723.8
2011-05-01  728.1
2011-06-01  726.9
2011-07-01  732.3
2011-08-01  722.4
2011-09-01  721.2
2011-10-01  727.0
2011-11-01  724.9
2011-12-01  727.6
2012-01-01  739.9
2012-02-01  742.3
2012-03-01  739.0
2012-04-01  747.2
2012-05-01  719.1
2012-06-01  726.6
2012-07-01  725.7
2012-08-01  717.7
2012-09-01  729.1
2012-10-01  720.7
2012-11-01  718.9
2012-12-01  729.4
2013-01-01  719.4
2013-02-01  732.6
2013-03-01  732.1
2013-04-01  740.1
2013-05-01  728.2
2013-06-01  736.0
2013-07-01  726.2
2013-08-01  730.4
2013-09-01  745.7
2013-10-01  737.5
2013-11-01  738.3
2013-12-01  745.8
2014-01-01  745.6
2014-02-01  729.1
2014-03-01  745.1
2014-04-01  729.9
2014-05-01  740.9
2014-06-01  733.6
2014-07-01  729.0
2014-08-01  734.5
2014-09-01  733.2
2014-10-01  737.2
2014-11-01  753.0
2014-12-01  741.7
2015-01-01  743.6
2015-02-01  750.7
2015-03-01  744.0
2015-04-01  737.9
2015-05-01  748.7
2015-06-01  748.3
2015-07-01  757.3
2015-08-01  785.1
2015-09-01  760.9
2015-10-01  757.2
2015-11-01  774.3
2015-12-01  766.2
2016-01-01  761.3
2016-02-01  773.4
2016-03-01  772.2
2016-04-01  781.3
2016-05-01  801.8
2016-06-01  792.5
2016-07-01  789.3
2016-08-01  801.9
2016-09-01  794.1
2016-10-01  811.7
2016-11-01  798.4
2016-12-01  798.2
2017-01-01  812.1
2017-02-01  813.8
2017-03-01  819.6
2017-04-01  841.7
2017-05-01  824.7
2017-06-01  826.3
2017-07-01  834.0
2017-08-01  837.0
2017-09-01  835.0
2017-10-01  854.3
2017-11-01  827.8
2017-12-01  821.9
2018-01-01  856.8
2018-02-01  866.0
2018-03-01  861.9
2018-04-01  877.3
2018-05-01  858.3
2018-06-01  862.5
2018-07-01  879.9
2018-08-01  860.0
2018-09-01  869.9
2018-10-01  867.9
