Title:               Average Weekly Earnings of All Employees: Total Private in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           SMU37258600500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  582.5
2007-02-01  578.6
2007-03-01  587.4
2007-04-01  589.4
2007-05-01  587.3
2007-06-01  590.5
2007-07-01  596.4
2007-08-01  586.4
2007-09-01  602.2
2007-10-01  573.5
2007-11-01  582.4
2007-12-01  582.4
2008-01-01  585.1
2008-02-01  584.9
2008-03-01  572.0
2008-04-01  574.0
2008-05-01  577.5
2008-06-01  598.2
2008-07-01  579.6
2008-08-01  592.3
2008-09-01  570.9
2008-10-01  580.0
2008-11-01  581.5
2008-12-01  588.0
2009-01-01  591.3
2009-02-01  600.0
2009-03-01  596.6
2009-04-01  595.4
2009-05-01  597.4
2009-06-01  602.2
2009-07-01  597.1
2009-08-01  604.4
2009-09-01  599.8
2009-10-01  611.0
2009-11-01  629.1
2009-12-01  607.5
2010-01-01  606.0
2010-02-01  605.1
2010-03-01  610.9
2010-04-01  602.7
2010-05-01  612.6
2010-06-01  604.5
2010-07-01  607.2
2010-08-01  615.3
2010-09-01  628.4
2010-10-01  637.5
2010-11-01  637.7
2010-12-01  637.4
2011-01-01  638.4
2011-02-01  638.0
2011-03-01  647.1
2011-04-01  654.9
2011-05-01  666.8
2011-06-01  648.7
2011-07-01  659.8
2011-08-01  647.0
2011-09-01  638.0
2011-10-01  646.3
2011-11-01  648.8
2011-12-01  654.4
2012-01-01  672.4
2012-02-01  661.9
2012-03-01  664.9
2012-04-01  674.2
2012-05-01  671.9
2012-06-01  679.8
2012-07-01  685.5
2012-08-01  681.6
2012-09-01  695.2
2012-10-01  677.6
2012-11-01  686.0
2012-12-01  683.9
2013-01-01  683.7
2013-02-01  688.5
2013-03-01  690.0
2013-04-01  690.4
2013-05-01  682.5
2013-06-01  689.7
2013-07-01  681.7
2013-08-01  698.1
2013-09-01  699.2
2013-10-01  695.9
2013-11-01  702.7
2013-12-01  707.8
2014-01-01  706.2
2014-02-01  698.1
2014-03-01  745.7
2014-04-01  722.3
2014-05-01  723.1
2014-06-01  725.8
2014-07-01  721.4
2014-08-01  715.2
2014-09-01  725.8
2014-10-01  700.3
2014-11-01  709.7
2014-12-01  700.5
2015-01-01  707.6
2015-02-01  690.9
2015-03-01  685.9
2015-04-01  690.7
2015-05-01  693.6
2015-06-01  689.2
2015-07-01  695.0
2015-08-01  688.7
2015-09-01  679.4
2015-10-01  691.9
2015-11-01  683.0
2015-12-01  694.6
2016-01-01  692.4
2016-02-01  699.7
2016-03-01  698.2
2016-04-01  694.8
2016-05-01  703.9
2016-06-01  707.9
2016-07-01  712.6
2016-08-01  714.3
2016-09-01  710.1
2016-10-01  714.6
2016-11-01  720.6
2016-12-01  726.2
2017-01-01  731.3
2017-02-01  723.9
2017-03-01  728.0
2017-04-01  729.1
2017-05-01  735.6
2017-06-01  729.8
2017-07-01  735.9
2017-08-01  737.8
2017-09-01  744.5
2017-10-01  755.6
2017-11-01  747.6
2017-12-01  736.7
2018-01-01  726.1
2018-02-01  755.5
2018-03-01  745.5
2018-04-01  745.0
2018-05-01  736.4
2018-06-01  745.7
2018-07-01  741.4
2018-08-01  746.4
2018-09-01  752.8
2018-10-01  754.6
