Title:               All Employees: Total Private in Greensboro-High Point, NC (MSA)
Series ID:           SMU37246600500000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
1990-01-01  273.7
1990-02-01  274.7
1990-03-01  275.8
1990-04-01  277.6
1990-05-01  278.3
1990-06-01  280.3
1990-07-01  278.5
1990-08-01  280.8
1990-09-01  280.2
1990-10-01  278.6
1990-11-01  278.4
1990-12-01  277.4
1991-01-01  269.5
1991-02-01  268.5
1991-03-01  268.4
1991-04-01  271.0
1991-05-01  272.2
1991-06-01  273.4
1991-07-01  272.3
1991-08-01  274.5
1991-09-01  273.7
1991-10-01  274.7
1991-11-01  275.0
1991-12-01  275.7
1992-01-01  267.8
1992-02-01  268.1
1992-03-01  269.3
1992-04-01  272.6
1992-05-01  273.7
1992-06-01  275.5
1992-07-01  275.4
1992-08-01  276.1
1992-09-01  277.3
1992-10-01  279.2
1992-11-01  280.1
1992-12-01  281.3
1993-01-01  273.5
1993-02-01  274.5
1993-03-01  275.8
1993-04-01  280.0
1993-05-01  281.6
1993-06-01  284.0
1993-07-01  285.3
1993-08-01  287.0
1993-09-01  287.4
1993-10-01  289.1
1993-11-01  290.3
1993-12-01  291.7
1994-01-01  284.4
1994-02-01  285.3
1994-03-01  287.5
1994-04-01  291.6
1994-05-01  293.1
1994-06-01  295.5
1994-07-01  294.9
1994-08-01  296.8
1994-09-01  298.3
1994-10-01  298.3
1994-11-01  300.1
1994-12-01  301.6
1995-01-01  295.4
1995-02-01  296.8
1995-03-01  299.5
1995-04-01  303.8
1995-05-01  304.4
1995-06-01  306.9
1995-07-01  305.2
1995-08-01  308.2
1995-09-01  308.6
1995-10-01  308.9
1995-11-01  310.9
1995-12-01  312.3
1996-01-01  301.8
1996-02-01  304.4
1996-03-01  306.5
1996-04-01  308.5
1996-05-01  311.5
1996-06-01  313.6
1996-07-01  310.0
1996-08-01  312.5
1996-09-01  312.3
1996-10-01  314.7
1996-11-01  316.3
1996-12-01  317.7
1997-01-01  309.2
1997-02-01  310.0
1997-03-01  312.8
1997-04-01  313.7
1997-05-01  316.1
1997-06-01  318.1
1997-07-01  317.5
1997-08-01  318.9
1997-09-01  319.9
1997-10-01  319.9
1997-11-01  320.7
1997-12-01  322.3
1998-01-01  314.3
1998-02-01  314.8
1998-03-01  316.9
1998-04-01  320.2
1998-05-01  322.0
1998-06-01  324.7
1998-07-01  324.2
1998-08-01  326.2
1998-09-01  325.6
1998-10-01  327.7
1998-11-01  328.9
1998-12-01  330.1
1999-01-01  319.6
1999-02-01  321.5
1999-03-01  324.1
1999-04-01  327.3
1999-05-01  327.2
1999-06-01  328.8
1999-07-01  329.4
1999-08-01  330.9
1999-09-01  330.7
1999-10-01  334.6
1999-11-01  334.4
1999-12-01  335.5
2000-01-01  327.1
2000-02-01  328.5
2000-03-01  331.3
2000-04-01  332.1
2000-05-01  333.4
2000-06-01  334.8
2000-07-01  333.9
2000-08-01  334.7
2000-09-01  334.3
2000-10-01  334.4
2000-11-01  334.7
2000-12-01  334.9
