Title:               Average Hourly Earnings of All Employees: Total Private in Greenville, NC (MSA)
Series ID:           SMU37247800500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
2007-01-01  15.96
2007-02-01  16.15
2007-03-01  14.92
2007-04-01  17.21
2007-05-01  15.32
2007-06-01  15.54
2007-07-01  15.77
2007-08-01  14.51
2007-09-01  15.51
2007-10-01  15.68
2007-11-01  16.43
2007-12-01  16.93
2008-01-01  17.05
2008-02-01  17.13
2008-03-01  17.38
2008-04-01  18.07
2008-05-01  19.49
2008-06-01  19.66
2008-07-01  18.90
2008-08-01  20.06
2008-09-01  19.03
2008-10-01  18.93
2008-11-01  19.06
2008-12-01  18.65
2009-01-01  18.85
2009-02-01  19.05
2009-03-01  19.29
2009-04-01  18.43
2009-05-01  18.25
2009-06-01  18.05
2009-07-01  17.91
2009-08-01  17.97
2009-09-01  17.71
2009-10-01  17.97
2009-11-01  18.41
2009-12-01  18.04
2010-01-01  18.48
2010-02-01  18.80
2010-03-01  18.88
2010-04-01  18.40
2010-05-01  18.55
2010-06-01  18.37
2010-07-01  18.65
2010-08-01  18.76
2010-09-01  18.43
2010-10-01  18.68
2010-11-01  18.70
2010-12-01  18.47
2011-01-01  19.09
2011-02-01  19.13
2011-03-01  19.16
2011-04-01  19.43
2011-05-01  19.89
2011-06-01  20.22
2011-07-01  20.14
2011-08-01  20.16
2011-09-01  20.69
2011-10-01  21.67
2011-11-01  21.60
2011-12-01  21.10
2012-01-01  21.47
2012-02-01  21.72
2012-03-01  21.29
2012-04-01  21.40
2012-05-01  20.59
2012-06-01  20.88
2012-07-01  20.63
2012-08-01  20.27
2012-09-01  20.81
2012-10-01  20.35
2012-11-01  20.60
2012-12-01  20.36
2013-01-01  20.72
2013-02-01  20.43
2013-03-01  20.45
2013-04-01  20.01
2013-05-01  19.63
2013-06-01  19.71
2013-07-01  19.75
2013-08-01  19.30
2013-09-01  19.29
2013-10-01  19.63
2013-11-01  19.67
2013-12-01  19.89
2014-01-01  20.08
2014-02-01  20.86
2014-03-01  20.66
2014-04-01  18.81
2014-05-01  18.49
2014-06-01  18.46
2014-07-01  19.27
2014-08-01  20.29
2014-09-01  19.84
2014-10-01  19.75
2014-11-01  21.05
2014-12-01  21.75
2015-01-01  23.02
2015-02-01  21.95
2015-03-01  21.92
2015-04-01  21.73
2015-05-01  22.02
2015-06-01  22.14
2015-07-01  22.55
2015-08-01  23.39
2015-09-01  22.40
2015-10-01  22.33
2015-11-01  22.35
2015-12-01  23.07
2016-01-01  22.50
2016-02-01  22.78
2016-03-01  22.91
2016-04-01  22.97
2016-05-01  22.95
2016-06-01  22.74
2016-07-01  22.09
2016-08-01  22.21
2016-09-01  20.94
2016-10-01  21.29
2016-11-01  20.82
2016-12-01  20.70
2017-01-01  21.96
2017-02-01  22.14
2017-03-01  21.99
2017-04-01  22.22
2017-05-01  24.46
2017-06-01  23.84
2017-07-01  23.34
2017-08-01  22.23
2017-09-01  23.17
2017-10-01  22.92
2017-11-01  22.31
2017-12-01  22.64
2018-01-01  22.58
2018-02-01  23.46
2018-03-01  23.70
2018-04-01  23.93
2018-05-01  24.37
2018-06-01  24.64
2018-07-01  24.37
2018-08-01  25.01
2018-09-01  25.39
2018-10-01  25.43
