Title:               All Employees: Private Service Providing in Greensboro-High Point, NC (MSA)
Series ID:           SMU37246600800000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01  168.4
1990-02-01  169.3
1990-03-01  170.3
1990-04-01  172.4
1990-05-01  173.3
1990-06-01  175.1
1990-07-01  173.8
1990-08-01  176.2
1990-09-01  176.1
1990-10-01  176.0
1990-11-01  176.6
1990-12-01  176.3
1991-01-01  170.8
1991-02-01  170.3
1991-03-01  170.7
1991-04-01  172.7
1991-05-01  173.3
1991-06-01  174.0
1991-07-01  173.8
1991-08-01  175.9
1991-09-01  175.0
1991-10-01  176.6
1991-11-01  177.0
1991-12-01  177.7
1992-01-01  171.7
1992-02-01  172.0
1992-03-01  172.9
1992-04-01  175.2
1992-05-01  176.0
1992-06-01  176.7
1992-07-01  177.4
1992-08-01  178.0
1992-09-01  178.8
1992-10-01  181.3
1992-11-01  181.9
1992-12-01  183.3
1993-01-01  177.2
1993-02-01  178.0
1993-03-01  179.1
1993-04-01  182.9
1993-05-01  184.4
1993-06-01  185.8
1993-07-01  187.0
1993-08-01  188.4
1993-09-01  188.6
1993-10-01  190.2
1993-11-01  191.1
1993-12-01  192.2
1994-01-01  186.7
1994-02-01  187.4
1994-03-01  189.2
1994-04-01  192.8
1994-05-01  194.1
1994-06-01  195.3
1994-07-01  195.0
1994-08-01  196.1
1994-09-01  197.2
1994-10-01  197.8
1994-11-01  199.5
1994-12-01  199.9
1995-01-01  194.3
1995-02-01  195.5
1995-03-01  197.6
1995-04-01  200.4
1995-05-01  201.4
1995-06-01  203.1
1995-07-01  201.8
1995-08-01  204.7
1995-09-01  205.2
1995-10-01  206.4
1995-11-01  208.1
1995-12-01  209.4
1996-01-01  201.1
1996-02-01  203.2
1996-03-01  205.2
1996-04-01  206.6
1996-05-01  208.9
1996-06-01  210.6
1996-07-01  208.0
1996-08-01  209.9
1996-09-01  210.3
1996-10-01  212.0
1996-11-01  213.7
1996-12-01  215.0
1997-01-01  207.6
1997-02-01  209.4
1997-03-01  211.7
1997-04-01  212.8
1997-05-01  214.7
1997-06-01  215.9
1997-07-01  215.5
1997-08-01  216.3
1997-09-01  217.4
1997-10-01  219.2
1997-11-01  220.1
1997-12-01  221.4
1998-01-01  214.3
1998-02-01  214.5
1998-03-01  216.4
1998-04-01  219.5
1998-05-01  221.0
1998-06-01  223.3
1998-07-01  223.0
1998-08-01  225.1
1998-09-01  224.7
1998-10-01  226.8
1998-11-01  228.1
1998-12-01  229.1
1999-01-01  220.1
1999-02-01  222.2
1999-03-01  224.2
1999-04-01  226.9
1999-05-01  227.0
1999-06-01  227.9
1999-07-01  228.6
1999-08-01  229.8
1999-09-01  229.6
1999-10-01  233.5
1999-11-01  233.4
1999-12-01  234.4
2000-01-01  227.7
2000-02-01  229.0
2000-03-01  231.4
2000-04-01  233.0
2000-05-01  233.6
