Title:               All Employees: Service-Providing in Durham-Chapel Hill, NC (MSA)
Series ID:           SMU37205000700000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  165.8
1990-02-01  167.1
1990-03-01  168.5
1990-04-01  170.7
1990-05-01  170.7
1990-06-01  171.2
1990-07-01  168.3
1990-08-01  168.4
1990-09-01  170.8
1990-10-01  175.4
1990-11-01  172.3
1990-12-01  173.2
1991-01-01  170.3
1991-02-01  172.7
1991-03-01  172.8
1991-04-01  174.3
1991-05-01  172.8
1991-06-01  171.5
1991-07-01  171.3
1991-08-01  171.4
1991-09-01  173.5
1991-10-01  178.0
1991-11-01  174.7
1991-12-01  175.8
1992-01-01  174.9
1992-02-01  175.4
1992-03-01  176.4
1992-04-01  174.6
1992-05-01  175.9
1992-06-01  176.3
1992-07-01  179.1
1992-08-01  178.3
1992-09-01  178.7
1992-10-01  178.3
1992-11-01  175.6
1992-12-01  178.3
1993-01-01  178.8
1993-02-01  178.5
1993-03-01  177.1
1993-04-01  177.5
1993-05-01  177.9
1993-06-01  177.4
1993-07-01  177.9
1993-08-01  178.8
1993-09-01  176.6
1993-10-01  175.9
1993-11-01  177.1
1993-12-01  176.6
1994-01-01  178.2
1994-02-01  177.6
1994-03-01  178.5
1994-04-01  177.8
1994-05-01  177.3
1994-06-01  177.9
1994-07-01  175.7
1994-08-01  178.7
1994-09-01  175.0
1994-10-01  175.3
1994-11-01  174.8
1994-12-01  175.8
1995-01-01  178.6
1995-02-01  178.2
1995-03-01  179.6
1995-04-01  179.5
1995-05-01  183.9
1995-06-01  185.8
1995-07-01  187.1
1995-08-01  189.5
1995-09-01  190.8
1995-10-01  190.3
1995-11-01  190.1
1995-12-01  187.9
1996-01-01  188.9
1996-02-01  191.1
1996-03-01  192.1
1996-04-01  184.6
1996-05-01  187.0
1996-06-01  187.2
1996-07-01  187.0
1996-08-01  186.4
1996-09-01  187.4
1996-10-01  188.4
1996-11-01  189.7
1996-12-01  189.2
1997-01-01  188.9
1997-02-01  189.4
1997-03-01  189.6
1997-04-01  190.4
1997-05-01  189.0
1997-06-01  189.6
1997-07-01  190.5
1997-08-01  189.6
1997-09-01  188.6
1997-10-01  194.6
1997-11-01  195.4
1997-12-01  195.4
1998-01-01  193.1
1998-02-01  194.1
1998-03-01  194.5
1998-04-01  195.0
1998-05-01  195.2
1998-06-01  194.1
1998-07-01  192.9
1998-08-01  192.9
1998-09-01  194.1
1998-10-01  196.0
1998-11-01  195.9
1998-12-01  195.4
1999-01-01  199.5
1999-02-01  201.7
1999-03-01  199.6
1999-04-01  199.2
1999-05-01  199.8
1999-06-01  200.4
1999-07-01  202.7
1999-08-01  203.0
1999-09-01  202.7
1999-10-01  201.4
1999-11-01  201.1
1999-12-01  201.9
2000-01-01  199.6
2000-02-01  200.8
2000-03-01  201.2
2000-04-01  202.9
2000-05-01  202.7
2000-06-01  202.8
2000-07-01  202.4
2000-08-01  202.5
2000-09-01  201.7
2000-10-01  202.6
2000-11-01  202.2
2000-12-01  205.4
2001-01-01  207.3
2001-02-01  207.9
2001-03-01  208.1
2001-04-01  208.4
2001-05-01  208.5
2001-06-01  208.3
2001-07-01  210.1
2001-08-01  207.4
2001-09-01  206.4
2001-10-01  206.8
2001-11-01  204.9
2001-12-01  207.2
2002-01-01  208.8
2002-02-01  209.1
2002-03-01  210.5
2002-04-01  212.8
2002-05-01  213.5
2002-06-01  212.3
2002-07-01  210.0
2002-08-01  210.5
2002-09-01  210.2
2002-10-01  209.5
2002-11-01  208.5
2002-12-01  207.3
2003-01-01  207.0
2003-02-01  206.5
2003-03-01  205.7
2003-04-01  205.1
2003-05-01  205.9
2003-06-01  205.7
2003-07-01  206.1
2003-08-01  207.0
2003-09-01  207.4
2003-10-01  207.4
2003-11-01  207.1
2003-12-01  208.1
2004-01-01  208.2
2004-02-01  208.2
2004-03-01  207.4
2004-04-01  209.3
2004-05-01  210.7
2004-06-01  210.8
2004-07-01  212.8
2004-08-01  212.1
2004-09-01  212.5
2004-10-01  212.3
2004-11-01  212.6
2004-12-01  212.9
2005-01-01  212.3
2005-02-01  213.0
2005-03-01  213.6
2005-04-01  213.4
2005-05-01  213.0
2005-06-01  212.8
2005-07-01  215.0
2005-08-01  215.6
2005-09-01  217.0
2005-10-01  216.6
2005-11-01  217.1
2005-12-01  218.4
2006-01-01  219.7
2006-02-01  219.8
2006-03-01  220.1
2006-04-01  220.6
2006-05-01  221.9
2006-06-01  222.5
2006-07-01  223.5
2006-08-01  223.7
2006-09-01  223.9
2006-10-01  225.6
2006-11-01  227.1
2006-12-01  228.7
2007-01-01  227.1
2007-02-01  228.1
2007-03-01  228.5
2007-04-01  228.6
2007-05-01  228.9
2007-06-01  230.0
2007-07-01  230.4
2007-08-01  231.4
2007-09-01  231.5
2007-10-01  230.0
2007-11-01  230.8
2007-12-01  231.6
2008-01-01  232.9
2008-02-01  233.1
2008-03-01  233.3
2008-04-01  233.8
2008-05-01  233.5
2008-06-01  234.3
2008-07-01  234.0
2008-08-01  234.6
2008-09-01  234.8
2008-10-01  234.2
2008-11-01  234.3
2008-12-01  234.6
2009-01-01  234.2
2009-02-01  233.9
2009-03-01  234.2
2009-04-01  232.9
2009-05-01  233.5
2009-06-01  234.7
2009-07-01  232.4
2009-08-01  231.9
2009-09-01  232.1
2009-10-01  231.2
2009-11-01  231.1
2009-12-01  231.1
2010-01-01  230.2
2010-02-01  230.0
2010-03-01  229.7
2010-04-01  231.4
2010-05-01  232.0
2010-06-01  232.8
2010-07-01  236.3
2010-08-01  234.3
2010-09-01  231.8
2010-10-01  233.7
2010-11-01  233.8
2010-12-01  233.3
2011-01-01  233.4
2011-02-01  233.5
2011-03-01  232.9
2011-04-01  236.4
2011-05-01  235.7
2011-06-01  235.7
2011-07-01  236.0
2011-08-01  235.8
2011-09-01  236.9
2011-10-01  238.7
2011-11-01  239.6
2011-12-01  239.4
2012-01-01  241.6
2012-02-01  242.1
2012-03-01  241.9
2012-04-01  242.4
2012-05-01  242.3
2012-06-01  242.0
2012-07-01  241.9
2012-08-01  242.3
2012-09-01  243.2
2012-10-01  244.2
2012-11-01  244.5
2012-12-01  245.6
2013-01-01  244.8
2013-02-01  245.3
2013-03-01  245.9
2013-04-01  246.1
2013-05-01  245.2
2013-06-01  246.0
2013-07-01  246.4
2013-08-01  247.4
2013-09-01  248.3
2013-10-01  249.3
2013-11-01  249.3
2013-12-01  250.1
2014-01-01  250.7
2014-02-01  250.4
2014-03-01  251.2
2014-04-01  253.1
2014-05-01  251.9
2014-06-01  252.2
2014-07-01  253.2
2014-08-01  255.8
2014-09-01  254.3
2014-10-01  254.3
2014-11-01  255.2
2014-12-01  255.9
2015-01-01  259.4
2015-02-01  259.3
2015-03-01  257.8
2015-04-01  257.2
2015-05-01  257.6
2015-06-01  255.8
2015-07-01  256.9
2015-08-01  257.0
2015-09-01  259.0
2015-10-01  261.4
2015-11-01  263.2
2015-12-01  263.5
2016-01-01  263.4
2016-02-01  265.3
2016-03-01  265.9
2016-04-01  267.6
2016-05-01  269.3
2016-06-01  271.7
2016-07-01  271.1
2016-08-01  270.9
2016-09-01  271.1
2016-10-01  270.5
2016-11-01  271.3
2016-12-01  272.0
2017-01-01  272.5
2017-02-01  273.5
2017-03-01  273.1
2017-04-01  273.9
2017-05-01  274.7
2017-06-01  274.7
2017-07-01  275.4
2017-08-01  275.3
2017-09-01  275.0
2017-10-01  275.9
2017-11-01  275.6
2017-12-01  275.4
2018-01-01  276.2
2018-02-01  276.3
2018-03-01  278.0
2018-04-01  277.5
2018-05-01  278.8
2018-06-01  280.6
2018-07-01  282.4
2018-08-01  282.7
2018-09-01  281.5
2018-10-01  281.3
