Title:               Average Weekly Earnings of All Employees: Total Private in Jacksonville, NC (MSA)
Series ID:           SMU37273400500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  377.1
2007-02-01  383.0
2007-03-01  401.7
2007-04-01  416.4
2007-05-01  409.5
2007-06-01  418.2
2007-07-01  440.5
2007-08-01  437.7
2007-09-01  449.6
2007-10-01  445.4
2007-11-01  453.1
2007-12-01  468.5
2008-01-01  488.6
2008-02-01  538.0
2008-03-01  511.3
2008-04-01  513.8
2008-05-01  537.7
2008-06-01  489.0
2008-07-01  419.2
2008-08-01  403.5
2008-09-01  497.3
2008-10-01  523.9
2008-11-01  488.5
2008-12-01  484.6
2009-01-01  483.1
2009-02-01  473.4
2009-03-01  457.6
2009-04-01  476.3
2009-05-01  485.2
2009-06-01  505.4
2009-07-01  538.5
2009-08-01  533.0
2009-09-01  541.1
2009-10-01  535.1
2009-11-01  546.8
2009-12-01  546.1
2010-01-01  556.9
2010-02-01  556.1
2010-03-01  574.6
2010-04-01  557.3
2010-05-01  575.2
2010-06-01  571.0
2010-07-01  560.6
2010-08-01  573.5
2010-09-01  556.2
2010-10-01  579.6
2010-11-01  571.9
2010-12-01  578.3
2011-01-01  579.2
2011-02-01  583.7
2011-03-01  576.1
2011-04-01  568.3
2011-05-01  576.9
2011-06-01  557.0
2011-07-01  568.1
2011-08-01  550.7
2011-09-01  545.7
2011-10-01  548.2
2011-11-01  543.8
2011-12-01  541.8
2012-01-01  536.2
2012-02-01  545.4
2012-03-01  548.6
2012-04-01  563.4
2012-05-01  561.6
2012-06-01  568.8
2012-07-01  559.0
2012-08-01  560.0
2012-09-01  571.8
2012-10-01  564.1
2012-11-01  579.6
2012-12-01  587.2
2013-01-01  587.2
2013-02-01  585.9
2013-03-01  581.1
2013-04-01  574.0
2013-05-01  583.7
2013-06-01  586.0
2013-07-01  588.7
2013-08-01  594.6
2013-09-01  616.8
2013-10-01  613.0
2013-11-01  599.4
2013-12-01  610.7
2014-01-01  596.2
2014-02-01  573.3
2014-03-01  647.8
2014-04-01  628.7
2014-05-01  614.1
2014-06-01  635.8
2014-07-01  619.1
2014-08-01  619.4
2014-09-01  610.2
2014-10-01  614.4
2014-11-01  601.8
2014-12-01  592.2
2015-01-01  588.0
2015-02-01  589.2
2015-03-01  586.5
2015-04-01  548.9
2015-05-01  560.9
2015-06-01  539.6
2015-07-01  566.4
2015-08-01  543.8
2015-09-01  505.6
2015-10-01  521.1
2015-11-01  519.8
2015-12-01  521.2
2016-01-01  534.2
2016-02-01  519.4
2016-03-01  528.7
2016-04-01  541.8
2016-05-01  525.7
2016-06-01  538.8
2016-07-01  548.3
2016-08-01  553.2
2016-09-01  556.7
2016-10-01  540.9
2016-11-01  567.6
2016-12-01  549.3
2017-01-01  566.2
2017-02-01  553.7
2017-03-01  555.5
2017-04-01  575.2
2017-05-01  574.6
2017-06-01  581.1
2017-07-01  607.6
2017-08-01  561.4
2017-09-01  564.3
2017-10-01  576.1
2017-11-01  557.9
2017-12-01  563.6
2018-01-01  542.1
2018-02-01  565.9
2018-03-01  553.2
2018-04-01  553.3
2018-05-01  573.5
2018-06-01  564.1
2018-07-01  573.9
2018-08-01  556.1
2018-09-01  666.1
2018-10-01  589.7
