Title:               Average Weekly Earnings of All Employees: Total Private in Greenville, NC (MSA)
Series ID:           SMU37247800500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  502.4
2007-02-01  501.0
2007-03-01  484.7
2007-04-01  557.2
2007-05-01  478.7
2007-06-01  500.3
2007-07-01  519.4
2007-08-01  463.8
2007-09-01  522.1
2007-10-01  522.4
2007-11-01  557.0
2007-12-01  589.8
2008-01-01  594.4
2008-02-01  598.8
2008-03-01  614.7
2008-04-01  615.4
2008-05-01  666.9
2008-06-01  672.2
2008-07-01  638.4
2008-08-01  671.5
2008-09-01  635.8
2008-10-01  636.6
2008-11-01  623.7
2008-12-01  613.0
2009-01-01  597.9
2009-02-01  614.6
2009-03-01  614.6
2009-04-01  610.9
2009-05-01  594.6
2009-06-01  578.4
2009-07-01  576.9
2009-08-01  582.1
2009-09-01  588.7
2009-10-01  594.1
2009-11-01  580.6
2009-12-01  593.4
2010-01-01  607.4
2010-02-01  596.8
2010-03-01  600.8
2010-04-01  593.4
2010-05-01  596.3
2010-06-01  586.7
2010-07-01  603.6
2010-08-01  603.1
2010-09-01  609.1
2010-10-01  613.8
2010-11-01  599.7
2010-12-01  580.2
2011-01-01  601.2
2011-02-01  611.5
2011-03-01  620.3
2011-04-01  648.9
2011-05-01  684.8
2011-06-01  743.6
2011-07-01  745.1
2011-08-01  724.8
2011-09-01  774.5
2011-10-01  817.3
2011-11-01  799.2
2011-12-01  791.5
2012-01-01  775.2
2012-02-01  775.5
2012-03-01  777.9
2012-04-01  793.3
2012-05-01  754.7
2012-06-01  746.1
2012-07-01  723.1
2012-08-01  696.1
2012-09-01  741.9
2012-10-01  696.7
2012-11-01  699.9
2012-12-01  702.4
2013-01-01  716.1
2013-02-01  698.9
2013-03-01  703.2
2013-04-01  688.0
2013-05-01  672.4
2013-06-01  684.8
2013-07-01  678.0
2013-08-01  665.9
2013-09-01  688.0
2013-10-01  678.8
2013-11-01  685.8
2013-12-01  674.7
2014-01-01  654.8
2014-02-01  661.2
2014-03-01  677.9
2014-04-01  625.7
2014-05-01  612.9
2014-06-01  598.0
2014-07-01  628.3
2014-08-01  652.7
2014-09-01  653.1
2014-10-01  662.5
2014-11-01  706.6
2014-12-01  729.4
2015-01-01  743.8
2015-02-01  715.8
2015-03-01  736.2
2015-04-01  717.7
2015-05-01  725.1
2015-06-01  705.7
2015-07-01  715.0
2015-08-01  742.6
2015-09-01  735.5
2015-10-01  751.6
2015-11-01  743.4
2015-12-01  746.4
2016-01-01  719.2
2016-02-01  699.5
2016-03-01  729.8
2016-04-01  751.7
2016-05-01  749.9
2016-06-01  735.3
2016-07-01  732.4
2016-08-01  728.2
2016-09-01  700.6
2016-10-01  692.7
2016-11-01  697.6
2016-12-01  700.7
2017-01-01  738.3
2017-02-01  750.4
2017-03-01  742.9
2017-04-01  769.3
2017-05-01  807.5
2017-06-01  801.8
2017-07-01  801.0
2017-08-01  747.0
2017-09-01  814.2
2017-10-01  798.2
2017-11-01  779.2
2017-12-01  792.7
2018-01-01  762.7
2018-02-01  828.6
2018-03-01  834.1
2018-04-01  852.9
2018-05-01  852.5
2018-06-01  862.5
2018-07-01  880.9
2018-08-01  883.1
2018-09-01  868.8
2018-10-01  909.9
