Title:               Average Weekly Earnings of All Employees: Total Private in Goldsboro, NC (MSA)
Series ID:           SMU37241400500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  533.0
2007-02-01  535.5
2007-03-01  538.9
2007-04-01  571.8
2007-05-01  532.8
2007-06-01  557.1
2007-07-01  559.6
2007-08-01  546.6
2007-09-01  598.6
2007-10-01  571.1
2007-11-01  573.2
2007-12-01  603.6
2008-01-01  520.6
2008-02-01  583.2
2008-03-01  598.5
2008-04-01  561.6
2008-05-01  558.3
2008-06-01  542.5
2008-07-01  539.9
2008-08-01  530.6
2008-09-01  521.9
2008-10-01  525.1
2008-11-01  514.8
2008-12-01  511.9
2009-01-01  514.5
2009-02-01  516.6
2009-03-01  509.3
2009-04-01  502.5
2009-05-01  543.3
2009-06-01  546.1
2009-07-01  515.0
2009-08-01  527.6
2009-09-01  523.4
2009-10-01  510.2
2009-11-01  523.1
2009-12-01  514.3
2010-01-01  515.2
2010-02-01  502.9
2010-03-01  511.2
2010-04-01  522.9
2010-05-01  520.1
2010-06-01  520.5
2010-07-01  535.2
2010-08-01  535.5
2010-09-01  526.1
2010-10-01  525.8
2010-11-01  516.7
2010-12-01  513.8
2011-01-01  515.1
2011-02-01  520.2
2011-03-01  532.1
2011-04-01  527.6
2011-05-01  526.1
2011-06-01  532.1
2011-07-01  539.6
2011-08-01  538.3
2011-09-01  549.4
2011-10-01  568.5
2011-11-01  573.6
2011-12-01  589.4
2012-01-01  596.4
2012-02-01  599.5
2012-03-01  594.9
2012-04-01  600.7
2012-05-01  605.6
2012-06-01  608.1
2012-07-01  598.5
2012-08-01  608.7
2012-09-01  615.3
2012-10-01  613.5
2012-11-01  622.2
2012-12-01  631.2
2013-01-01  636.2
2013-02-01  641.4
2013-03-01  643.4
2013-04-01  653.7
2013-05-01  655.3
2013-06-01  658.6
2013-07-01  646.7
2013-08-01  661.9
2013-09-01  669.4
2013-10-01  675.2
2013-11-01  678.1
2013-12-01  681.7
2014-01-01  660.1
2014-02-01  667.7
2014-03-01  662.8
2014-04-01  633.7
2014-05-01  658.5
2014-06-01  657.2
2014-07-01  666.1
2014-08-01  669.2
2014-09-01  662.6
2014-10-01  643.7
2014-11-01  677.1
2014-12-01  657.8
2015-01-01  658.4
2015-02-01  655.0
2015-03-01  658.6
2015-04-01  643.5
2015-05-01  652.3
2015-06-01  645.3
2015-07-01  634.7
2015-08-01  646.6
2015-09-01  642.1
2015-10-01  648.3
2015-11-01  640.4
2015-12-01  653.3
2016-01-01  645.7
2016-02-01  646.4
2016-03-01  660.9
2016-04-01  670.0
2016-05-01  664.8
2016-06-01  676.4
2016-07-01  685.9
2016-08-01  662.5
2016-09-01  675.8
2016-10-01  656.0
2016-11-01  671.0
2016-12-01  658.0
2017-01-01  665.9
2017-02-01  672.3
2017-03-01  674.0
2017-04-01  679.1
2017-05-01  671.9
2017-06-01  677.8
2017-07-01  677.1
2017-08-01  690.2
2017-09-01  733.5
2017-10-01  719.9
2017-11-01  673.0
2017-12-01  699.4
2018-01-01  706.1
2018-02-01  696.5
2018-03-01  693.5
2018-04-01  691.7
2018-05-01  695.7
2018-06-01  691.6
2018-07-01  701.1
2018-08-01  709.5
2018-09-01  636.1
2018-10-01  697.4
