Title:               Civilian Labor Force in Yancey County, NC
Series ID:           NCYANC9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
1990-01-01  6609
1990-02-01  6910
1990-03-01  7071
1990-04-01  7559
1990-05-01  7082
1990-06-01  7060
1990-07-01  6932
1990-08-01  6370
1990-09-01  6435
1990-10-01  6273
1990-11-01  6190
1990-12-01  6111
1991-01-01  6260
1991-02-01  6326
1991-03-01  6400
1991-04-01  6890
1991-05-01  6873
1991-06-01  6582
1991-07-01  6496
1991-08-01  6518
1991-09-01  6724
1991-10-01  6585
1991-11-01  6623
1991-12-01  6538
1992-01-01  6575
1992-02-01  6700
1992-03-01  6634
1992-04-01  6695
1992-05-01  6715
1992-06-01  6914
1992-07-01  6470
1992-08-01  6854
1992-09-01  6677
1992-10-01  6433
1992-11-01  6479
1992-12-01  6426
1993-01-01  6354
1993-02-01  6407
1993-03-01  6349
1993-04-01  6387
1993-05-01  6490
1993-06-01  6566
1993-07-01  5850
1993-08-01  6529
1993-09-01  6294
1993-10-01  6269
1993-11-01  6149
1993-12-01  6230
1994-01-01  6430
1994-02-01  6492
1994-03-01  6408
1994-04-01  6544
1994-05-01  6613
1994-06-01  6643
1994-07-01  7001
1994-08-01  6927
1994-09-01  6693
1994-10-01  6608
1994-11-01  6660
1994-12-01  6648
1995-01-01  6198
1995-02-01  6192
1995-03-01  6177
1995-04-01  6198
1995-05-01  6303
1995-06-01  6298
1995-07-01  6588
1995-08-01  6407
1995-09-01  6268
1995-10-01  6188
1995-11-01  6144
1995-12-01  6057
1996-01-01  6160
1996-02-01  6111
1996-03-01  6101
1996-04-01  6065
1996-05-01  6233
1996-06-01  6261
1996-07-01  6764
1996-08-01  6732
