Title:               Gross Domestic Product by Industry: Private Industries: Arts, Entertainment, Recreation, Accommodation, and Food Services: Accommodation and Food Services for North Carolina
Series ID:           NCACCOMDNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   7649.3
2005-04-01   7704.6
2005-07-01   7783.1
2005-10-01   7881.7
2006-01-01   8223.2
2006-04-01   8241.9
2006-07-01   8390.2
2006-10-01   8560.6
2007-01-01   8857.3
2007-04-01   8987.4
2007-07-01   8979.8
2007-10-01   9064.2
2008-01-01   8913.5
2008-04-01   8921.6
2008-07-01   9046.3
2008-10-01   9021.5
2009-01-01   8831.0
2009-04-01   8872.8
2009-07-01   8924.0
2009-10-01   8886.5
2010-01-01   9074.1
2010-04-01   9241.0
2010-07-01   9369.4
2010-10-01   9373.9
2011-01-01   9605.0
2011-04-01   9650.6
2011-07-01   9647.6
2011-10-01   9825.4
2012-01-01  10289.1
2012-04-01  10373.7
2012-07-01  10424.5
2012-10-01  10654.8
2013-01-01  11003.2
2013-04-01  11098.9
2013-07-01  11272.6
2013-10-01  11424.5
2014-01-01  11892.2
2014-04-01  12270.3
2014-07-01  12531.9
2014-10-01  12717.4
2015-01-01  13310.0
2015-04-01  13485.5
2015-07-01  13685.0
2015-10-01  13755.7
2016-01-01  14256.0
2016-04-01  14408.2
2016-07-01  14516.5
2016-10-01  14585.0
2017-01-01  14911.8
2017-04-01  14836.8
2017-07-01  15064.5
2017-10-01  15093.3
2018-01-01  15351.0
2018-04-01  15578.6
