Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Agriculture, Forestry, Fishing, and Hunting for North Carolina
Series ID:           NCAGRQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  137.112
2005-04-01  142.374
2005-07-01  135.022
2005-10-01  124.941
2006-01-01  136.078
2006-04-01  147.218
2006-07-01  136.512
2006-10-01  127.230
2007-01-01  107.980
2007-04-01  102.648
2007-07-01  101.128
2007-10-01   96.851
2008-01-01  112.183
2008-04-01  106.438
2008-07-01   95.049
2008-10-01  100.531
2009-01-01  128.103
2009-04-01  128.701
2009-07-01  139.593
2009-10-01  126.204
2010-01-01  111.799
2010-04-01  122.931
2010-07-01  122.791
2010-10-01  117.070
2011-01-01   89.737
2011-04-01   85.974
2011-07-01   83.718
2011-10-01   83.976
2012-01-01  116.020
2012-04-01  104.268
2012-07-01   93.660
2012-10-01   86.053
2013-01-01   96.445
2013-04-01  112.429
2013-07-01  119.660
2013-10-01  113.239
2014-01-01  125.356
2014-04-01  122.959
2014-07-01  126.873
2014-10-01  128.013
2015-01-01  136.278
2015-04-01  137.078
2015-07-01  134.130
2015-10-01  122.496
2016-01-01  137.705
2016-04-01  138.293
2016-07-01  135.248
2016-10-01  129.413
2017-01-01  135.703
2017-04-01  134.330
2017-07-01  131.982
2017-10-01  131.218
2018-01-01  141.754
2018-04-01  137.959
