Title:               Allocated Transfer Risk Reserves for Commercial Banks in North Carolina
Series ID:           NCATRR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Allocated Transfer Risk Reserves call item
                     RCFD3128.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE         VALUE
1984-01-01       0
1984-04-01       0
1984-07-01       0
1984-10-01       0
1985-01-01       0
1985-04-01       0
1985-07-01       0
1985-10-01       0
1986-01-01       0
1986-04-01       0
1986-07-01       0
1986-10-01       0
1987-01-01       0
1987-04-01       0
1987-07-01       0
1987-10-01       0
1988-01-01       0
1988-04-01       0
1988-07-01       0
1988-10-01       0
1989-01-01       0
1989-04-01       0
1989-07-01       0
1989-10-01       0
1990-01-01       0
1990-04-01       0
1990-07-01       0
1990-10-01       0
1991-01-01       0
1991-04-01       0
1991-07-01       0
1991-10-01       0
1992-01-01       0
1992-04-01       0
1992-07-01       0
1992-10-01       0
1993-01-01     100
1993-04-01       0
1993-07-01       0
1993-10-01     300
1994-01-01       0
1994-04-01       0
1994-07-01       0
1994-10-01       0
1995-01-01       0
1995-04-01       0
1995-07-01       0
1995-10-01       0
1996-01-01       0
1996-04-01       0
1996-07-01       0
1996-10-01       0
1997-01-01       0
1997-04-01       0
1997-07-01       0
1997-10-01       0
1998-01-01       0
1998-04-01       0
1998-07-01       0
1998-10-01   20000
1999-01-01   19000
1999-04-01   16000
1999-07-01   48000
1999-10-01   39000
2000-01-01   31000
2000-04-01   40000
2000-07-01   30000
2000-10-01   43000
2001-01-01   44000
2001-04-01   41000
2001-07-01   37000
2001-10-01   86200
2002-01-01   67500
2002-04-01  209000
2002-07-01  176000
2002-10-01  137000
2003-01-01  102000
2003-04-01  102000
2003-07-01   88806
2003-10-01  101698
2004-01-01  116305
2004-04-01   98853
2004-07-01   74545
2004-10-01   54900
2005-01-01   35369
2005-04-01    5586
2005-07-01    7046
2005-10-01    4100
2006-01-01    7550
2006-04-01    5504
2006-07-01    5496
2006-10-01   17593
2007-01-01       3
2007-04-01       1
2007-07-01       1
2007-10-01       1
2008-01-01       1
2008-04-01       1
2008-07-01       1
2008-10-01       1
2009-01-01       1
2009-04-01      10
2009-07-01       1
2009-10-01       1
2010-01-01       1
2010-04-01       1
2010-07-01       1
2010-10-01       1
2011-01-01       1
2011-04-01    1145
2011-07-01       1
2011-10-01       1
2012-01-01       1
2012-04-01    3336
2012-07-01       1
2012-10-01       0
2013-01-01       0
2013-04-01       0
2013-07-01       0
2013-10-01       0
2014-01-01       0
2014-04-01       0
2014-07-01       0
2014-10-01       0
2015-01-01       0
2015-04-01       0
2015-07-01       0
2015-10-01       0
2016-01-01       0
2016-04-01       0
2016-07-01       0
2016-10-01       0
2017-01-01       0
2017-04-01       0
2017-07-01       0
2017-10-01       0
2018-01-01       0
2018-04-01       0
2018-07-01       0
