Title:               Real Gross Domestic Product by Industry: Private Industries: Arts, Entertainment, Recreation, Accommodation, and Food Services: Accommodation and Food Services for North Carolina
Series ID:           NCACCOMDRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   9892.4
2005-04-01   9872.6
2005-07-01   9933.6
2005-10-01  10013.9
2006-01-01  10327.6
2006-04-01  10242.7
2006-07-01  10394.9
2006-10-01  10436.5
2007-01-01  10679.0
2007-04-01  10691.9
2007-07-01  10481.7
2007-10-01  10485.7
2008-01-01  10223.0
2008-04-01  10180.7
2008-07-01  10173.3
2008-10-01   9914.9
2009-01-01   9549.9
2009-04-01   9453.6
2009-07-01   9432.4
2009-10-01   9378.9
2010-01-01   9618.7
2010-04-01   9780.2
2010-07-01   9939.6
2010-10-01   9888.2
2011-01-01  10178.1
2011-04-01  10213.6
2011-07-01  10153.7
2011-10-01  10122.3
2012-01-01  10447.2
2012-04-01  10384.0
2012-07-01  10351.8
2012-10-01  10559.2
2013-01-01  10850.2
2013-04-01  10795.7
2013-07-01  10842.3
2013-10-01  10970.0
2014-01-01  11440.9
2014-04-01  11640.5
2014-07-01  11774.5
2014-10-01  11793.5
2015-01-01  12162.1
2015-04-01  12216.8
2015-07-01  12288.4
2015-10-01  12187.4
2016-01-01  12462.5
2016-04-01  12459.1
2016-07-01  12482.2
2016-10-01  12502.2
2017-01-01  12690.7
2017-04-01  12507.3
2017-07-01  12575.3
2017-10-01  12503.7
2018-01-01  12509.3
2018-04-01  12689.8
