Title:               Civilian Labor Force in Ashe County, NC
Series ID:           NCASHE9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:15 AM CST
Notes:               

DATE        VALUE
2015-01-01  12187
2015-02-01  12110
2015-03-01  12233
2015-04-01  12267
2015-05-01  12513
2015-06-01  12375
2015-07-01  12355
2015-08-01  12008
2015-09-01  12464
2015-10-01  12590
2015-11-01  12566
2015-12-01  12054
2016-01-01  12130
2016-02-01  12263
2016-03-01  12519
2016-04-01  12617
2016-05-01  12584
2016-06-01  12335
2016-07-01  12495
2016-08-01  12646
2016-09-01  12682
2016-10-01  12620
2016-11-01  12676
2016-12-01  12367
2017-01-01  12301
2017-02-01  12538
2017-03-01  12636
2017-04-01  12728
2017-05-01  12769
2017-06-01  12547
2017-07-01  12712
2017-08-01  12767
2017-09-01  12914
2017-10-01  12943
2017-11-01  12950
2017-12-01  12695
2018-01-01  12601
2018-02-01  12777
2018-03-01  12679
2018-04-01  12859
2018-05-01  12963
2018-06-01  12791
2018-07-01  12816
2018-08-01  12776
2018-09-01  12896
2018-10-01  12968
2018-11-01  12970
