Title:               Real Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Administrative and Waste Management Services for North Carolina
Series ID:           NCADMINWASTRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  10043.4
2005-04-01  10050.0
2005-07-01  10221.3
2005-10-01  10292.4
2006-01-01  10607.9
2006-04-01  10660.7
2006-07-01  10749.9
2006-10-01  10933.9
2007-01-01  11130.2
2007-04-01  11627.0
2007-07-01  11446.5
2007-10-01  11833.0
2008-01-01  11737.1
2008-04-01  11789.2
2008-07-01  11713.9
2008-10-01  11559.9
2009-01-01  10899.3
2009-04-01  10445.8
2009-07-01  10610.1
2009-10-01  10941.0
2010-01-01  11579.7
2010-04-01  11773.8
2010-07-01  11945.2
2010-10-01  12269.1
2011-01-01  12667.7
2011-04-01  12609.2
2011-07-01  12642.2
2011-10-01  12872.7
2012-01-01  13243.4
2012-04-01  13008.1
2012-07-01  14603.8
2012-10-01  13454.5
2013-01-01  13338.5
2013-04-01  13510.7
2013-07-01  13682.0
2013-10-01  14012.7
2014-01-01  14207.8
2014-04-01  14399.8
2014-07-01  14481.1
2014-10-01  14892.3
2015-01-01  14381.3
2015-04-01  14552.6
2015-07-01  14650.0
2015-10-01  14713.1
2016-01-01  14746.9
2016-04-01  14867.1
2016-07-01  14882.1
2016-10-01  15190.6
2017-01-01  15410.2
2017-04-01  15513.4
2017-07-01  15595.6
2017-10-01  15451.2
2018-01-01  15493.9
2018-04-01  15704.4
