Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Administrative and Waste Management Services for North Carolina
Series ID:           NCADMINWASTQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   73.971
2005-04-01   74.020
2005-07-01   75.281
2005-10-01   75.806
2006-01-01   78.129
2006-04-01   78.518
2006-07-01   79.175
2006-10-01   80.530
2007-01-01   81.975
2007-04-01   85.635
2007-07-01   84.305
2007-10-01   87.152
2008-01-01   86.446
2008-04-01   86.829
2008-07-01   86.275
2008-10-01   85.140
2009-01-01   80.276
2009-04-01   76.935
2009-07-01   78.145
2009-10-01   80.583
2010-01-01   85.287
2010-04-01   86.716
2010-07-01   87.978
2010-10-01   90.364
2011-01-01   93.300
2011-04-01   92.869
2011-07-01   93.112
2011-10-01   94.810
2012-01-01   97.540
2012-04-01   95.807
2012-07-01  107.559
2012-10-01   99.094
2013-01-01   98.240
2013-04-01   99.509
2013-07-01  100.770
2013-10-01  103.206
2014-01-01  104.643
2014-04-01  106.057
2014-07-01  106.656
2014-10-01  109.684
2015-01-01  105.921
2015-04-01  107.182
2015-07-01  107.900
2015-10-01  108.365
2016-01-01  108.614
2016-04-01  109.499
2016-07-01  109.609
2016-10-01  111.881
2017-01-01  113.499
2017-04-01  114.259
2017-07-01  114.864
2017-10-01  113.801
2018-01-01  114.116
2018-04-01  115.666
