Title:               Resident Population in Ashe County, NC
Series ID:           NCASHE9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  19.571
1971-01-01  20.000
1972-01-01  20.000
1973-01-01  20.200
1974-01-01  20.500
1975-01-01  20.700
1976-01-01  20.900
1977-01-01  21.300
1978-01-01  21.600
1979-01-01  21.800
1980-01-01  22.325
1981-01-01  22.440
1982-01-01  22.496
1983-01-01  22.605
1984-01-01  22.681
1985-01-01  22.716
1986-01-01  22.394
1987-01-01  22.398
1988-01-01  22.361
1989-01-01  22.317
1990-01-01  22.206
1991-01-01  22.416
1992-01-01  22.511
1993-01-01  22.786
1994-01-01  23.099
1995-01-01  23.339
1996-01-01  23.691
1997-01-01  23.865
1998-01-01  23.989
1999-01-01  24.181
2000-01-01  24.448
2001-01-01  24.592
2002-01-01  24.743
2003-01-01  24.870
2004-01-01  25.120
2005-01-01  25.135
2006-01-01  25.288
2007-01-01  25.530
2008-01-01  25.750
2009-01-01  25.905
2010-01-01  27.231
2011-01-01  27.008
2012-01-01  26.957
2013-01-01  26.889
2014-01-01  26.838
2015-01-01  26.727
2016-01-01  26.754
2017-01-01  26.957
