Title:               Civilian Labor Force in Anson County, NC
Series ID:           NCANSO7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:15 AM CST
Notes:               

DATE        VALUE
1990-01-01  11425
1990-02-01  11425
1990-03-01  11371
1990-04-01  11499
1990-05-01  11795
1990-06-01  12168
1990-07-01  12046
1990-08-01  11855
1990-09-01  11842
1990-10-01  11795
1990-11-01  12032
1990-12-01  11806
1991-01-01  11747
1991-02-01  11883
1991-03-01  11949
1991-04-01  11833
1991-05-01  12082
1991-06-01  12324
1991-07-01  12496
1991-08-01  12277
1991-09-01  12282
1991-10-01  12253
1991-11-01  12507
1991-12-01  12117
1992-01-01  12667
1992-02-01  12543
1992-03-01  12404
1992-04-01  12540
1992-05-01  12762
1992-06-01  12878
1992-07-01  12487
1992-08-01  12322
1992-09-01  12239
1992-10-01  12088
1992-11-01  12079
1992-12-01  11938
1993-01-01  11852
1993-02-01  11868
1993-03-01  11685
1993-04-01  11717
1993-05-01  11941
1993-06-01  12107
1993-07-01  11820
1993-08-01  11860
1993-09-01  11590
1993-10-01  11676
1993-11-01  11544
1993-12-01  11366
1994-01-01  11387
1994-02-01  11375
1994-03-01  11471
1994-04-01  11216
1994-05-01  11512
1994-06-01  11703
1994-07-01  11675
1994-08-01  11697
1994-09-01  11885
1994-10-01  11882
1994-11-01  11798
1994-12-01  11266
1995-01-01  11496
1995-02-01  11474
1995-03-01  11459
1995-04-01  11523
1995-05-01  11441
1995-06-01  11664
1995-07-01  11735
1995-08-01  11574
1995-09-01  11532
1995-10-01  11539
1995-11-01  11623
1995-12-01  11487
1996-01-01  11325
1996-02-01  11377
1996-03-01  11549
1996-04-01  11473
1996-05-01  11734
1996-06-01  11775
1996-07-01  11821
1996-08-01  11480
1996-09-01  11428
1996-10-01  11534
1996-11-01  11462
1996-12-01  11400
1997-01-01  11577
1997-02-01  11450
1997-03-01  11506
1997-04-01  11388
1997-05-01  11569
1997-06-01  11679
1997-07-01  11579
1997-08-01  11821
1997-09-01  11670
1997-10-01  11595
1997-11-01  11591
1997-12-01  11483
1998-01-01  11454
1998-02-01  11383
1998-03-01  11277
1998-04-01  11360
1998-05-01  11301
1998-06-01  11098
1998-07-01  11537
1998-08-01  11459
1998-09-01  11590
1998-10-01  11380
1998-11-01  11114
1998-12-01  11002
1999-01-01  11019
1999-02-01  10932
1999-03-01  10866
1999-04-01  10711
1999-05-01  10608
1999-06-01  10445
1999-07-01  10695
1999-08-01  10821
1999-09-01  10800
1999-10-01  10897
1999-11-01  10685
1999-12-01  10375
2000-01-01  10876
2000-02-01  10889
2000-03-01  10876
2000-04-01  10939
2000-05-01  10988
2000-06-01  11042
2000-07-01  11112
2000-08-01  11011
2000-09-01  11033
2000-10-01  11189
2000-11-01  11277
2000-12-01  11307
2001-01-01  11148
2001-02-01  11282
2001-03-01  11330
2001-04-01  11299
2001-05-01  11271
2001-06-01  11365
2001-07-01  11450
2001-08-01  11176
2001-09-01  11186
2001-10-01  11283
2001-11-01  11417
2001-12-01  11437
2002-01-01  11060
2002-02-01  11211
2002-03-01  11147
2002-04-01  11060
2002-05-01  10998
2002-06-01  11024
2002-07-01  11125
2002-08-01  10913
2002-09-01  10916
2002-10-01  10986
2002-11-01  11154
2002-12-01  11028
2003-01-01  10894
2003-02-01  10918
2003-03-01  10890
2003-04-01  10990
2003-05-01  11037
2003-06-01  11151
2003-07-01  10987
2003-08-01  10912
2003-09-01  10896
2003-10-01  11064
2003-11-01  11071
2003-12-01  11001
2004-01-01  10934
2004-02-01  10939
