Title:               State Government Tax Collections, Alcoholic Beverages - Selective Sales Taxes in North Carolina
Series ID:           NCALCOTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01    3398
1943-01-01       .
1944-01-01    4363
1945-01-01       .
1946-01-01    6713
1947-01-01       .
1948-01-01   10445
1949-01-01       .
1950-01-01    8398
1951-01-01    9511
1952-01-01   10911
1953-01-01   10964
1954-01-01   10304
1955-01-01   11143
1956-01-01   13642
1957-01-01   14471
1958-01-01   13603
1959-01-01   15166
1960-01-01   16324
1961-01-01   17948
1962-01-01   21217
1963-01-01   22136
1964-01-01   24162
1965-01-01   25213
1966-01-01   28704
1967-01-01   33236
1968-01-01   28315
1969-01-01   38402
1970-01-01   57316
1971-01-01   65827
1972-01-01   71032
1973-01-01   75180
1974-01-01   77818
1975-01-01   80340
1976-01-01   84509
1977-01-01   86763
1978-01-01   92258
1979-01-01   98279
1980-01-01  104753
1981-01-01  110841
1982-01-01  115728
1983-01-01  116465
1984-01-01  117810
1985-01-01  122418
1986-01-01  127269
1987-01-01  131437
1988-01-01  141794
1989-01-01  147010
1990-01-01  150582
1991-01-01  152973
1992-01-01  155515
1993-01-01  156090
1994-01-01  158015
1995-01-01  160089
1996-01-01  164894
1997-01-01  170985
1998-01-01  155352
1999-01-01  182970
2000-01-01  192629
2001-01-01  199844
2002-01-01  202528
2003-01-01  199582
2004-01-01  212224
2005-01-01  220546
2006-01-01  232768
2007-01-01  246163
2008-01-01  260382
2009-01-01  264067
2010-01-01  294532
2011-01-01  310616
2012-01-01  322970
2013-01-01  332656
2014-01-01  343344
2015-01-01  359880
2016-01-01  378744
2017-01-01  394838
