Title:               Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Administrative and Waste Management Services for North Carolina
Series ID:           NCADMINWASTNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   9055.8
2005-04-01   9139.1
2005-07-01   9344.4
2005-10-01   9484.6
2006-01-01   9849.7
2006-04-01   9952.8
2006-07-01  10089.9
2006-10-01  10367.5
2007-01-01  10579.9
2007-04-01  11065.9
2007-07-01  10982.2
2007-10-01  11417.1
2008-01-01  11388.5
2008-04-01  11412.1
2008-07-01  11359.0
2008-10-01  11370.1
2009-01-01  10802.2
2009-04-01  10374.3
2009-07-01  10553.4
2009-10-01  10845.7
2010-01-01  11329.8
2010-04-01  11601.2
2010-07-01  11819.6
2010-10-01  12112.9
2011-01-01  12505.1
2011-04-01  12433.4
2011-07-01  12504.3
2011-10-01  12794.7
2012-01-01  13177.9
2012-04-01  12991.9
2012-07-01  14633.1
2012-10-01  13506.8
2013-01-01  13476.0
2013-04-01  13678.4
2013-07-01  13931.3
2013-10-01  14338.3
2014-01-01  14572.1
2014-04-01  14873.9
2014-07-01  15073.4
2014-10-01  15622.6
2015-01-01  15179.9
2015-04-01  15485.5
2015-07-01  15692.3
2015-10-01  15932.1
2016-01-01  16134.0
2016-04-01  16372.9
2016-07-01  16441.9
2016-10-01  16898.6
2017-01-01  17225.4
2017-04-01  17339.5
2017-07-01  17516.9
2017-10-01  17406.7
2018-01-01  17574.7
2018-04-01  17903.0
