Title:               Resident Population in Alexander County, NC
Series ID:           NCALEX3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  19.466
1971-01-01  20.300
1972-01-01  21.200
1973-01-01  22.100
1974-01-01  22.700
1975-01-01  22.900
1976-01-01  23.100
1977-01-01  23.600
1978-01-01  24.100
1979-01-01  24.700
1980-01-01  24.999
1981-01-01  25.260
1982-01-01  25.572
1983-01-01  25.865
1984-01-01  26.097
1985-01-01  26.348
1986-01-01  26.557
1987-01-01  26.796
1988-01-01  27.078
1989-01-01  27.423
1990-01-01  27.652
1991-01-01  28.095
1992-01-01  28.453
1993-01-01  29.208
1994-01-01  29.949
1995-01-01  30.496
1996-01-01  30.967
1997-01-01  31.668
1998-01-01  32.492
1999-01-01  33.274
2000-01-01  33.742
2001-01-01  34.046
2002-01-01  34.402
2003-01-01  34.605
2004-01-01  35.245
2005-01-01  35.637
2006-01-01  36.054
2007-01-01  36.412
2008-01-01  36.625
2009-01-01  36.822
2010-01-01  37.241
2011-01-01  37.039
2012-01-01  36.940
2013-01-01  37.091
2014-01-01  37.092
2015-01-01  37.058
2016-01-01  37.270
2017-01-01  37.286
