Title:               Resident Population in Avery County, NC
Series ID:           NCAVER1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  12.655
1971-01-01  13.200
1972-01-01  13.500
1973-01-01  13.600
1974-01-01  14.100
1975-01-01  14.200
1976-01-01  14.200
1977-01-01  14.200
1978-01-01  14.200
1979-01-01  14.300
1980-01-01  14.409
1981-01-01  14.529
1982-01-01  14.572
1983-01-01  14.644
1984-01-01  14.760
1985-01-01  14.723
1986-01-01  14.687
1987-01-01  14.809
1988-01-01  14.828
1989-01-01  14.868
1990-01-01  14.925
1991-01-01  15.024
1992-01-01  15.162
1993-01-01  15.377
1994-01-01  15.472
1995-01-01  15.665
1996-01-01  15.931
1997-01-01  16.123
1998-01-01  16.255
1999-01-01  17.040
2000-01-01  17.310
2001-01-01  17.694
2002-01-01  17.848
2003-01-01  17.865
2004-01-01  17.922
2005-01-01  17.893
2006-01-01  18.050
2007-01-01  17.905
2008-01-01  17.985
2009-01-01  17.895
2010-01-01  17.761
2011-01-01  17.728
2012-01-01  17.575
2013-01-01  17.604
2014-01-01  17.597
2015-01-01  17.440
2016-01-01  17.500
2017-01-01  17.536
