Title:               Production or Nonsupervisory Employees: Manufacturing in North Carolina
Series ID:           SMU37000003000000006
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2001-01-01  580.3
2001-02-01  573.6
2001-03-01  566.6
2001-04-01  562.1
2001-05-01  554.7
2001-06-01  552.3
2001-07-01  542.1
2001-08-01  539.8
2001-09-01  536.9
2001-10-01  529.9
2001-11-01  522.4
2001-12-01  519.3
2002-01-01  511.6
2002-02-01  511.3
2002-03-01  509.3
2002-04-01  502.6
2002-05-01  501.4
2002-06-01  499.9
2002-07-01  497.7
2002-08-01  496.6
2002-09-01  494.3
2002-10-01  491.6
2002-11-01  489.6
2002-12-01  484.3
2003-01-01  478.9
2003-02-01  476.9
2003-03-01  475.7
2003-04-01  472.3
2003-05-01  468.5
2003-06-01  465.5
2003-07-01  454.0
2003-08-01  455.9
2003-09-01  455.8
2003-10-01  450.7
2003-11-01  448.8
2003-12-01  447.5
2004-01-01  443.4
2004-02-01  442.3
2004-03-01  443.4
2004-04-01  445.6
2004-05-01  445.4
2004-06-01  450.1
2004-07-01  448.3
2004-08-01  447.1
2004-09-01  448.1
2004-10-01  446.5
2004-11-01  444.7
2004-12-01  444.5
2005-01-01  438.7
2005-02-01  439.0
2005-03-01  438.5
2005-04-01  437.4
2005-05-01  436.9
2005-06-01  437.8
2005-07-01  434.9
2005-08-01  434.8
2005-09-01  435.5
2005-10-01  432.6
2005-11-01  435.6
2005-12-01  433.9
2006-01-01  427.5
2006-02-01  426.4
2006-03-01  425.9
2006-04-01  431.1
2006-05-01  431.6
2006-06-01  431.9
2006-07-01  429.6
2006-08-01  428.8
2006-09-01  428.7
2006-10-01  426.8
2006-11-01  425.9
2006-12-01  426.2
2007-01-01  419.9
2007-02-01  419.3
2007-03-01  418.7
2007-04-01  414.8
2007-05-01  413.5
2007-06-01  416.5
2007-07-01  413.7
2007-08-01  414.3
2007-09-01  413.4
2007-10-01  411.3
2007-11-01  410.8
2007-12-01  411.0
2008-01-01  405.0
2008-02-01  405.5
2008-03-01  405.0
2008-04-01  398.9
2008-05-01  399.6
2008-06-01  399.2
2008-07-01  396.8
2008-08-01  396.8
2008-09-01  394.1
2008-10-01  390.2
2008-11-01  384.1
2008-12-01  379.2
2009-01-01  364.1
2009-02-01  356.3
2009-03-01  349.3
2009-04-01  344.0
2009-05-01  341.8
2009-06-01  339.0
2009-07-01  335.2
2009-08-01  334.2
2009-09-01  334.0
2009-10-01  333.4
2009-11-01  332.0
2009-12-01  331.1
2010-01-01  327.4
2010-02-01  326.0
2010-03-01  326.5
2010-04-01  325.0
2010-05-01  325.5
2010-06-01  325.5
2010-07-01  328.2
2010-08-01  328.7
2010-09-01  329.7
2010-10-01  328.6
2010-11-01  328.0
2010-12-01  328.2
2011-01-01  323.6
2011-02-01  324.1
2011-03-01  324.7
2011-04-01  325.7
2011-05-01  327.2
2011-06-01  328.9
2011-07-01  328.5
2011-08-01  327.4
2011-09-01  328.2
2011-10-01  326.6
2011-11-01  325.4
2011-12-01  326.3
2012-01-01  324.0
2012-02-01  325.1
2012-03-01  325.1
2012-04-01  326.6
2012-05-01  328.1
2012-06-01  330.0
2012-07-01  329.6
2012-08-01  330.3
2012-09-01  330.4
2012-10-01  329.7
2012-11-01  331.1
2012-12-01  331.8
2013-01-01  328.4
2013-02-01  329.2
2013-03-01  331.3
2013-04-01  330.0
2013-05-01  332.1
2013-06-01  335.1
2013-07-01  334.7
2013-08-01  332.9
2013-09-01  334.4
2013-10-01  334.4
2013-11-01  332.8
2013-12-01  336.6
2014-01-01  330.8
2014-02-01  331.3
2014-03-01  333.4
2014-04-01  332.6
2014-05-01  334.6
2014-06-01  336.7
2014-07-01  334.1
2014-08-01  335.6
2014-09-01  336.5
2014-10-01  339.0
2014-11-01  341.5
2014-12-01  343.4
2015-01-01  341.2
2015-02-01  341.3
2015-03-01  342.3
2015-04-01  341.9
2015-05-01  345.7
2015-06-01  346.2
2015-07-01  350.0
2015-08-01  350.1
2015-09-01  351.0
2015-10-01  352.4
2015-11-01  353.4
2015-12-01  354.0
2016-01-01  350.1
2016-02-01  350.8
2016-03-01  351.2
2016-04-01  351.0
2016-05-01  350.9
2016-06-01  352.9
2016-07-01  351.3
2016-08-01  351.1
2016-09-01  350.8
2016-10-01  349.8
2016-11-01  349.7
2016-12-01  352.1
2017-01-01  350.0
2017-02-01  351.7
2017-03-01  350.1
2017-04-01  350.8
2017-05-01  350.0
2017-06-01  353.4
2017-07-01  352.5
2017-08-01  352.5
2017-09-01  352.6
2017-10-01  353.2
2017-11-01  354.3
2017-12-01  353.8
2018-01-01  353.5
2018-02-01  352.3
2018-03-01  353.4
2018-04-01  353.7
2018-05-01  357.0
2018-06-01  357.0
2018-07-01  356.6
2018-08-01  357.3
2018-09-01  357.3
2018-10-01  358.5
