Title:               Average Weekly Earnings of All Employees: Professional and Business Services in North Carolina
Series ID:           SMU37000006000000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE         VALUE
2007-01-01   838.6
2007-02-01   853.9
2007-03-01   843.3
2007-04-01   861.6
2007-05-01   840.3
2007-06-01   862.5
2007-07-01   894.1
2007-08-01   861.9
2007-09-01   883.1
2007-10-01   846.9
2007-11-01   852.9
2007-12-01   874.9
2008-01-01   858.7
2008-02-01   828.3
2008-03-01   846.9
2008-04-01   845.9
2008-05-01   848.2
2008-06-01   883.4
2008-07-01   826.4
2008-08-01   853.5
2008-09-01   845.9
2008-10-01   902.8
2008-11-01   956.4
2008-12-01   910.7
2009-01-01   925.8
2009-02-01   945.5
2009-03-01   944.5
2009-04-01   945.8
2009-05-01   946.9
2009-06-01   950.7
2009-07-01   946.0
2009-08-01   948.8
2009-09-01   937.1
2009-10-01   944.2
2009-11-01   971.4
2009-12-01   949.3
2010-01-01   928.2
2010-02-01   935.7
2010-03-01   943.3
2010-04-01   926.5
2010-05-01   941.0
2010-06-01   910.0
2010-07-01   904.7
2010-08-01   930.7
2010-09-01   913.3
2010-10-01   914.1
2010-11-01   899.7
2010-12-01   901.0
2011-01-01   929.6
2011-02-01   914.6
2011-03-01   905.2
2011-04-01   913.3
2011-05-01   961.9
2011-06-01   928.6
2011-07-01   945.6
2011-08-01   937.3
2011-09-01   931.9
2011-10-01   967.9
2011-11-01   941.7
2011-12-01   940.5
2012-01-01   951.9
2012-02-01   939.6
2012-03-01   938.6
2012-04-01   966.6
2012-05-01   947.1
2012-06-01   957.1
2012-07-01   976.2
2012-08-01   950.7
2012-09-01   968.0
2012-10-01   928.2
2012-11-01   940.1
2012-12-01   977.5
2013-01-01   947.7
2013-02-01   946.7
2013-03-01   947.3
2013-04-01   928.5
2013-05-01   932.9
2013-06-01   948.3
2013-07-01   915.7
2013-08-01   932.0
2013-09-01   951.1
2013-10-01   925.9
2013-11-01   937.7
2013-12-01   945.3
2014-01-01   921.6
2014-02-01   950.8
2014-03-01   993.7
2014-04-01   958.1
2014-05-01   949.5
2014-06-01   967.1
2014-07-01   949.1
2014-08-01   954.5
2014-09-01   941.9
2014-10-01   956.9
2014-11-01   996.3
2014-12-01   953.0
2015-01-01   958.0
2015-02-01   975.1
2015-03-01   963.3
2015-04-01   940.5
2015-05-01   956.1
2015-06-01   942.7
2015-07-01   956.2
2015-08-01  1005.4
2015-09-01   951.2
2015-10-01   967.6
2015-11-01  1008.9
2015-12-01   974.1
2016-01-01   979.7
2016-02-01   972.8
2016-03-01   992.5
2016-04-01   991.6
2016-05-01  1026.8
2016-06-01  1010.3
2016-07-01  1006.5
2016-08-01  1020.4
2016-09-01  1021.1
2016-10-01  1052.1
2016-11-01  1017.2
2016-12-01  1016.1
2017-01-01  1042.0
2017-02-01  1019.5
2017-03-01  1027.9
2017-04-01  1040.8
2017-05-01  1019.7
2017-06-01  1019.8
2017-07-01  1039.2
2017-08-01  1010.9
2017-09-01  1021.5
2017-10-01  1066.7
2017-11-01  1029.9
2017-12-01  1027.4
2018-01-01  1023.4
2018-02-01  1045.2
2018-03-01  1039.7
2018-04-01  1073.7
2018-05-01  1046.7
2018-06-01  1062.0
2018-07-01  1081.2
2018-08-01  1079.6
2018-09-01  1120.3
2018-10-01  1086.9
