Title:               Production or Nonsupervisory Employees: Manufacturing: Durable Goods in North Carolina
Series ID:           SMU37000003100000006SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2001-01-01  289.4
2001-02-01  285.8
2001-03-01  281.4
2001-04-01  279.1
2001-05-01  275.5
2001-06-01  272.4
2001-07-01  267.8
2001-08-01  263.6
2001-09-01  260.2
2001-10-01  256.4
2001-11-01  251.2
2001-12-01  250.8
2002-01-01  246.4
2002-02-01  247.5
2002-03-01  247.0
2002-04-01  242.1
2002-05-01  240.8
2002-06-01  237.1
2002-07-01  238.6
2002-08-01  237.7
2002-09-01  234.7
2002-10-01  234.4
2002-11-01  233.0
2002-12-01  231.6
2003-01-01  230.5
2003-02-01  228.6
2003-03-01  228.1
2003-04-01  225.8
2003-05-01  224.7
2003-06-01  222.0
2003-07-01  220.0
2003-08-01  220.1
2003-09-01  220.2
2003-10-01  220.2
2003-11-01  220.0
2003-12-01  219.9
2004-01-01  220.7
2004-02-01  221.1
2004-03-01  222.1
2004-04-01  223.5
2004-05-01  223.7
2004-06-01  225.7
2004-07-01  226.3
2004-08-01  225.8
2004-09-01  226.0
2004-10-01  225.8
2004-11-01  226.0
2004-12-01  226.2
2005-01-01  226.2
2005-02-01  226.5
2005-03-01  226.1
2005-04-01  225.6
2005-05-01  224.9
2005-06-01  224.9
2005-07-01  224.5
2005-08-01  224.8
2005-09-01  225.1
2005-10-01  222.7
2005-11-01  225.3
2005-12-01  224.4
2006-01-01  223.9
2006-02-01  223.9
2006-03-01  224.7
2006-04-01  227.2
2006-05-01  227.8
2006-06-01  227.3
2006-07-01  228.1
2006-08-01  226.7
2006-09-01  225.8
2006-10-01  226.3
2006-11-01  225.8
2006-12-01  226.2
2007-01-01  225.5
2007-02-01  224.9
2007-03-01  225.1
2007-04-01  221.2
2007-05-01  219.5
2007-06-01  220.5
2007-07-01  219.1
2007-08-01  218.8
2007-09-01  218.0
2007-10-01  216.7
2007-11-01  216.1
2007-12-01  216.4
2008-01-01  216.3
2008-02-01  216.7
2008-03-01  216.2
2008-04-01  214.8
2008-05-01  213.8
2008-06-01  212.7
2008-07-01  211.7
2008-08-01  210.1
2008-09-01  207.3
2008-10-01  203.9
2008-11-01  199.8
2008-12-01  196.6
2009-01-01  189.2
2009-02-01  183.4
2009-03-01  179.1
2009-04-01  175.5
2009-05-01  172.8
2009-06-01  169.8
2009-07-01  167.4
2009-08-01  166.0
2009-09-01  165.1
2009-10-01  164.8
2009-11-01  164.6
2009-12-01  164.4
2010-01-01  164.9
2010-02-01  165.0
2010-03-01  164.9
2010-04-01  164.6
2010-05-01  164.1
2010-06-01  162.3
2010-07-01  164.2
2010-08-01  164.2
2010-09-01  164.2
2010-10-01  163.8
2010-11-01  163.8
2010-12-01  163.9
2011-01-01  163.8
2011-02-01  164.7
2011-03-01  164.7
2011-04-01  165.6
2011-05-01  166.4
2011-06-01  167.3
2011-07-01  167.5
2011-08-01  167.2
2011-09-01  168.2
2011-10-01  169.4
2011-11-01  169.2
2011-12-01  170.3
2012-01-01  170.8
2012-02-01  171.0
2012-03-01  171.8
2012-04-01  171.8
2012-05-01  171.8
2012-06-01  171.7
2012-07-01  171.9
2012-08-01  172.2
2012-09-01  172.7
2012-10-01  171.5
2012-11-01  173.2
2012-12-01  173.4
2013-01-01  174.5
2013-02-01  174.7
2013-03-01  176.2
2013-04-01  175.8
2013-05-01  176.0
2013-06-01  176.2
2013-07-01  176.1
2013-08-01  175.7
2013-09-01  175.5
2013-10-01  175.3
2013-11-01  174.4
2013-12-01  176.5
2014-01-01  174.5
2014-02-01  174.5
2014-03-01  174.7
2014-04-01  174.3
2014-05-01  174.4
2014-06-01  174.4
2014-07-01  174.6
2014-08-01  175.3
2014-09-01  175.0
2014-10-01  176.3
2014-11-01  178.6
2014-12-01  178.3
2015-01-01  179.2
2015-02-01  179.6
2015-03-01  180.0
2015-04-01  180.9
2015-05-01  182.6
2015-06-01  183.5
2015-07-01  185.1
2015-08-01  185.9
2015-09-01  187.5
2015-10-01  187.7
2015-11-01  187.8
2015-12-01  188.5
2016-01-01  188.8
2016-02-01  189.5
2016-03-01  189.6
2016-04-01  189.6
2016-05-01  189.0
2016-06-01  189.2
2016-07-01  189.4
2016-08-01  189.2
2016-09-01  188.5
2016-10-01  188.6
2016-11-01  187.4
2016-12-01  188.9
2017-01-01  189.0
2017-02-01  190.5
2017-03-01  189.2
2017-04-01  189.3
2017-05-01  189.0
2017-06-01  189.6
2017-07-01  189.0
2017-08-01  189.0
2017-09-01  188.7
2017-10-01  189.2
2017-11-01  189.4
2017-12-01  188.9
2018-01-01  189.6
2018-02-01  188.9
2018-03-01  189.4
2018-04-01  189.9
2018-05-01  190.1
2018-06-01  190.0
2018-07-01  190.5
2018-08-01  191.3
2018-09-01  192.1
2018-10-01  192.8
