Title:               Average Weekly Earnings of All Employees: Information in North Carolina
Series ID:           SMU37000005000000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE         VALUE
2007-01-01  1068.2
2007-02-01  1057.8
2007-03-01  1043.5
2007-04-01  1111.6
2007-05-01  1031.1
2007-06-01  1043.3
2007-07-01  1048.4
2007-08-01  1009.3
2007-09-01  1069.3
2007-10-01  1007.4
2007-11-01  1030.4
2007-12-01  1100.4
2008-01-01  1065.1
2008-02-01  1056.2
2008-03-01  1104.3
2008-04-01  1085.2
2008-05-01  1114.5
2008-06-01  1114.2
2008-07-01  1115.7
2008-08-01  1171.9
2008-09-01  1111.3
2008-10-01  1006.4
2008-11-01  1047.5
2008-12-01  1005.9
2009-01-01  1007.8
2009-02-01   981.0
2009-03-01   990.5
2009-04-01   967.0
2009-05-01   962.1
2009-06-01   959.1
2009-07-01   953.6
2009-08-01   980.7
2009-09-01   962.4
2009-10-01   993.3
2009-11-01  1018.2
2009-12-01  1015.4
2010-01-01  1006.3
2010-02-01  1040.6
2010-03-01  1014.1
2010-04-01  1025.0
2010-05-01  1019.4
2010-06-01  1014.6
2010-07-01   995.9
2010-08-01  1015.5
2010-09-01  1003.3
2010-10-01  1033.1
2010-11-01  1018.2
2010-12-01  1031.6
2011-01-01  1034.0
2011-02-01  1039.9
2011-03-01  1030.6
2011-04-01  1039.6
2011-05-01  1063.2
2011-06-01  1045.4
2011-07-01  1092.0
2011-08-01  1080.4
2011-09-01  1100.9
2011-10-01  1152.7
2011-11-01  1114.9
2011-12-01  1115.0
2012-01-01  1179.2
2012-02-01  1110.5
2012-03-01  1106.0
2012-04-01  1162.3
2012-05-01  1135.9
2012-06-01  1151.0
2012-07-01  1177.4
2012-08-01  1131.7
2012-09-01  1212.8
2012-10-01  1139.7
2012-11-01  1116.1
2012-12-01  1187.1
2013-01-01  1136.4
2013-02-01  1094.6
2013-03-01  1130.8
2013-04-01  1130.7
2013-05-01  1131.2
2013-06-01  1227.8
2013-07-01  1128.6
2013-08-01  1147.9
2013-09-01  1167.7
2013-10-01  1128.0
2013-11-01  1167.3
2013-12-01  1194.8
2014-01-01  1162.9
2014-02-01  1213.6
2014-03-01  1202.2
2014-04-01  1142.7
2014-05-01  1162.9
2014-06-01  1202.8
2014-07-01  1149.6
2014-08-01  1190.8
2014-09-01  1181.2
2014-10-01  1195.2
2014-11-01  1276.1
2014-12-01  1217.7
2015-01-01  1219.9
2015-02-01  1271.5
2015-03-01  1282.9
2015-04-01  1267.5
2015-05-01  1275.3
2015-06-01  1280.9
2015-07-01  1278.8
2015-08-01  1338.8
2015-09-01  1288.0
2015-10-01  1301.3
2015-11-01  1363.9
2015-12-01  1301.3
2016-01-01  1366.8
2016-02-01  1363.7
2016-03-01  1330.4
2016-04-01  1375.4
2016-05-01  1410.1
2016-06-01  1357.6
2016-07-01  1414.7
2016-08-01  1364.0
2016-09-01  1382.9
2016-10-01  1448.3
2016-11-01  1383.1
2016-12-01  1404.5
2017-01-01  1469.2
2017-02-01  1390.4
2017-03-01  1384.6
2017-04-01  1442.5
2017-05-01  1341.3
2017-06-01  1421.9
2017-07-01  1531.2
2017-08-01  1423.0
2017-09-01  1432.0
2017-10-01  1458.7
2017-11-01  1394.8
2017-12-01  1428.7
2018-01-01  1394.4
2018-02-01  1435.0
2018-03-01  1437.9
2018-04-01  1439.7
2018-05-01  1391.1
2018-06-01  1406.0
2018-07-01  1410.1
2018-08-01  1398.9
2018-09-01  1442.6
2018-10-01  1392.4
