Title:               All Employees: Total Private in North Carolina
Series ID:           SMU37000000500000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE         VALUE
1990-01-01  2579.4
1990-02-01  2592.0
1990-03-01  2608.3
1990-04-01  2618.3
1990-05-01  2630.6
1990-06-01  2652.9
1990-07-01  2639.1
1990-08-01  2656.7
1990-09-01  2647.4
1990-10-01  2623.7
1990-11-01  2623.6
1990-12-01  2615.1
1991-01-01  2533.0
1991-02-01  2522.0
1991-03-01  2525.6
1991-04-01  2537.9
1991-05-01  2561.7
1991-06-01  2578.6
1991-07-01  2574.8
1991-08-01  2601.4
1991-09-01  2595.9
1991-10-01  2595.1
1991-11-01  2591.3
1991-12-01  2590.4
1992-01-01  2534.2
1992-02-01  2536.3
1992-03-01  2558.3
1992-04-01  2581.2
1992-05-01  2610.1
1992-06-01  2641.0
1992-07-01  2648.2
1992-08-01  2667.0
1992-09-01  2663.7
1992-10-01  2662.3
1992-11-01  2659.4
1992-12-01  2669.1
1993-01-01  2608.3
1993-02-01  2622.8
1993-03-01  2636.2
1993-04-01  2672.7
1993-05-01  2697.6
1993-06-01  2728.5
1993-07-01  2737.2
1993-08-01  2752.9
1993-09-01  2747.9
1993-10-01  2752.2
1993-11-01  2762.3
1993-12-01  2773.9
1994-01-01  2701.1
1994-02-01  2711.7
1994-03-01  2742.6
1994-04-01  2768.5
1994-05-01  2792.8
1994-06-01  2830.0
1994-07-01  2826.4
1994-08-01  2850.6
1994-09-01  2853.7
1994-10-01  2851.4
1994-11-01  2861.0
1994-12-01  2872.6
1995-01-01  2806.8
1995-02-01  2815.5
1995-03-01  2842.3
1995-04-01  2857.9
1995-05-01  2885.8
1995-06-01  2917.6
1995-07-01  2904.1
1995-08-01  2927.5
1995-09-01  2928.7
1995-10-01  2932.7
1995-11-01  2939.9
1995-12-01  2951.2
1996-01-01  2851.5
1996-02-01  2881.4
1996-03-01  2910.2
1996-04-01  2927.8
1996-05-01  2968.4
1996-06-01  2998.0
1996-07-01  2981.6
1996-08-01  3006.3
1996-09-01  2998.6
1996-10-01  3006.7
1996-11-01  3021.3
1996-12-01  3036.7
1997-01-01  2961.4
1997-02-01  2976.3
1997-03-01  3009.6
1997-04-01  3031.0
1997-05-01  3065.2
1997-06-01  3090.4
1997-07-01  3081.9
1997-08-01  3099.8
1997-09-01  3113.5
1997-10-01  3111.9
1997-11-01  3125.1
1997-12-01  3135.8
1998-01-01  3050.8
1998-02-01  3063.8
1998-03-01  3093.2
1998-04-01  3122.8
1998-05-01  3152.5
1998-06-01  3191.2
1998-07-01  3177.7
1998-08-01  3196.7
