Title:               All Employees: Local Government in North Carolina
Series ID:           SMU37000009093000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
1990-01-01  290.3
1990-02-01  291.5
1990-03-01  293.2
1990-04-01  294.5
1990-05-01  298.7
1990-06-01  301.0
1990-07-01  259.4
1990-08-01  262.0
1990-09-01  290.3
1990-10-01  297.2
1990-11-01  302.9
1990-12-01  301.8
1991-01-01  301.9
1991-02-01  302.9
1991-03-01  304.3
1991-04-01  304.9
1991-05-01  305.8
1991-06-01  306.5
1991-07-01  265.7
1991-08-01  269.0
1991-09-01  295.5
1991-10-01  304.5
1991-11-01  307.4
1991-12-01  306.4
1992-01-01  306.4
1992-02-01  307.2
1992-03-01  308.5
1992-04-01  309.0
1992-05-01  314.7
1992-06-01  318.2
1992-07-01  263.4
1992-08-01  272.5
1992-09-01  300.7
1992-10-01  312.2
1992-11-01  322.1
1992-12-01  317.2
1993-01-01  312.7
1993-02-01  313.6
1993-03-01  315.9
1993-04-01  316.0
1993-05-01  317.4
1993-06-01  322.0
1993-07-01  278.1
1993-08-01  282.9
1993-09-01  312.3
1993-10-01  320.5
1993-11-01  326.5
1993-12-01  323.4
1994-01-01  320.6
1994-02-01  321.8
1994-03-01  323.8
1994-04-01  324.0
1994-05-01  328.5
1994-06-01  332.2
1994-07-01  278.3
1994-08-01  283.1
1994-09-01  319.7
1994-10-01  328.3
1994-11-01  336.0
1994-12-01  333.3
1995-01-01  330.3
1995-02-01  331.4
1995-03-01  333.4
1995-04-01  333.9
1995-05-01  333.5
1995-06-01  338.1
1995-07-01  286.8
1995-08-01  289.9
1995-09-01  327.3
1995-10-01  335.3
1995-11-01  338.3
1995-12-01  339.1
1996-01-01  335.8
1996-02-01  336.4
1996-03-01  339.2
1996-04-01  340.6
1996-05-01  342.9
1996-06-01  346.2
1996-07-01  286.5
1996-08-01  296.8
1996-09-01  337.6
1996-10-01  343.0
1996-11-01  348.5
1996-12-01  348.7
1997-01-01  346.7
1997-02-01  347.9
1997-03-01  350.1
1997-04-01  350.9
1997-05-01  352.9
1997-06-01  355.0
1997-07-01  296.9
1997-08-01  315.2
1997-09-01  349.5
1997-10-01  356.7
1997-11-01  358.9
1997-12-01  359.4
1998-01-01  359.2
1998-02-01  361.6
1998-03-01  363.3
1998-04-01  362.8
1998-05-01  364.9
1998-06-01  359.9
1998-07-01  310.5
1998-08-01  338.1
1998-09-01  368.8
1998-10-01  372.4
1998-11-01  372.8
1998-12-01  372.2
1999-01-01  371.3
1999-02-01  374.8
1999-03-01  376.3
1999-04-01  370.6
1999-05-01  372.0
1999-06-01  358.5
1999-07-01  316.5
1999-08-01  354.0
1999-09-01  374.5
1999-10-01  376.0
1999-11-01  379.4
1999-12-01  379.5
2000-01-01  375.9
2000-02-01  376.8
2000-03-01  380.0
2000-04-01  381.2
2000-05-01  382.0
2000-06-01  367.0
2000-07-01  323.8
2000-08-01  363.2
2000-09-01  384.2
2000-10-01  386.8
2000-11-01  387.8
2000-12-01  387.6
2001-01-01  389.4
2001-02-01  392.1
2001-03-01  393.2
2001-04-01  390.5
2001-05-01  391.7
2001-06-01  368.7
2001-07-01  333.1
2001-08-01  369.2
2001-09-01  393.2
2001-10-01  404.5
2001-11-01  407.1
2001-12-01  402.3
2002-01-01  399.4
2002-02-01  402.9
2002-03-01  403.7
2002-04-01  402.8
2002-05-01  404.2
2002-06-01  375.7
2002-07-01  338.4
2002-08-01  373.7
2002-09-01  396.8
2002-10-01  412.6
2002-11-01  409.4
2002-12-01  405.6
2003-01-01  402.3
2003-02-01  404.9
2003-03-01  407.4
2003-04-01  407.6
2003-05-01  409.4
2003-06-01  381.6
2003-07-01  334.8
