Title:               Average Weekly Earnings of All Employees: Goods Producing in North Carolina
Series ID:           SMU37000000600000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  734.7
2007-02-01  737.6
2007-03-01  756.1
2007-04-01  739.1
2007-05-01  745.2
2007-06-01  745.6
2007-07-01  746.2
2007-08-01  744.8
2007-09-01  755.2
2007-10-01  745.2
2007-11-01  740.8
2007-12-01  747.9
2008-01-01  737.3
2008-02-01  728.8
2008-03-01  745.2
2008-04-01  740.9
2008-05-01  726.9
2008-06-01  762.4
2008-07-01  713.4
2008-08-01  736.8
2008-09-01  721.1
2008-10-01  747.6
2008-11-01  748.5
2008-12-01  744.9
2009-01-01  745.4
2009-02-01  752.4
2009-03-01  749.7
2009-04-01  743.2
2009-05-01  754.6
2009-06-01  763.9
2009-07-01  766.2
2009-08-01  766.0
2009-09-01  768.5
2009-10-01  765.8
2009-11-01  767.9
2009-12-01  759.1
2010-01-01  785.2
2010-02-01  785.9
2010-03-01  779.9
2010-04-01  795.6
2010-05-01  797.5
2010-06-01  784.8
2010-07-01  792.4
2010-08-01  794.3
2010-09-01  784.2
2010-10-01  789.1
2010-11-01  790.3
2010-12-01  786.8
2011-01-01  793.7
2011-02-01  794.2
2011-03-01  788.2
2011-04-01  796.7
2011-05-01  808.2
2011-06-01  808.0
2011-07-01  806.5
2011-08-01  794.0
2011-09-01  808.4
2011-10-01  823.8
2011-11-01  820.2
2011-12-01  824.0
2012-01-01  828.1
2012-02-01  827.5
2012-03-01  830.9
2012-04-01  831.2
2012-05-01  816.0
2012-06-01  815.8
2012-07-01  821.3
2012-08-01  808.8
2012-09-01  830.6
2012-10-01  822.4
2012-11-01  832.2
2012-12-01  837.4
2013-01-01  837.9
2013-02-01  833.0
2013-03-01  836.2
2013-04-01  832.8
2013-05-01  831.6
2013-06-01  837.7
2013-07-01  834.7
2013-08-01  843.4
2013-09-01  850.2
2013-10-01  838.7
2013-11-01  846.9
2013-12-01  852.4
2014-01-01  846.4
2014-02-01  836.0
2014-03-01  889.3
2014-04-01  869.7
2014-05-01  869.0
2014-06-01  884.5
2014-07-01  881.4
2014-08-01  881.9
2014-09-01  885.4
2014-10-01  882.7
2014-11-01  890.3
2014-12-01  881.9
2015-01-01  883.1
2015-02-01  881.4
2015-03-01  880.0
2015-04-01  871.1
2015-05-01  880.8
2015-06-01  866.7
2015-07-01  870.1
2015-08-01  885.9
2015-09-01  861.7
2015-10-01  879.9
2015-11-01  873.6
2015-12-01  894.7
2016-01-01  882.2
2016-02-01  877.8
2016-03-01  891.0
2016-04-01  895.7
2016-05-01  896.4
2016-06-01  897.5
2016-07-01  894.7
2016-08-01  896.8
2016-09-01  894.3
2016-10-01  904.3
2016-11-01  905.9
2016-12-01  900.1
2017-01-01  901.8
2017-02-01  916.9
2017-03-01  914.1
2017-04-01  910.5
2017-05-01  925.5
2017-06-01  927.6
2017-07-01  939.4
2017-08-01  927.6
2017-09-01  942.2
2017-10-01  949.7
2017-11-01  944.6
2017-12-01  949.1
2018-01-01  951.6
2018-02-01  966.5
2018-03-01  947.5
2018-04-01  971.2
2018-05-01  951.7
2018-06-01  962.1
2018-07-01  957.3
2018-08-01  959.9
2018-09-01  910.5
2018-10-01  947.0
