Title:               Production or Nonsupervisory Employees: Manufacturing in North Carolina
Series ID:           SMU37000003000000006SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          2001-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2001-01-01  583.9
2001-02-01  575.9
2001-03-01  568.0
2001-04-01  562.4
2001-05-01  554.8
2001-06-01  549.6
2001-07-01  542.6
2001-08-01  539.0
2001-09-01  534.4
2001-10-01  528.8
2001-11-01  521.8
2001-12-01  519.2
2002-01-01  514.8
2002-02-01  513.4
2002-03-01  510.6
2002-04-01  502.9
2002-05-01  501.5
2002-06-01  497.4
2002-07-01  498.0
2002-08-01  495.9
2002-09-01  492.1
2002-10-01  490.6
2002-11-01  488.9
2002-12-01  484.0
2003-01-01  482.0
2003-02-01  479.1
2003-03-01  476.9
2003-04-01  472.8
2003-05-01  468.6
2003-06-01  463.2
2003-07-01  454.1
2003-08-01  455.3
2003-09-01  453.8
2003-10-01  449.7
2003-11-01  448.0
2003-12-01  446.8
2004-01-01  446.4
2004-02-01  444.6
2004-03-01  444.6
2004-04-01  446.4
2004-05-01  445.6
2004-06-01  448.0
2004-07-01  448.3
2004-08-01  446.5
2004-09-01  446.1
2004-10-01  445.4
2004-11-01  443.6
2004-12-01  443.2
2005-01-01  441.8
2005-02-01  441.5
2005-03-01  439.7
2005-04-01  438.7
2005-05-01  437.5
2005-06-01  436.0
2005-07-01  434.8
2005-08-01  434.0
2005-09-01  433.4
2005-10-01  431.2
2005-11-01  434.1
2005-12-01  432.0
2006-01-01  430.5
2006-02-01  429.0
2006-03-01  427.3
2006-04-01  433.1
2006-05-01  432.7
2006-06-01  430.5
2006-07-01  429.7
2006-08-01  427.7
2006-09-01  426.4
2006-10-01  424.9
2006-11-01  423.9
2006-12-01  423.9
2007-01-01  422.7
2007-02-01  422.0
2007-03-01  420.2
2007-04-01  417.4
2007-05-01  415.0
2007-06-01  415.7
2007-07-01  413.8
2007-08-01  412.9
2007-09-01  410.9
2007-10-01  409.0
2007-11-01  408.5
2007-12-01  408.5
2008-01-01  407.7
2008-02-01  408.3
2008-03-01  406.7
2008-04-01  402.0
2008-05-01  401.3
2008-06-01  398.6
2008-07-01  396.8
2008-08-01  395.3
2008-09-01  391.4
2008-10-01  387.8
2008-11-01  381.8
2008-12-01  377.0
2009-01-01  366.6
2009-02-01  358.9
2009-03-01  351.1
2009-04-01  346.7
2009-05-01  343.3
2009-06-01  338.5
2009-07-01  334.9
2009-08-01  332.8
2009-09-01  331.6
2009-10-01  331.4
2009-11-01  330.1
2009-12-01  329.4
2010-01-01  329.7
2010-02-01  328.4
2010-03-01  328.3
2010-04-01  327.4
2010-05-01  326.6
2010-06-01  324.7
2010-07-01  327.6
2010-08-01  327.4
2010-09-01  327.5
2010-10-01  326.8
2010-11-01  326.4
2010-12-01  326.7
2011-01-01  326.0
2011-02-01  326.5
2011-03-01  326.4
2011-04-01  327.9
2011-05-01  328.0
2011-06-01  327.8
2011-07-01  327.6
2011-08-01  326.3
2011-09-01  326.4
2011-10-01  325.3
2011-11-01  324.1
2011-12-01  325.0
2012-01-01  326.4
2012-02-01  327.4
2012-03-01  326.6
2012-04-01  328.6
2012-05-01  328.5
2012-06-01  328.5
2012-07-01  328.5
2012-08-01  329.5
2012-09-01  329.1
2012-10-01  328.8
2012-11-01  330.0
2012-12-01  330.5
2013-01-01  330.7
2013-02-01  331.3
2013-03-01  332.6
2013-04-01  331.8
2013-05-01  332.3
2013-06-01  333.3
2013-07-01  333.6
2013-08-01  332.4
2013-09-01  333.6
2013-10-01  333.8
2013-11-01  331.8
2013-12-01  335.1
2014-01-01  332.9
2014-02-01  333.2
2014-03-01  334.5
2014-04-01  334.3
2014-05-01  334.8
2014-06-01  334.9
2014-07-01  333.1
2014-08-01  335.3
2014-09-01  336.0
2014-10-01  338.5
2014-11-01  340.5
2014-12-01  341.8
2015-01-01  343.1
2015-02-01  343.1
2015-03-01  343.3
2015-04-01  343.5
2015-05-01  346.0
2015-06-01  344.4
2015-07-01  349.2
2015-08-01  349.8
2015-09-01  350.8
2015-10-01  351.9
2015-11-01  352.4
2015-12-01  352.2
2016-01-01  351.7
2016-02-01  352.5
2016-03-01  352.3
2016-04-01  352.5
2016-05-01  351.2
2016-06-01  351.3
2016-07-01  350.6
2016-08-01  350.8
2016-09-01  350.6
2016-10-01  349.4
2016-11-01  348.8
2016-12-01  350.2
2017-01-01  351.5
2017-02-01  353.2
2017-03-01  351.2
2017-04-01  352.1
2017-05-01  350.3
2017-06-01  351.9
2017-07-01  352.0
2017-08-01  352.2
2017-09-01  352.4
2017-10-01  352.9
2017-11-01  353.5
2017-12-01  351.9
2018-01-01  354.9
2018-02-01  353.8
2018-03-01  354.5
2018-04-01  354.9
2018-05-01  357.3
2018-06-01  355.5
2018-07-01  356.1
2018-08-01  356.9
2018-09-01  357.0
2018-10-01  358.2
