Title:               Average Hourly Earnings of All Employees: Information in North Carolina
Series ID:           SMU37000005000000003SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE       VALUE
2007-01-01  29.4
2007-02-01  29.3
2007-03-01  29.3
2007-04-01  30.5
2007-05-01  29.1
2007-06-01  29.6
2007-07-01  29.5
2007-08-01  28.8
2007-09-01  30.4
2007-10-01  28.8
2007-11-01  29.2
2007-12-01  30.9
2008-01-01  29.5
2008-02-01  29.1
2008-03-01    30
2008-04-01  29.9
2008-05-01    30
2008-06-01  29.9
2008-07-01  30.2
2008-08-01  31.4
2008-09-01  29.4
2008-10-01  27.8
2008-11-01  28.7
2008-12-01    28
2009-01-01  28.1
2009-02-01  27.8
2009-03-01  28.1
2009-04-01  27.5
2009-05-01  27.6
2009-06-01  27.7
2009-07-01  27.5
2009-08-01  28.1
2009-09-01  27.6
2009-10-01  28.4
2009-11-01  28.5
2009-12-01  28.4
2010-01-01  28.3
2010-02-01  28.9
2010-03-01  28.2
2010-04-01  28.2
2010-05-01  28.6
2010-06-01  28.0
2010-07-01  27.7
2010-08-01  27.9
2010-09-01  28.4
2010-10-01  29.1
2010-11-01  28.2
2010-12-01  28.4
2011-01-01  28.4
2011-02-01  28.5
2011-03-01  28.4
2011-04-01  28.9
2011-05-01    29
2011-06-01  28.7
2011-07-01  29.9
2011-08-01  29.8
2011-09-01  29.9
2011-10-01  30.5
2011-11-01  30.2
2011-12-01  30.4
2012-01-01  31.1
2012-02-01  29.8
2012-03-01  30.2
2012-04-01  31.3
2012-05-01  31.1
2012-06-01  31.7
2012-07-01  31.8
2012-08-01  31.2
2012-09-01  32.5
2012-10-01  31.0
2012-11-01  30.1
2012-12-01  31.5
2013-01-01  31.1
2013-02-01  30.1
2013-03-01  31.5
2013-04-01  30.8
2013-05-01  30.6
2013-06-01  31.7
2013-07-01  31.0
2013-08-01  31.5
2013-09-01  31.8
2013-10-01  31.4
2013-11-01  31.7
2013-12-01  31.9
2014-01-01  31.8
2014-02-01  32.8
2014-03-01  32.2
2014-04-01  31.0
2014-05-01  32.2
2014-06-01  32.4
2014-07-01  32.8
2014-08-01  32.9
2014-09-01  33.4
2014-10-01  33.4
2014-11-01  34.6
2014-12-01  33.8
2015-01-01  34.1
2015-02-01  35.0
2015-03-01  35.4
2015-04-01  35.5
2015-05-01  35.9
2015-06-01  35.5
2015-07-01  35.6
2015-08-01  36.6
2015-09-01  35.7
2015-10-01  36.1
2015-11-01  36.8
2015-12-01  36.5
2016-01-01  37.4
2016-02-01  37.8
2016-03-01  37.2
2016-04-01  38.2
2016-05-01  39.1
2016-06-01  38.5
2016-07-01  38.8
2016-08-01  38.4
2016-09-01  38.7
2016-10-01  39.3
2016-11-01  38.2
2016-12-01  38.9
2017-01-01  39.6
2017-02-01  37.5
2017-03-01  36.8
2017-04-01  38.3
2017-05-01  37.1
2017-06-01  37.9
2017-07-01  39.3
2017-08-01  37.5
2017-09-01  38.0
2017-10-01  38.7
2017-11-01  37.9
2017-12-01  38.3
2018-01-01  38.2
2018-02-01  38.9
2018-03-01  38.9
2018-04-01  37.8
2018-05-01  37.8
2018-06-01  37.5
2018-07-01  37.6
2018-08-01  38.1
2018-09-01  38.2
2018-10-01  37.6
