Title:               All Employees: Local Government Educational Services in North Carolina
Series ID:           SMU37000009093161101
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01  159.4
1990-02-01  160.4
1990-03-01  161.5
1990-04-01  161.5
1990-05-01  161.8
1990-06-01  161.9
1990-07-01  121.9
1990-08-01  124.3
1990-09-01  154.0
1990-10-01  160.4
1990-11-01  161.6
1990-12-01  162.2
1991-01-01  162.0
1991-02-01  162.7
1991-03-01  163.5
1991-04-01  163.7
1991-05-01  164.2
1991-06-01  162.7
1991-07-01  120.8
1991-08-01  124.6
1991-09-01  153.1
1991-10-01  160.9
1991-11-01  162.5
1991-12-01  162.2
1992-01-01  161.9
1992-02-01  162.6
1992-03-01  163.6
1992-04-01  163.9
1992-05-01  164.1
1992-06-01  164.5
1992-07-01  114.2
1992-08-01  123.8
1992-09-01  153.3
1992-10-01  163.3
1992-11-01  165.3
1992-12-01  166.0
1993-01-01  164.6
1993-02-01  165.3
1993-03-01  167.0
1993-04-01  167.3
1993-05-01  167.1
1993-06-01  168.5
1993-07-01  123.5
1993-08-01  129.5
1993-09-01  159.9
1993-10-01  166.8
1993-11-01  168.8
1993-12-01  169.3
1994-01-01  167.4
1994-02-01  168.1
1994-03-01  169.9
1994-04-01  169.5
1994-05-01  169.4
1994-06-01  171.2
1994-07-01  119.3
1994-08-01  125.2
1994-09-01  163.2
1994-10-01  170.5
1994-11-01  172.9
1994-12-01  172.3
1995-01-01  171.7
1995-02-01  172.5
1995-03-01  173.7
1995-04-01  173.2
1995-05-01  172.6
1995-06-01  174.0
1995-07-01  121.2
1995-08-01  125.5
1995-09-01  164.0
1995-10-01  172.0
1995-11-01  174.1
1995-12-01  173.9
1996-01-01  172.7
1996-02-01  172.4
1996-03-01  174.4
1996-04-01  175.8
1996-05-01  175.9
1996-06-01  176.8
1996-07-01  118.6
1996-08-01  129.4
1996-09-01  171.2
1996-10-01  177.2
1996-11-01  180.3
1996-12-01  180.6
1997-01-01  178.9
1997-02-01  179.3
1997-03-01  180.7
1997-04-01  180.8
1997-05-01  181.7
1997-06-01  180.7
1997-07-01  122.8
1997-08-01  141.4
1997-09-01  177.7
1997-10-01  184.7
1997-11-01  185.9
1997-12-01  185.7
1998-01-01  184.5
1998-02-01  185.7
1998-03-01  187.2
1998-04-01  186.7
1998-05-01  186.7
1998-06-01  178.6
1998-07-01  127.1
1998-08-01  157.1
1998-09-01  189.4
1998-10-01  194.3
1998-11-01  192.9
1998-12-01  192.5
1999-01-01  189.8
1999-02-01  191.9
1999-03-01  193.1
1999-04-01  193.6
1999-05-01  193.5
1999-06-01  177.7
1999-07-01  134.4
1999-08-01  173.2
1999-09-01  195.4
1999-10-01  195.9
1999-11-01  197.7
1999-12-01  198.1
2000-01-01  194.6
2000-02-01  195.0
2000-03-01  197.3
2000-04-01  198.5
2000-05-01  198.5
2000-06-01  180.5
2000-07-01  137.2
2000-08-01  177.5
