Title:               Average Weekly Earnings of All Employees: Total Private in North Carolina
Series ID:           SMU37000000500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  664.5
2007-02-01  668.5
2007-03-01  674.9
2007-04-01  674.6
2007-05-01  671.5
2007-06-01  671.6
2007-07-01  675.4
2007-08-01  660.5
2007-09-01  683.6
2007-10-01  661.1
2007-11-01  657.4
2007-12-01  674.9
2008-01-01  661.0
2008-02-01  659.7
2008-03-01  671.9
2008-04-01  683.5
2008-05-01  674.5
2008-06-01  694.7
2008-07-01  679.3
2008-08-01  682.9
2008-09-01  674.3
2008-10-01  698.3
2008-11-01  715.8
2008-12-01  704.0
2009-01-01  701.2
2009-02-01  703.1
2009-03-01  696.2
2009-04-01  688.5
2009-05-01  693.7
2009-06-01  696.1
2009-07-01  695.4
2009-08-01  700.0
2009-09-01  696.3
2009-10-01  698.4
2009-11-01  704.2
2009-12-01  695.9
2010-01-01  700.6
2010-02-01  703.1
2010-03-01  702.0
2010-04-01  701.6
2010-05-01  710.1
2010-06-01  700.7
2010-07-01  701.3
2010-08-01  710.6
2010-09-01  696.7
2010-10-01  702.5
2010-11-01  699.0
2010-12-01  701.3
2011-01-01  703.9
2011-02-01  705.1
2011-03-01  701.6
2011-04-01  708.5
2011-05-01  723.9
2011-06-01  708.7
2011-07-01  716.8
2011-08-01  714.5
2011-09-01  718.6
2011-10-01  740.6
2011-11-01  726.4
2011-12-01  730.9
2012-01-01  743.9
2012-02-01  738.8
2012-03-01  740.3
2012-04-01  753.8
2012-05-01  742.4
2012-06-01  746.0
2012-07-01  754.1
2012-08-01  743.3
2012-09-01  759.7
2012-10-01  746.6
2012-11-01  747.9
2012-12-01  765.7
2013-01-01  747.1
2013-02-01  749.1
2013-03-01  749.1
2013-04-01  742.7
2013-05-01  743.9
2013-06-01  755.6
2013-07-01  740.3
2013-08-01  748.1
2013-09-01  754.0
2013-10-01  743.2
2013-11-01  745.1
2013-12-01  755.9
2014-01-01  744.8
2014-02-01  745.5
2014-03-01  777.7
2014-04-01  754.1
2014-05-01  754.3
2014-06-01  763.0
2014-07-01  753.4
2014-08-01  758.5
2014-09-01  753.9
2014-10-01  753.5
2014-11-01  771.4
2014-12-01  756.6
2015-01-01  758.7
2015-02-01  768.8
2015-03-01  766.3
2015-04-01  757.3
2015-05-01  765.3
2015-06-01  759.2
2015-07-01  766.1
2015-08-01  792.3
2015-09-01  764.4
2015-10-01  775.8
2015-11-01  786.6
2015-12-01  781.2
2016-01-01  781.9
2016-02-01  780.6
2016-03-01  788.4
2016-04-01  795.7
2016-05-01  810.6
2016-06-01  801.9
2016-07-01  803.9
2016-08-01  810.0
2016-09-01  808.7
2016-10-01  820.7
2016-11-01  814.8
2016-12-01  813.9
2017-01-01  823.4
2017-02-01  821.8
2017-03-01  822.0
2017-04-01  841.4
2017-05-01  825.5
2017-06-01  826.4
2017-07-01  842.4
2017-08-01  828.3
2017-09-01  834.7
2017-10-01  848.5
2017-11-01  833.8
2017-12-01  840.3
2018-01-01  845.0
2018-02-01  857.1
2018-03-01  854.6
2018-04-01  877.5
2018-05-01  861.1
2018-06-01  861.8
2018-07-01  867.0
2018-08-01  864.8
2018-09-01  868.7
2018-10-01  865.9
