Title:               Average Hourly Earnings of All Employees: Education and Health Services in North Carolina
Series ID:           SMU37000006500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
2007-01-01  18.30
2007-02-01  18.42
2007-03-01  18.43
2007-04-01  18.36
2007-05-01  18.40
2007-06-01  18.72
2007-07-01  18.09
2007-08-01  17.61
2007-09-01  18.28
2007-10-01  18.47
2007-11-01  18.81
2007-12-01  18.99
2008-01-01  19.25
2008-02-01  19.92
2008-03-01  19.79
2008-04-01  21.01
2008-05-01  20.56
2008-06-01  20.62
2008-07-01  20.48
2008-08-01  21.31
2008-09-01  20.24
2008-10-01  20.59
2008-11-01  20.57
2008-12-01  20.69
2009-01-01  20.73
2009-02-01  20.74
2009-03-01  20.69
2009-04-01  20.50
2009-05-01  20.32
2009-06-01  20.42
2009-07-01  20.39
2009-08-01  20.29
2009-09-01  20.37
2009-10-01  20.39
2009-11-01  20.47
2009-12-01  20.56
2010-01-01  20.31
2010-02-01  20.27
2010-03-01  20.14
2010-04-01  20.31
2010-05-01  20.41
2010-06-01  20.35
2010-07-01  20.37
2010-08-01  20.34
2010-09-01  20.03
2010-10-01  20.04
2010-11-01  20.13
2010-12-01  20.21
2011-01-01  20.01
2011-02-01  19.94
2011-03-01  20.40
2011-04-01  20.44
2011-05-01  20.35
2011-06-01  20.52
2011-07-01  20.56
2011-08-01  20.67
2011-09-01  21.08
2011-10-01  21.49
2011-11-01  21.42
2011-12-01  21.47
2012-01-01  21.69
2012-02-01  21.71
2012-03-01  21.75
2012-04-01  22.06
2012-05-01  21.89
2012-06-01  22.18
2012-07-01  22.13
2012-08-01  22.11
2012-09-01  22.28
2012-10-01  22.21
2012-11-01  22.34
2012-12-01  22.47
2013-01-01  22.08
2013-02-01  22.00
2013-03-01  21.88
2013-04-01  21.89
2013-05-01  21.94
2013-06-01  21.89
2013-07-01  21.88
2013-08-01  21.98
2013-09-01  21.94
2013-10-01  22.05
2013-11-01  22.05
2013-12-01  22.06
2014-01-01  22.10
2014-02-01  22.42
2014-03-01  22.12
2014-04-01  22.33
2014-05-01  22.31
2014-06-01  22.02
2014-07-01  22.17
2014-08-01  22.32
2014-09-01  21.66
2014-10-01  21.81
2014-11-01  22.45
2014-12-01  22.22
2015-01-01  22.27
2015-02-01  22.50
2015-03-01  22.08
2015-04-01  22.33
2015-05-01  22.77
2015-06-01  22.75
2015-07-01  22.88
2015-08-01  23.25
2015-09-01  22.27
2015-10-01  22.50
2015-11-01  22.74
2015-12-01  22.58
2016-01-01  22.70
2016-02-01  22.65
2016-03-01  22.68
2016-04-01  22.87
2016-05-01  23.45
2016-06-01  23.10
2016-07-01  22.69
2016-08-01  23.55
2016-09-01  23.54
2016-10-01  23.85
2016-11-01  24.44
2016-12-01  23.78
2017-01-01  23.64
2017-02-01  24.33
2017-03-01  23.71
2017-04-01  24.18
2017-05-01  24.48
2017-06-01  23.83
2017-07-01  23.98
2017-08-01  24.80
2017-09-01  23.93
2017-10-01  24.21
2017-11-01  24.29
2017-12-01  24.35
2018-01-01  24.70
2018-02-01  24.74
2018-03-01  24.73
2018-04-01  24.94
2018-05-01  25.17
2018-06-01  24.69
2018-07-01  24.92
2018-08-01  24.80
2018-09-01  24.17
2018-10-01  24.48
