Title:               All Employees: Accommodation and Food Services in North Carolina
Series ID:           SMU37000007072000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01  189.6
1990-02-01  193.4
1990-03-01  197.1
1990-04-01  206.1
1990-05-01  210.9
1990-06-01  214.7
1990-07-01  214.4
1990-08-01  217.1
1990-09-01  214.0
1990-10-01  208.5
1990-11-01  205.7
1990-12-01  202.8
1991-01-01  191.5
1991-02-01  191.8
1991-03-01  196.2
1991-04-01  202.7
1991-05-01  210.1
1991-06-01  212.8
1991-07-01  211.5
1991-08-01  213.1
1991-09-01  209.4
1991-10-01  208.7
1991-11-01  205.2
1991-12-01  202.4
1992-01-01  198.3
1992-02-01  200.5
1992-03-01  205.7
1992-04-01  212.2
1992-05-01  219.8
1992-06-01  223.0
1992-07-01  224.0
1992-08-01  226.4
1992-09-01  224.1
1992-10-01  221.3
1992-11-01  218.9
1992-12-01  215.8
1993-01-01  207.6
1993-02-01  211.4
1993-03-01  214.9
1993-04-01  223.9
1993-05-01  229.8
1993-06-01  232.2
1993-07-01  233.2
1993-08-01  234.6
1993-09-01  230.0
1993-10-01  228.6
1993-11-01  226.2
1993-12-01  223.9
1994-01-01  216.0
1994-02-01  217.4
1994-03-01  222.5
1994-04-01  229.8
1994-05-01  235.5
1994-06-01  239.2
1994-07-01  241.0
1994-08-01  243.4
1994-09-01  240.9
1994-10-01  237.5
1994-11-01  236.3
1994-12-01  234.5
1995-01-01  225.2
1995-02-01  227.9
1995-03-01  232.7
1995-04-01  239.2
1995-05-01  246.9
1995-06-01  252.2
1995-07-01  252.5
1995-08-01  253.4
1995-09-01  250.5
1995-10-01  247.7
1995-11-01  246.6
1995-12-01  243.7
1996-01-01  232.7
1996-02-01  235.8
1996-03-01  243.3
1996-04-01  248.0
1996-05-01  256.4
1996-06-01  258.4
1996-07-01  257.0
1996-08-01  259.4
1996-09-01  255.9
1996-10-01  253.3
1996-11-01  250.3
1996-12-01  249.5
1997-01-01  240.9
1997-02-01  244.0
1997-03-01  250.1
1997-04-01  257.8
1997-05-01  265.2
1997-06-01  267.7
1997-07-01  263.3
1997-08-01  265.6
1997-09-01  263.9
1997-10-01  257.2
1997-11-01  257.0
1997-12-01  255.4
1998-01-01  249.2
1998-02-01  251.7
1998-03-01  257.9
1998-04-01  258.8
1998-05-01  265.5
1998-06-01  270.1
1998-07-01  269.7
1998-08-01  272.2
1998-09-01  267.9
1998-10-01  266.4
1998-11-01  265.6
1998-12-01  264.3
1999-01-01  254.3
1999-02-01  258.3
1999-03-01  263.5
1999-04-01  271.5
1999-05-01  276.1
1999-06-01  278.3
1999-07-01  280.7
1999-08-01  280.6
1999-09-01  276.7
1999-10-01  278.0
1999-11-01  275.5
1999-12-01  275.2
2000-01-01  263.1
2000-02-01  264.8
2000-03-01  271.6
2000-04-01  277.7
2000-05-01  283.8
2000-06-01  287.6
2000-07-01  284.3
2000-08-01  285.6
2000-09-01  281.9
2000-10-01  278.9
2000-11-01  276.2
2000-12-01  273.6
2001-01-01  267.6
2001-02-01  270.3
2001-03-01  275.9
2001-04-01  282.2
2001-05-01  287.4
2001-06-01  290.6
2001-07-01  287.8
2001-08-01  289.4
2001-09-01  283.4
2001-10-01  277.6
2001-11-01  275.1
2001-12-01  272.0
2002-01-01  267.0
2002-02-01  270.0
2002-03-01  277.3
2002-04-01  288.3
2002-05-01  294.0
2002-06-01  297.2
2002-07-01  297.0
2002-08-01  298.8
2002-09-01  294.8
2002-10-01  288.9
2002-11-01  286.3
2002-12-01  285.9
2003-01-01  274.3
2003-02-01  274.7
2003-03-01  279.8
2003-04-01  289.3
2003-05-01  296.6
2003-06-01  299.8
2003-07-01  298.3
2003-08-01  301.0
2003-09-01  297.5
2003-10-01  295.4
2003-11-01  294.8
2003-12-01  293.6
2004-01-01  281.7
2004-02-01  283.1
2004-03-01  290.2
2004-04-01  301.0
2004-05-01  307.8
2004-06-01  310.4
2004-07-01  313.6
2004-08-01  316.2
2004-09-01  311.7
2004-10-01  307.8
2004-11-01  306.1
2004-12-01  305.4
2005-01-01  294.1
2005-02-01  295.1
2005-03-01  303.0
2005-04-01  309.9
2005-05-01  315.5
2005-06-01  318.8
2005-07-01  318.8
2005-08-01  320.1
2005-09-01  316.4
2005-10-01  314.1
2005-11-01  313.1
2005-12-01  310.7
2006-01-01  302.7
2006-02-01  305.7
2006-03-01  313.3
2006-04-01  324.3
2006-05-01  331.4
2006-06-01  334.0
2006-07-01  338.6
2006-08-01  339.2
2006-09-01  336.4
2006-10-01  336.4
2006-11-01  336.4
2006-12-01  335.1
2007-01-01  323.4
2007-02-01  326.6
2007-03-01  334.1
2007-04-01  340.2
2007-05-01  349.4
2007-06-01  351.7
