Title:               Income (Loss) before Income Taxes and Extraordinary Items and Other Adjustments for Commercial Banks in North Carolina
Series ID:           NCIBTEIOA
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Income (Loss) before Income Taxes and
                     Extraordinary Items and Other Adjustments call item RIAD4301.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01    123154
1984-04-01    243630
1984-07-01    380219
1984-10-01    512688
1985-01-01    157204
1985-04-01    279877
1985-07-01    462657
1985-10-01    623989
1986-01-01    193541
1986-04-01    393341
1986-07-01    593223
1986-10-01    830818
1987-01-01    220722
1987-04-01    379865
1987-07-01    600655
1987-10-01    757247
1988-01-01    238765
1988-04-01    459071
1988-07-01    689360
1988-10-01    919076
1989-01-01    238871
1989-04-01    494227
1989-07-01    741146
1989-10-01    977253
1990-01-01    256508
1990-04-01    458892
1990-07-01    630278
1990-10-01    899887
1991-01-01    231570
1991-04-01    422665
1991-07-01    592664
1991-10-01    756066
1992-01-01    343252
1992-04-01    606397
1992-07-01    969503
1992-10-01   1292534
1993-01-01    397322
1993-04-01    805397
1993-07-01   1229529
1993-10-01   1629320
1994-01-01    419765
1994-04-01    829977
1994-07-01   1244381
1994-10-01   1607194
1995-01-01    308071
1995-04-01    736628
1995-07-01   1771606
1995-10-01   2449287
1996-01-01    592401
1996-04-01   1318965
1996-07-01   1997335
1996-10-01   2884156
1997-01-01    836331
1997-04-01   3194720
1997-07-01   5538934
1997-10-01   6970616
1998-01-01   2427361
1998-04-01   5081437
1998-07-01   8137527
1998-10-01  12116819
1999-01-01   2877816
1999-04-01   6089608
1999-07-01  13241585
1999-10-01  17702801
2000-01-01   4976571
2000-04-01   5607684
2000-07-01   9839459
2000-10-01  13430412
2001-01-01   4129445
2001-04-01   8766870
2001-07-01   9730651
2001-10-01  13974008
2002-01-01   4959026
2002-04-01  10033094
2002-07-01  14758831
2002-10-01  19101013
2003-01-01   5125090
2003-04-01  10312555
2003-07-01  16223013
2003-10-01  21575189
2004-01-01   5521469
2004-04-01  11727390
2004-07-01  17783540
2004-10-01  23967511
2005-01-01   7653288
2005-04-01  17682946
2005-07-01  25766691
2005-10-01  33573748
2006-01-01   8128349
2006-04-01  17101078
2006-07-01  26652842
2006-10-01  35798274
2007-01-01   8686893
2007-04-01  18129810
2007-07-01  24555897
2007-10-01  25767878
2008-01-01   2177563
2008-04-01   3739096
2008-07-01   5613390
2008-10-01   8108987
2009-01-01   5429384
2009-04-01   8792377
2009-07-01   9542455
2009-10-01  12596942
2010-01-01   1833696
2010-04-01   3650234
2010-07-01   8507450
2010-10-01  12464131
2011-01-01   3724596
2011-04-01   5852871
2011-07-01  10468575
2011-10-01  14366819
2012-01-01   5370092
2012-04-01  11479533
2012-07-01  16346110
2012-10-01  20642126
2013-01-01   8474741
2013-04-01  15372219
2013-07-01  21994152
2013-10-01  28431305
2014-01-01   5136504
2014-04-01  10874425
2014-07-01  15862085
2014-10-01  28450325
2015-01-01   7157924
2015-04-01  15791620
2015-07-01  23626766
2015-10-01  31721555
2016-01-01   6466583
2016-04-01  14167331
2016-07-01  25028344
2016-10-01  33667472
2017-01-01   7987354
2017-04-01  18784798
2017-07-01  28075053
2017-10-01  36806671
2018-01-01   9703929
2018-04-01  20219045
2018-07-01  31133125
